,orig_idx,input,expected_text,Problem type,expected_skills,valid,generated_text,generated_skills
17,519," Sie sind es <SoftSkill>gewohnt, selbstständig Kundentermine zu vereinbaren</SoftSkill> und verfügen über eine <SoftSkill_C>strukturierte</SoftSkill_C> und <SoftSkill>analytische Arbeitweise</SoftSkill>."," Sie sind es <SoftSkill>gewohnt, selbstständig Kundentermine zu vereinbaren</SoftSkill> und verfügen über eine <SoftSkill>strukturierte Arbeitweise</SoftSkill> und <SoftSkill>analytische Arbeitweise</SoftSkill>.",OWA,"['gewohnt, selbstständig Kundentermine zu vereinbaren', 'strukturierte Arbeitweise', 'analytische Arbeitweise']",1,"Sie sind es SoftSkill>gewohnt, selbstständig Kundentermine zu vereinbaren/SoftSkill> und verfügen über eine SoftSkill>strukturierte Arbeitweise/SoftSkill> und SoftSkill>analytische Arbeitweise/SoftSkill>.","['gewohnt, selbstständig Kundentermine zu vereinbaren', 'strukturierte Arbeitweise', 'analytische Arbeitweise']"
18,1304,•  <SoftSkill>Sinn für Reinlichkeit</SoftSkill> und <SoftSkill_C>Ordnung</SoftSkill_C>,<SoftSkill>Sinn für Reinlichkeit</SoftSkill> und <SoftSkill>Sinn für Ordnung</SoftSkill>.,MWA,"['Sinn für Reinlichkeit', 'Sinn für Ordnung']",1,SoftSkill>Sinn für Reinlichkeit/SoftSkill> und SoftSkill>Sinn für Ordnung/SoftSkill>.,"['Sinn für Reinlichkeit', 'Sinn für Ordnung']"
19,342," <SoftSkill>Beraten Sie lösungsorientiert</SoftSkill>, <SoftSkill_C>strategisch</SoftSkill_C> und <SoftSkill_C>konsequent</SoftSkill_C>?"," <SoftSkill>Beraten Sie lösungsorientiert</SoftSkill>, <SoftSkill>beraten Sie strategisch</SoftSkill> und <SoftSkill>beraten Sie konsequent</SoftSkill>?",MWA,"['Beraten Sie lösungsorientiert', 'beraten Sie strategisch', 'beraten Sie konsequent']",1,"SoftSkill>Beraten Sie lösungsorientiert/SoftSkill>, SoftSkill>Beraten Sie strategisch/SoftSkill> und SoftSkill>Beraten Sie konsequent/SoftSkill>?","['Beraten Sie lösungsorientiert', 'Beraten Sie strategisch', 'Beraten Sie konsequent']"
20,1629,•  <SoftSkill>Offenheit für Veränderungen</SoftSkill> und <SoftSkill_C>gute Planungs-</SoftSkill_C> und <SoftSkill>Organisationsfähigkeit</SoftSkill,<SoftSkill>Offenheit für Veränderungen</SoftSkill> und <SoftSkill>gute Planungsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>,HOWA,"['Offenheit für Veränderungen', 'gute Planungsfähigkeit', 'Organisationsfähigkeit']",1,• SoftSkill>Offenheit für Veränderungen/SoftSkill> und SoftSkill>gute Planungsfähigkeit/SoftSkill> und SoftSkill>Organisationsfähigkeit/SoftSkill>,"['Offenheit für Veränderungen', 'gute Planungsfähigkeit', 'Organisationsfähigkeit']"
21,307," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill_C>Umgang</SoftSkill_C>  und der <SoftSkill_C>Betreuung von Menschen</SoftSkill_C> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>?"," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill>Freude am Umgang</SoftSkill> und der<SoftSkill>Freude am Betreuung von Menschen</SoftSkill> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>",MWA,"['Freude am Beraten', 'Freude am Umgang', 'Freude am Betreuung von Menschen', 'kannst gut in einem Team arbeiten']",1,"Hast du SoftSkill>Freude am Beraten von Menschen/SoftSkill>, SoftSkill>Freude am Umgang von Menschen/SoftSkill> und SoftSkill>Freude am Betreuung von Menschen/SoftSkill> und SoftSkill>kannst gut in einem Team arbeiten/SoftSkill>?","['Freude am Beraten von Menschen', 'Freude am Umgang von Menschen', 'Freude am Betreuung von Menschen', 'kannst gut in einem Team arbeiten']"
22,275," Sie <SoftSkill>kommunizieren stets angemessen</SoftSkill>, <SoftSkill_C>ehrlich</SoftSkill_C> sowie <SoftSkill_C>transparent</SoftSkill_C>, <SoftSkill>unterstützen ein wohlwollendes Gesprächsklima</SoftSkill> und zeichnen sich als <SoftSkill>Teamplayer</SoftSkill> aus."," Sie <SoftSkill>kommunizieren stets angemessen</SoftSkill>, <SoftSkill>kommunizieren stets ehrlich</SoftSkill> sowie <SoftSkill>kommunizieren stets transparent</SoftSkill>, <SoftSkill>unterstützen ein wohlwollendes Gesprächsklima</SoftSkill> und zeichnen sich als <SoftSkill>Teamplayer</SoftSkill> aus.",MC,"['kommunizieren stets angemessen', 'kommunizieren stets ehrlich', 'kommunizieren stets transparent', 'unterstützen ein wohlwollendes Gesprächsklima', 'Teamplayer']",1,"Sie SoftSkill>kommunizieren stets angemessen/SoftSkill>, SoftSkill>kommunizieren stets ehrlich/SoftSkill> sowie SoftSkill>kommunizieren stets transparent/SoftSkill>, SoftSkill>unterstützen ein wohlwollendes Gesprächsklima/SoftSkill> und zeichnen sich als SoftSkill>Teamplayer/SoftSkill> aus.","['kommunizieren stets angemessen', 'kommunizieren stets ehrlich', 'kommunizieren stets transparent', 'unterstützen ein wohlwollendes Gesprächsklima', 'Teamplayer']"
23,1583," Für unser Verkaufsgebiet in Bern suchen wir nach Vereinbarung eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>erfahrene</SoftSkill_C> und <SoftSkill>resultatorientierte Persönlichkeit</SoftSkill> als
Verkaufsberater (w/m) Wein in der Gastronomie (Region Bern)"," Für unser Verkaufsgebiet in Bern suchen wir nach Vereinbarung eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>erfahrene Persönlichkeit</SoftSkill> und <SoftSkill>resultatorientierte Persönlichkeit</SoftSkill> als Verkaufsberater (w/m) Wein in der Gastronomie (Region Bern)",MC,"['selbständige Persönlichkeit', 'erfahrene Persönlichkeit', 'resultatorientierte Persönlichkeit']",1,"Für unser Verkaufsgebiet in Bern suchen wir nach Vereinbarung eine SoftSkill>selbständige Persönlichkeit/SoftSkill>, SoftSkill>erfahrene Persönlichkeit/SoftSkill> und SoftSkill>resultatorientierte Persönlichkeit/SoftSkill> als Verkaufsberater (w/m) Wein in der Gastronomie (Region Bern)","['selbständige Persönlichkeit', 'erfahrene Persönlichkeit', 'resultatorientierte Persönlichkeit']"
24,111,"Ihre <SoftSkill_C>kundenorientierte</SoftSkill_C>, <SoftSkill_C>teamfähige</SoftSkill_C> und <SoftSkill>ausdauernde Persönlichkeit</SoftSkill> runden Ihr Profil ab.","Ihre <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill>, <SoftSkill>teamfähige Persönlichkeit</SoftSkill> und <SoftSkill>ausdauernde Persönlichkeit</SoftSkill> runden Ihr Profil ab.",MC,"['kundenorientierte Persönlichkeit', 'teamfähige Persönlichkeit', 'ausdauernde Persönlichkeit']",1,"Ihre SoftSkill>kundenorientierte Persönlichkeit/SoftSkill>, SoftSkill>teamfähige Persönlichkeit/SoftSkill> und SoftSkill>ausdauernde Persönlichkeit/SoftSkill> runden Ihr Profil ab.","['kundenorientierte Persönlichkeit', 'teamfähige Persönlichkeit', 'ausdauernde Persönlichkeit']"
25,1566," Sie sind eine <SoftSkill_C>offene</SoftSkill_C>, <SoftSkill>respektvolle Person</SoftSkill>, <SoftSkill>arbeiten gerne mit Menschen zusammen</SoftSkill> und verfügen über ein <SoftSkill>grosses Einfühlungsvermögen</SoftSkill>."," Sie sind eine <SoftSkill>offene Person</SoftSkill>, <SoftSkill>respektvolle Person</SoftSkill>, <SoftSkill>arbeiten gerne mit Menschen zusammen</SoftSkill> und verfügen über ein <SoftSkill>grosses Einfühlungsvermögen</SoftSkill>.",OWA,"['offene Person', 'respektvolle Person', 'arbeiten gerne mit Menschen zusammen', 'grosses Einfühlungsvermögen']",1,"Sie sind eine SoftSkill>offene Person/SoftSkill>, SoftSkill>respektvolle Person/SoftSkill>, SoftSkill>arbeiten gerne mit Menschen zusammen/SoftSkill> und verfügen über ein SoftSkill>grosses Einfühlungsvermögen/SoftSkill>.","['offene Person', 'respektvolle Person', 'arbeiten gerne mit Menschen zusammen', 'grosses Einfühlungsvermögen']"
26,1472," Wir wenden uns an einen Ingenieur der Fachrichtungen Maschinenbau, Mikrotechnik, Fahrzeugtechnik oder Systemtechnik mit dem <SoftSkill>Flair für das unternehmerische Handeln</SoftSkill> und den <SoftSkill_C>technischen Verkauf</SoftSkill_C>."," Wir wenden uns an einen Ingenieur der Fachrichtungen Maschinenbau, Mikrotechnik, Fahrzeugtechnik oder Systemtechnik mit dem <SoftSkill>Flair für das unternehmerische Handeln</SoftSkill> und dem <SoftSkill>Flair für den technischen Verkauf</SoftSkill>.",MWA,"['Flair für das unternehmerische Handeln', 'Flair für den technischen Verkauf']",1,"Wir wenden uns an einen Ingenieur der Fachrichtungen Maschinenbau, Mikrotechnik, Fahrzeugtechnik oder Systemtechnik mit dem SoftSkill>Flair für das unternehmerische Handeln/SoftSkill> und den SoftSkill>Flair für den technischen Verkauf/SoftSkill>.","['Flair für das unternehmerische Handeln', 'Flair für den technischen Verkauf']"
