,idx,input,generated_text,expected_text,wrong GPT3,Problem type,USAGE FLAG
110,296," Haben wir Ihr Interesse geweckt und sind Sie eine <SoftSkill_C>belastbare</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> sowie <SoftSkill>organisationsstarke Persönlichkeit</SoftSkill> mit <SoftSkill>viel Engagement</SoftSkill> und <SoftSkill>Motivation</SoftSkill>? ->"," Haben wir Ihr Interesse geweckt und sind Sie eine <SoftSkill>belastbare Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> sowie <SoftSkill>organisationsstarke Persönlichkeit</SoftSkill> mit <SoftSkill>viel Engagement</SoftSkill> und <SoftSkill>Motivation</SoftSkill>?"," Haben wir Ihr Interesse geweckt und sind Sie eine <SoftSkill>belastbare Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> sowie <SoftSkill>organisationsstarke Persönlichkeit</SoftSkill> mit <SoftSkill>viel Engagement</SoftSkill> und <SoftSkill>Motivation</SoftSkill>?",1,MC,1.0
111,297,•  <SoftSkill_C>Manuelles</SoftSkill_C> und <SoftSkill>technisches Geschick</SoftSkill> ->,<SoftSkill>Manuelles Geschick</SoftSkill> und <SoftSkill>technisches Geschick</SoftSkill>,<SoftSkill>Manuelles Geschick</SoftSkill> und <SoftSkill>technisches Geschick</SoftSkill>,1,OWA,1.0
112,298,•  <SoftSkill_C>engagiertes</SoftSkill_C> und <SoftSkill>motiviertes Lernverhalten</SoftSkill> ->,<SoftSkill>engagiertes Lernverhalten</SoftSkill> und <SoftSkill>motiviertes Lernverhalten</SoftSkill>,<SoftSkill>engagiertes Lernverhalten</SoftSkill> und <SoftSkill>motiviertes Lernverhalten</SoftSkill>,1,OWA,1.0
113,299,Sie sind eine <SoftSkill_C>teamfähige</SoftSkill_C> und <SoftSkill>körperliche robuste Person</SoftSkill> und überzeugen mit Ihrer <SoftSkill_C>genauen</SoftSkill_C> und <SoftSkill>speditiven Arbeitsweise</SoftSkill>. ->,Sie sind eine <SoftSkill>teamfähige Person</SoftSkill> und <SoftSkill>körperliche robuste Person</SoftSkill> und überzeugen mit Ihrer <SoftSkill>genauen Arbeitsweise</SoftSkill> und <SoftSkill>speditiven Arbeitsweise</SoftSkill>.,Sie sind eine <SoftSkill>teamfähige Person</SoftSkill> und <SoftSkill>körperliche robuste Person</SoftSkill> und überzeugen mit Ihrer <SoftSkill>genauen Arbeitsweise</SoftSkill> und <SoftSkill>speditiven Arbeitsweise</SoftSkill>.,1,MDC,1.0
114,300,•  <SoftSkill_C>Hohe Sozial-</SoftSkill_C> und <SoftSkill>Selbstkompetenz</SoftSkill> ->,<SoftSkill>Hohe Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>,<SoftSkill>Hohe Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>,1,HOWA,1.0
115,301," •  <SoftSkill_C>Selbstständige</SoftSkill_C>, <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> mit einer <SoftSkill>ausgeprägten Dienstleistungsorientierung</SoftSkill>, einer <SoftSkill>proaktiven Art</SoftSkill> und einem <SoftSkill>guten Gespür für Menschen</SoftSkill>. ->"," • <SoftSkill>Selbstständige Persönlichkeit</SoftSkill>, <SoftSkill>flexible Persönlichkeit</SoftSkill> und <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> mit einer <SoftSkill>ausgeprägten Dienstleistungsorientierung</SoftSkill>, einer <SoftSkill>proaktiven Art</SoftSkill> und einem <SoftSkill>guten Gespür für Menschen</SoftSkill>."," • <SoftSkill>Selbstständige Persönlichkeit</SoftSkill>, <SoftSkill>flexible Persönlichkeit</SoftSkill> und <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> mit einer <SoftSkill>ausgeprägten Dienstleistungsorientierung</SoftSkill>, einer <SoftSkill>proaktiven Art</SoftSkill> und einem <SoftSkill>guten Gespür für Menschen</SoftSkill>.",1,MC,1.0
116,302,<SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>proaktive Persönlichkeit</SoftSkill> mit <SoftSkill>rascher Auffassungsgabe</SoftSkill> ->,<SoftSkill>Selbständige Persönlichkeit</SoftSkill> und <SoftSkill>proaktive Persönlichkeit</SoftSkill> mit <SoftSkill>rascher Auffassungsgabe</SoftSkill>,<SoftSkill>Selbständige Persönlichkeit</SoftSkill> und <SoftSkill>proaktive Persönlichkeit</SoftSkill> mit <SoftSkill>rascher Auffassungsgabe</SoftSkill>,1,OWA,1.0
117,303,•  <SoftSkill>Interesse an technischen Zusammenhängen</SoftSkill> und <SoftSkill_C>Mechanik</SoftSkill_C> ->,<SoftSkill>Interesse an technischen Zusammenhängen</SoftSkill> und <SoftSkill>Interesse an Mechanik</SoftSkill>.,<SoftSkill>Interesse an technischen Zusammenhängen</SoftSkill> und <SoftSkill>Interesse an Mechanik</SoftSkill>.,1,MWA,1.0
118,304," Sie <SoftSkill_C>denken</SoftSkill_C> und <SoftSkill>handeln unternehmerisch</SoftSkill>, <SoftSkill_C>vorausschauend</SoftSkill_C> und haben <SoftSkill>Freude im Umgang mit Menschen</SoftSkill>. ->"," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>handeln unternehmerisch</SoftSkill>, <SoftSkill>denken vorausschauend</SoftSkill> und <SoftSkill>handeln vorausschauend</SoftSkill>, <SoftSkill>haben Freude im Umgang mit Menschen</SoftSkill> und <SoftSkill>haben Freude im Umgang mit Menschen</SoftSkill>."," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>handeln unternehmerisch</SoftSkill>, <SoftSkill>denken vorausschauend</SoftSkill> und <SoftSkill>handeln vorausschauend</SoftSkill>, <SoftSkill>haben Freude im Umgang mit Menschen</SoftSkill>",0,MDC,1.0
119,305,Sie verfügen über eine <SoftSkill_C>sehr gute mündliche</SoftSkill_C> und <SoftSkill>schriftliche Ausdrucksfähigkeit</SoftSkill>. ->,Sie verfügen über eine <SoftSkill>sehr gute mündliche Ausdrucksfähigkeitund</SoftSkill> und <SoftSkill>schriftliche Ausdrucksfähigkeit</SoftSkill>.,Sie verfügen über eine <SoftSkill>sehr gute mündliche Ausdrucksfähigkeitund</SoftSkill> und <SoftSkill>schriftliche Ausdrucksfähigkeit</SoftSkill>.,1,OWA,1.0
120,306," Sie <SoftSkill>agieren in schwierigen Situationen ruhig</SoftSkill>, <SoftSkill_C>vertrauenswürdig</SoftSkill_C> und <SoftSkill_C>mit souveräner Umsicht</SoftSkill_C>. ->"," Sie <SoftSkill>agieren in schwierigen Situationen ruhig</SoftSkill>, <SoftSkill>agieren vertrauenswürdig</SoftSkill> und <SoftSkill>agieren mit souveräner Umsicht</SoftSkill>."," Sie <SoftSkill>agieren in schwierigen Situationen ruhig</SoftSkill>, <SoftSkill>agieren vertrauenswürdig</SoftSkill> und <SoftSkill>agieren mit souveräner Umsicht</SoftSkill>.",1,MWA,1.0
121,307," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill_C>Umgang</SoftSkill_C>  und der <SoftSkill_C>Betreuung von Menschen</SoftSkill_C> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>? ->"," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill>Freude am Umgang</SoftSkill> und der<SoftSkill>Freude am Betreuung von Menschen</SoftSkill> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>"," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill>Freude am Umgang</SoftSkill> und der<SoftSkill>Freude am Betreuung von Menschen</SoftSkill> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>",1,MWA,1.0
122,308,Dazu sind Sie eine <SoftSkill_C>zielorientierte</SoftSkill_C> und <SoftSkill_C>unternehmerisch denkende</SoftSkill_C> wie <SoftSkill>handelnde Persönlichkeit</SoftSkill> mit <SoftSkill>hohem Einsatzwillen</SoftSkill>. ->,Dazu sind Sie eine <SoftSkill>zielorientierte Persönlichkeit</SoftSkill> und <SoftSkill>unternehmerisch denkende Persönlichkeit</SoftSkill> wie <SoftSkill>handelnde Persönlichkeit</SoftSkill> mit <SoftSkill>hohem Einsatzwillen</SoftSkill>.,Dazu sind Sie eine <SoftSkill>zielorientierte Persönlichkeit</SoftSkill> und <SoftSkill>unternehmerisch denkende Persönlichkeit</SoftSkill> wie <SoftSkill>handelnde Persönlichkeit</SoftSkill> mit <SoftSkill>hohem Einsatzwillen</SoftSkill>.,1,MC,1.0
123,309," Wir suchen eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>qualifizierte Persönlichkeit</SoftSkill> für die Funktion als
Abklärungsfachperson ->",Wir suchen eine <SoftSkill>engagierte Persönlichkeit</SoftSkill> und <SoftSkill>qualifizierte Persönlichkeit</SoftSkill> für die Funktion als Abklärungsfachperson.,Wir suchen eine <SoftSkill>engagierte Persönlichkeit</SoftSkill> und <SoftSkill>qualifizierte Persönlichkeit</SoftSkill> für die Funktion als Abklärungsfachperson.,1,OWA,1.0
124,310," Wir suchen:
per sofort oder nach Vereinbarung einen <SoftSkill_C>fachlich kompetenten</SoftSkill_C> und <SoftSkill>unternehmerisch denkenden</SoftSkill> ->"," Wir suchen:
per sofort oder nach Vereinbarung einen <SoftSkill>fachlich kompetenten denkenden</SoftSkill> und <SoftSkill>unternehmerisch denkenden</SoftSkill>"," Wir suchen:
per sofort oder nach Vereinbarung einen <SoftSkill>fachlich kompetenten denkenden</SoftSkill> und <SoftSkill>unternehmerisch denkenden</SoftSkill>",1,OWA,1.0
125,311," •  <SoftSkill>Teamfähig</SoftSkill>, <SoftSkill>kommunikativ</SoftSkill> und <SoftSkill>flexibel</SoftSkill> sowie eine <SoftSkill_C>lösungsorientierte</SoftSkill_C> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill> ->"," • <SoftSkill>Teamfähig</SoftSkill>, <SoftSkill>kommunikativ</SoftSkill> und <SoftSkill>flexibel</SoftSkill> sowie eine <SoftSkill>lösungsorientierte Persönlichkeit</SoftSkill> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill>"," • <SoftSkill>Teamfähig</SoftSkill>, <SoftSkill>kommunikativ</SoftSkill> und <SoftSkill>flexibel</SoftSkill> sowie eine <SoftSkill>lösungsorientierte Persönlichkeit</SoftSkill> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill>",1,OWA,1.0
126,312," •  <SoftSkill_C>Sauberes</SoftSkill_C> und <SoftSkill>gepflegtes Äusseres</SoftSkill>, <SoftSkill>korrektes Auftreten</SoftSkill> (evtl. tragen von Teamarbeitskleidung) ->"," • <SoftSkill>Sauberes Äusseres</SoftSkill> und <SoftSkill>gepflegtes Äusseres</SoftSkill>, <SoftSkill>korrektes Auftreten</SoftSkill> (evtl. tragen von Teamarbeitskleidung)"," • <SoftSkill>Sauberes Äusseres</SoftSkill> und <SoftSkill>gepflegtes Äusseres</SoftSkill>, <SoftSkill>korrektes Auftreten</SoftSkill> (evtl. tragen von Teamarbeitskleidung)",1,OWA,1.0
127,313," Diese Position erfordert eine <SoftSkill>sehr hohe Kommunikationsfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill_C>konzeptionelles</SoftSkill_C> und <SoftSkill>strukturiertes Denken</SoftSkill> sowie die <SoftSkill>Fähigkeit, Problemstellungen systematisch zu lösen</SoftSkill>. ->"," Diese Position erfordert eine <SoftSkill>sehr hohe Kommunikationsfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>konzeptionelles Denken</SoftSkill> und <SoftSkill>strukturiertes Denken</SoftSkill> sowie die <SoftSkill>Fähigkeit, Problemstellungen systematisch zu lösen</SoftSkill>."," Diese Position erfordert eine <SoftSkill>sehr hohe Kommunikationsfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>konzeptionelles Denken</SoftSkill> und <SoftSkill>strukturiertes Denken</SoftSkill> sowie die <SoftSkill>Fähigkeit, Problemstellungen systematisch zu lösen</SoftSkill>.",1,OWA,1.0
128,314," Sie sind eine <SoftSkill_C>freundliche</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>flexible Person</SoftSkill>, die sich <SoftSkill>motiviert mit Herz</SoftSkill> und <SoftSkill>Leidenschaft</SoftSkill> in der Kindergruppe einbringt und dort ihre eigenen Ideen umsetzt. ->","  Sie sind eine <SoftSkill>freundliche Person</SoftSkill>, <SoftSkill>zuverlässige Person</SoftSkill> und <SoftSkill>flexible Person</SoftSkill>, die sich <SoftSkill>motiviert mit Herz</SoftSkill> und <SoftSkill>motiviert mit Leidenschaft</SoftSkill> in der Kindergruppe einbringt und dort ihre eigenen Ideen umsetzt.","  Sie sind eine <SoftSkill>freundliche Person</SoftSkill>, <SoftSkill>zuverlässige Person</SoftSkill> und <SoftSkill>flexible Person</SoftSkill>, die sich <SoftSkill>motiviert mit Herz</SoftSkill> und <SoftSkill>motiviert mit Leidenschaft</SoftSkill> in der Kindergruppe einbringt und dort ihre eigenen Ideen umsetzt.",1,MC,1.0
129,315," Es <SoftSkill>fällt Ihnen leicht, komplexe Sachverhalte stufengerecht darzustellen</SoftSkill> und zu <SoftSkill_C>dokumentieren</SoftSkill_C>. ->"," Es <SoftSkill>fällt Ihnen leicht, komplexe Sachverhalte stufengerecht darzustellen</SoftSkill> und <SoftSkill>es fällt Ihnen leicht, komplexe Sachverhalte stufengerecht zu dokumentieren</SoftSkill>."," Es <SoftSkill>fällt Ihnen leicht, komplexe Sachverhalte stufengerecht darzustellen</SoftSkill> und <SoftSkill>es fällt Ihnen leicht, komplexe Sachverhalte stufengerecht zu dokumentieren</SoftSkill>.",1,MWA,1.0
130,316,•  <SoftSkill>Präzise Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C> ->,<SoftSkill>Präzise Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill>.,<SoftSkill>Präzise Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill>.,1,OWA,1.0
131,317," Sie bringen ein <SoftSkill>ausgeprägtes Interesse am Bildungswesen</SoftSkill> mit und überzeugen durch Ihre <SoftSkill_C>strukturierte</SoftSkill_C>, <SoftSkill_C>ziel-</SoftSkill_C> und <SoftSkill>dienstleistungsorientierte Arbeit</SoftSkill>. ->"," Sie bringen ein <SoftSkill>ausgeprägtes Interesse am Bildungswesen</SoftSkill> mit und überzeugen durch Ihre <SoftSkill>strukturierte Arbeit</SoftSkill>, <SoftSkill>zielorientierte Arbeit</SoftSkill> und <SoftSkill>dienstleistungsorientierte Arbeit</SoftSkill>."," Sie bringen ein <SoftSkill>ausgeprägtes Interesse am Bildungswesen</SoftSkill> mit und überzeugen durch Ihre <SoftSkill>strukturierte Arbeit</SoftSkill>, <SoftSkill>zielorientierte Arbeit</SoftSkill> und <SoftSkill>dienstleistungsorientierte Arbeit</SoftSkill>.",1,HOWA,1.0
132,318,Sie haben ein <SoftSkill>ausgeprägtes Flair für Kommunikation</SoftSkill> und <SoftSkill_C>Marketing</SoftSkill_C> im industriellen Umfeld und eine <SoftSkill>Affinität zu Hightech und Digitalisierung</SoftSkill>. ->,Sie haben ein <SoftSkill>ausgeprägtes Flair für Kommunikation</SoftSkill> und <SoftSkill>ein ausgeprägtes Flair für Marketing</SoftSkill> im industriellen Umfeld und eine <SoftSkill>Affinität zu Hightech und Digitalisierung</SoftSkill>.,Sie haben ein <SoftSkill>ausgeprägtes Flair für Kommunikation</SoftSkill> und <SoftSkill>ein ausgeprägtes Flair für Marketing</SoftSkill> im industriellen Umfeld und eine <SoftSkill>Affinität zu Hightech und Digitalisierung</SoftSkill>.,1,MWA,1.0
133,319," Weiterhin verfügen Sie über <SoftSkill>ausgeprägten verkäuferischen Instinkt</SoftSkill>, <SoftSkill>Durchhaltevermögen</SoftSkill> und <SoftSkill_C>Dienstleistungs-</SoftSkill_C>, <SoftSkill_C>Organisations-</SoftSkill_C> und
<SoftSkill>Kommunikationsstärken</SoftSkill>. ->","  Weiterhin verfügen Sie über <SoftSkill>ausgeprägten verkäuferischen Instinkt</SoftSkill>, <SoftSkill>Durchhaltevermögen</SoftSkill> und <SoftSkill>Dienstleistungsstärken</SoftSkill>, <SoftSkill>Organisationsstärken</SoftSkill> und <SoftSkill>Kommunikationsstärken</SoftSkill>.","  Weiterhin verfügen Sie über <SoftSkill>ausgeprägten verkäuferischen Instinkt</SoftSkill>, <SoftSkill>Durchhaltevermögen</SoftSkill> und <SoftSkill>Dienstleistungsstärken</SoftSkill>, <SoftSkill>Organisationsstärken</SoftSkill> und <SoftSkill>Kommunikationsstärken</SoftSkill>.",1,HOWA,1.0
134,320," Für diese Tätigkeit stellen wir uns eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>teamfähige</SoftSkill_C> und <SoftSkill>humorvolle Persönlichkeit</SoftSkill> vor, die eine kaufmännische oder gleichwertige Ausbildung mit medizinischem Hintergrund mitbringt. ->"," Für diese Tätigkeit stellen wir uns eine <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>teamfähige Persönlichkeit</SoftSkill> und <SoftSkill>humorvolle Persönlichkeit</SoftSkill> vor, die eine kaufmännische oder gleichwertige Ausbildung mit medizinischem Hintergrund mitbringt."," Für diese Tätigkeit stellen wir uns eine <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>teamfähige Persönlichkeit</SoftSkill> und <SoftSkill>humorvolle Persönlichkeit</SoftSkill> vor, die eine kaufmännische oder gleichwertige Ausbildung mit medizinischem Hintergrund mitbringt.",1,MC,1.0
