input,expected_text,generated_text,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,Problem type
<SoftSkill_C>Kommunikations-</SoftSkill_C> und <SoftSkill>Teamfähigkeit</SoftSkill>,<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Teamfähigkeit</SoftSkill>,<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Teamfähigkeit</SoftSkill>,Kommunikationsfähigkeit und Teamfähigkeit,Kommunikationsfähigkeit und Teamfähigkeit,0,HOWA
"Wir suchen eine <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine initiative Persönlichkeit und kreative Persönlichkeit, die in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann.","Wir suchen eine initiative Persönlichkeit und kreative Persönlichkeit, die in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann.",0,OWA
"<SoftSkill_C>freundliche</SoftSkill_C> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","<SoftSkill>Freundliche Bedienung unserer Kundschaft</SoftSkill> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","<SoftSkill>Freundliche Bedienung unserer Kundschaft</SoftSkill> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","Freundliche Bedienung unserer Kundschaft und fachkundige Bedienung unserer Kundschaft kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch optimale Warenpräsentation bewirtschaften der Selbstbedienung Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP Warenbestellung","Freundliche Bedienung unserer Kundschaft und fachkundige Bedienung unserer Kundschaft kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch optimale Warenpräsentation bewirtschaften der Selbstbedienung Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP Warenbestellung",0,MWA
<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill_C>hohe Kunden-</SoftSkill_C> und <SoftSkill>Lösungsorientierung</SoftSkill>?,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill>hohe Kundenorientierung</SoftSkill> und <SoftSkill>Lösungsorientierung</SoftSkill>?,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill>hohe Kundenorientierung</SoftSkill> und <SoftSkill>Lösungsorientierung</SoftSkill>?,Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen und verfügen Sie über eine hohe Kundenorientierung und Lösungsorientierung?,Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen und verfügen Sie über eine hohe Kundenorientierung und Lösungsorientierung?,0,HOWA
"Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill_C>gründlich</SoftSkill_C>.","Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill>arbeitest gründlich</SoftSkill>.","Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill>arbeitest gründlich</SoftSkill>.","Du kannst dir Konstruktionen räumlich vorstellen, bist handwerklich geschickt und arbeitest exakt und arbeitest gründlich.","Du kannst dir Konstruktionen räumlich vorstellen, bist handwerklich geschickt und arbeitest exakt und arbeitest gründlich.",0,OWA
•  <SoftSkill_C>Spass</SoftSkill_C> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• <SoftSkill>Spass an permanenter Weiterentwicklung des Know-hows</SoftSkill> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• <SoftSkill>Spass</SoftSkill> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• Spass und Interesse an permanenter Weiterentwicklung des Know-hows,• Spass an permanenter Weiterentwicklung des Know-hows und Interesse an permanenter Weiterentwicklung des Know-hows,47,MWA
Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine engagierte Person und qualifizierte Person als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine engagierte Person und qualifizierte Person als Teamleiter Qualitätssicherung.,0,OWA
<SoftSkill_C>Gute schriftliche</SoftSkill_C> und <SoftSkill>mündliche Kommunikations- fähigkeiten</SoftSkill>,<SoftSkill>Gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>gute mündliche Kommunikationsfähigkeiten</SoftSkill>,<SoftSkill>Gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>mündliche Kommunikationsfähigkeiten</SoftSkill>,Gute schriftliche Kommunikationsfähigkeiten und mündliche Kommunikationsfähigkeiten,Gute schriftliche Kommunikationsfähigkeiten und gute mündliche Kommunikationsfähigkeiten,5,OWA
"Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, zu <SoftSkill_C>fördern</SoftSkill_C> und <SoftSkill_C>gezielt einzusetzen</SoftSkill_C>.","Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, <SoftSkill>Ihre Mitarbeitenden zu fördern</SoftSkill> und <SoftSkill>Ihre Mitarbeitenden gezielt einzusetzen</SoftSkill>.","Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, zu <SoftSkill>fördern</SoftSkill> und <SoftSkill>gezielt einzusetzen</SoftSkill>.","Als Führungspersönlichkeit haben Sie Freude daran, Ihre Mitarbeitenden zu führen, zu fördern und gezielt einzusetzen.","Als Führungspersönlichkeit haben Sie Freude daran, Ihre Mitarbeitenden zu führen, Ihre Mitarbeitenden zu fördern und Ihre Mitarbeitenden gezielt einzusetzen.",40,MC
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.,"
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.","
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.", Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine selbstständige Persönlichkeit und initiative Persönlichkeit., Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine selbstständige Persönlichkeit und initiative Persönlichkeit.,0,OWA
"Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill_C>einfach du selbst</SoftSkill_C>?","Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill>einfach du selbst</SoftSkill>?","Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill>einfach du selbst</SoftSkill>?","Bist du flexibel, vielseitig interessiert und einfach du selbst?","Bist du flexibel, vielseitig interessiert und einfach du selbst?",0,NONE
"<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill>Exakte</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>",Zahlenflair Gute Auffassungsgabe Organisatorisches Geschick Vernetztes Denken Exakte und selbstständige Arbeitsweise Kontaktfreudig Gute Umgangsformen,Zahlenflair Gute Auffassungsgabe Organisatorisches Geschick Vernetztes Denken Exakte Arbeitsweise und selbstständige Arbeitsweise Kontaktfreudig Gute Umgangsformen,13,OWA
"Eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine selbständige Arbeitsweise und problemlösungsorientierte Arbeitsweise sowie unternehmerisches Denken zeichnen Sie ebenso aus, wie eine schnelle Auffassungsgabe und Geschick im Umgang mit Kunden","Eine selbständige Arbeitsweise und problemlösungsorientierte Arbeitsweise sowie unternehmerisches Denken zeichnen Sie ebenso aus, wie eine schnelle Auffassungsgabe und Geschick im Umgang mit Kunden",0,OWA
"Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill_C>proaktiven</SoftSkill_C>, <SoftSkill_C>selbständigen</SoftSkill_C> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill>proaktiven Arbeitsstil</SoftSkill>, <SoftSkill>selbständigen Arbeitsstil</SoftSkill> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill>proaktiven Arbeitsstil</SoftSkill>, <SoftSkill>selbständigen Arbeitsstil</SoftSkill> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein absoluter Teamplayer, verfügen über eine rasche Auffassungsgabe und überzeugen durch Ihren proaktiven Arbeitsstil, selbständigen Arbeitsstil und eigenverantwortlichen Arbeitsstil.","Sie sind ein absoluter Teamplayer, verfügen über eine rasche Auffassungsgabe und überzeugen durch Ihren proaktiven Arbeitsstil, selbständigen Arbeitsstil und eigenverantwortlichen Arbeitsstil.",0,MC
Wir wenden uns an ein <SoftSkill_C>junges</SoftSkill_C> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.,Wir wenden uns an ein <SoftSkill>junges Verkaufstalent</SoftSkill> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.,Wir wenden uns an ein <SoftSkill>junges Verkaufstalent</SoftSkill> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.,Wir wenden uns an ein junges Verkaufstalent und dynamisches Verkaufstalent.,Wir wenden uns an ein junges Verkaufstalent und dynamisches Verkaufstalent.,0,OWA
