input,expected_text,generated_text,input_skills_all,expected_skills_all,generated_skills_all,num_skills_all,num_gen_skills_all,percent_skills_match_all,num_skills_match_all,rouge_scores_skill_all,bleu_scores_skill_all,rouge1_avg_skill_all,rouge2_avg_skill_all,rougeL_avg_skill_all,bleu_avg_skill_all,levenshtein_skill_all,mismatched_ALL,Problem type
<SoftSkill_C>Kommunikations-</SoftSkill_C> und <SoftSkill>Teamfähigkeit</SoftSkill>,<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Teamfähigkeit</SoftSkill>,<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Teamfähigkeit</SoftSkill>,"['Kommunikations-', 'Teamfähigkeit']","['Kommunikationsfähigkeit', 'Teamfähigkeit']","['Kommunikationsfähigkeit', 'Teamfähigkeit']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.0,0.999999995,1.0,0,False,HOWA
"Wir suchen eine <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","['initiative', 'kreative Persönlichkeit', 'in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann']","['initiative Persönlichkeit', 'kreative Persönlichkeit', 'in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann']","['initiative Persönlichkeit', 'kreative Persönlichkeit', 'in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"<SoftSkill_C>freundliche</SoftSkill_C> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","<SoftSkill>Freundliche Bedienung unserer Kundschaft</SoftSkill> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","<SoftSkill>Freundliche Bedienung unserer Kundschaft</SoftSkill> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","['freundliche', 'fachkundige Bedienung unserer Kundschaft']","['Freundliche Bedienung unserer Kundschaft', 'fachkundige Bedienung unserer Kundschaft']","['Freundliche Bedienung unserer Kundschaft', 'fachkundige Bedienung unserer Kundschaft']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MWA
<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill_C>hohe Kunden-</SoftSkill_C> und <SoftSkill>Lösungsorientierung</SoftSkill>?,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill>hohe Kundenorientierung</SoftSkill> und <SoftSkill>Lösungsorientierung</SoftSkill>?,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill>hohe Kundenorientierung</SoftSkill> und <SoftSkill>Lösungsorientierung</SoftSkill>?,"['Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen', 'hohe Kunden-', 'Lösungsorientierung']","['Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen', 'hohe Kundenorientierung', 'Lösungsorientierung']","['Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen', 'hohe Kundenorientierung', 'Lösungsorientierung']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.6666666633333334,0.999999995,1.0,0,False,HOWA
"Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill_C>gründlich</SoftSkill_C>.","Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill>arbeitest gründlich</SoftSkill>.","Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill>arbeitest gründlich</SoftSkill>.","['kannst dir Konstruktionen räumlich vorstellen', 'handwerklich geschickt', 'arbeitest exakt', 'gründlich']","['kannst dir Konstruktionen räumlich vorstellen', 'handwerklich geschickt', 'arbeitest exakt', 'arbeitest gründlich']","['kannst dir Konstruktionen räumlich vorstellen', 'handwerklich geschickt', 'arbeitest exakt', 'arbeitest gründlich']",4,4,100.0,4.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
•  <SoftSkill_C>Spass</SoftSkill_C> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• <SoftSkill>Spass an permanenter Weiterentwicklung des Know-hows</SoftSkill> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• <SoftSkill>Spass</SoftSkill> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,"['Spass', 'Interesse an permanenter Weiterentwicklung des Know-hows']","['Spass an permanenter Weiterentwicklung des Know-hows', 'Interesse an permanenter Weiterentwicklung des Know-hows']","['Spass', 'Interesse an permanenter Weiterentwicklung des Know-hows']",2,2,50.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 0.16666666666666666, 'f': 0.2857142832653061}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 0.16666666666666666, 'f': 0.2857142832653061}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[8.272406555663223e-05, 1.0]",0.6428571391326531,0.4999999975,0.6428571391326531,0.5000413620327783,47,False,MWA
Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,"['engagierte', 'qualifizierte Person']","['engagierte Person', 'qualifizierte Person']","['engagierte Person', 'qualifizierte Person']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
<SoftSkill_C>Gute schriftliche</SoftSkill_C> und <SoftSkill>mündliche Kommunikations- fähigkeiten</SoftSkill>,<SoftSkill>Gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>gute mündliche Kommunikationsfähigkeiten</SoftSkill>,<SoftSkill>Gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>mündliche Kommunikationsfähigkeiten</SoftSkill>,"['Gute schriftliche', 'mündliche Kommunikations- fähigkeiten']","['Gute schriftliche Kommunikationsfähigkeiten', 'gute mündliche Kommunikationsfähigkeiten']","['Gute schriftliche Kommunikationsfähigkeiten', 'mündliche Kommunikationsfähigkeiten']",2,2,50.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 0.6666666666666666, 'f': 0.7999999952000001}, 'rouge-2': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}, 'rouge-l': {'r': 1.0, 'p': 0.6666666666666666, 'f': 0.7999999952000001}}]]","[1.0, 0.8668778997501817]",0.8999999951000001,0.8333333286111111,0.8999999951000001,0.9334389498750908,5,False,OWA
"Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, zu <SoftSkill_C>fördern</SoftSkill_C> und <SoftSkill_C>gezielt einzusetzen</SoftSkill_C>.","Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, <SoftSkill>Ihre Mitarbeitenden zu fördern</SoftSkill> und <SoftSkill>Ihre Mitarbeitenden gezielt einzusetzen</SoftSkill>.","Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, zu <SoftSkill>fördern</SoftSkill> und <SoftSkill>gezielt einzusetzen</SoftSkill>.","['Führungspersönlichkeit', 'Freude daran, Ihre Mitarbeitenden zu führen', 'fördern', 'gezielt einzusetzen']","['Führungspersönlichkeit', 'Freude daran, Ihre Mitarbeitenden zu führen', 'Ihre Mitarbeitenden zu fördern', 'Ihre Mitarbeitenden gezielt einzusetzen']","['Führungspersönlichkeit', 'Freude daran, Ihre Mitarbeitenden zu führen', 'fördern', 'gezielt einzusetzen']",4,4,50.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}}], [{'rouge-1': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}, 'rouge-2': {'r': 1.0, 'p': 0.3333333333333333, 'f': 0.4999999962500001}, 'rouge-l': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}}]]","[1.0, 1.0, 0.03741385136723659, 0.3490180709313199]",0.7666666622555556,0.37499999781250004,0.7666666622555556,0.5966079805746392,43,False,MC
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.,"
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.","
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.","['selbstständige', 'initiative Persönlichkeit']","['selbstständige Persönlichkeit', 'initiative Persönlichkeit']","['selbstständige Persönlichkeit', 'initiative Persönlichkeit']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill_C>einfach du selbst</SoftSkill_C>?","Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill>einfach du selbst</SoftSkill>?","Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill>einfach du selbst</SoftSkill>?","['flexibel', 'vielseitig interessiert', 'einfach du selbst']","['flexibel', 'vielseitig interessiert', 'einfach du selbst']","['flexibel', 'vielseitig interessiert', 'einfach du selbst']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.6666666633333334,0.999999995,1.0,0,False,NONE
"<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill>Exakte</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","['Zahlenflair', 'Gute Auffassungsgabe', 'Organisatorisches Geschick', 'Vernetztes Denken', 'Exakte', 'selbstständige Arbeitsweise', 'Kontaktfreudig', 'Gute Umgangsformen']","['Zahlenflair', 'Gute Auffassungsgabe', 'Organisatorisches Geschick', 'Vernetztes Denken', 'Exakte Arbeitsweise', 'selbstständige Arbeitsweise', 'Kontaktfreudig', 'Gute Umgangsformen']","['Zahlenflair', 'Gute Auffassungsgabe', 'Organisatorisches Geschick', 'Vernetztes Denken', 'Exakte', 'selbstständige Arbeitsweise', 'Kontaktfreudig', 'Gute Umgangsformen']",8,8,87.5,7.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 0.11455884399268773, 1.0, 1.0, 1.0]",0.9583333284027777,0.624999996875,0.9583333284027777,0.889319855499086,13,False,OWA
"Eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","['selbständige', 'problemlösungsorientierte Arbeitsweise', 'unternehmerisches Denken', 'schnelle Auffassungsgabe', 'Geschick im Umgang mit Kunden']","['selbständige Arbeitsweise', 'problemlösungsorientierte Arbeitsweise', 'unternehmerisches Denken', 'schnelle Auffassungsgabe', 'Geschick im Umgang mit Kunden']","['selbständige Arbeitsweise', 'problemlösungsorientierte Arbeitsweise', 'unternehmerisches Denken', 'schnelle Auffassungsgabe', 'Geschick im Umgang mit Kunden']",5,5,100.0,5.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.9999999949999999,0.9999999949999999,1.0,0,False,OWA
"Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill_C>proaktiven</SoftSkill_C>, <SoftSkill_C>selbständigen</SoftSkill_C> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill>proaktiven Arbeitsstil</SoftSkill>, <SoftSkill>selbständigen Arbeitsstil</SoftSkill> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill>proaktiven Arbeitsstil</SoftSkill>, <SoftSkill>selbständigen Arbeitsstil</SoftSkill> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","['absoluter Teamplayer', 'rasche Auffassungsgabe', 'proaktiven', 'selbständigen', 'eigenverantwortlichen Arbeitsstil']","['absoluter Teamplayer', 'rasche Auffassungsgabe', 'proaktiven Arbeitsstil', 'selbständigen Arbeitsstil', 'eigenverantwortlichen Arbeitsstil']","['absoluter Teamplayer', 'rasche Auffassungsgabe', 'proaktiven Arbeitsstil', 'selbständigen Arbeitsstil', 'eigenverantwortlichen Arbeitsstil']",5,5,100.0,5.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.9999999949999999,0.9999999949999999,1.0,0,False,MC
