input,expected_text,generated_text,input_skills_C,expected_skills_C,generated_skills_C,num_skills_C,num_gen_skills_C,percent_skills_match_C,num_skills_match_C,rouge_scores_skill_C,bleu_scores_skill_C,rouge1_avg_skill_C,rouge2_avg_skill_C,rougeL_avg_skill_C,bleu_avg_skill_C,levenshtein_skill_C,mismatched_ALL,Problem type
<SoftSkill_C>Kommunikations-</SoftSkill_C> und <SoftSkill>Teamfähigkeit</SoftSkill>,<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Teamfähigkeit</SoftSkill>,<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Teamfähigkeit</SoftSkill>,['Kommunikations-'],['Kommunikationsfähigkeit'],['Kommunikationsfähigkeit'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.0,0.999999995,1.0,0,False,HOWA
"Wir suchen eine <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.",['initiative'],['initiative Persönlichkeit'],['initiative Persönlichkeit'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"<SoftSkill_C>freundliche</SoftSkill_C> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","<SoftSkill>Freundliche Bedienung unserer Kundschaft</SoftSkill> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","<SoftSkill>Freundliche Bedienung unserer Kundschaft</SoftSkill> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung",['freundliche'],['Freundliche Bedienung unserer Kundschaft'],['Freundliche Bedienung unserer Kundschaft'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,MWA
<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill_C>hohe Kunden-</SoftSkill_C> und <SoftSkill>Lösungsorientierung</SoftSkill>?,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill>hohe Kundenorientierung</SoftSkill> und <SoftSkill>Lösungsorientierung</SoftSkill>?,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill>hohe Kundenorientierung</SoftSkill> und <SoftSkill>Lösungsorientierung</SoftSkill>?,['hohe Kunden-'],['hohe Kundenorientierung'],['hohe Kundenorientierung'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
"Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill_C>gründlich</SoftSkill_C>.","Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill>arbeitest gründlich</SoftSkill>.","Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill>arbeitest gründlich</SoftSkill>.",['gründlich'],['arbeitest gründlich'],['arbeitest gründlich'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
•  <SoftSkill_C>Spass</SoftSkill_C> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• <SoftSkill>Spass an permanenter Weiterentwicklung des Know-hows</SoftSkill> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• <SoftSkill>Spass</SoftSkill> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,['Spass'],['Spass an permanenter Weiterentwicklung des Know-hows'],['Spass'],1,1,0.0,0.0,"[[{'rouge-1': {'r': 1.0, 'p': 0.16666666666666666, 'f': 0.2857142832653061}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 0.16666666666666666, 'f': 0.2857142832653061}}]]",[8.272406555663223e-05],0.2857142832653061,0.0,0.2857142832653061,8.272406555663223e-05,47,False,MWA
Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,['engagierte'],['engagierte Person'],['engagierte Person'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
<SoftSkill_C>Gute schriftliche</SoftSkill_C> und <SoftSkill>mündliche Kommunikations- fähigkeiten</SoftSkill>,<SoftSkill>Gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>gute mündliche Kommunikationsfähigkeiten</SoftSkill>,<SoftSkill>Gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>mündliche Kommunikationsfähigkeiten</SoftSkill>,['Gute schriftliche'],['Gute schriftliche Kommunikationsfähigkeiten'],['Gute schriftliche Kommunikationsfähigkeiten'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, zu <SoftSkill_C>fördern</SoftSkill_C> und <SoftSkill_C>gezielt einzusetzen</SoftSkill_C>.","Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, <SoftSkill>Ihre Mitarbeitenden zu fördern</SoftSkill> und <SoftSkill>Ihre Mitarbeitenden gezielt einzusetzen</SoftSkill>.","Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, zu <SoftSkill>fördern</SoftSkill> und <SoftSkill>gezielt einzusetzen</SoftSkill>.","['fördern', 'gezielt einzusetzen']","['Ihre Mitarbeitenden zu fördern', 'Ihre Mitarbeitenden gezielt einzusetzen']","['fördern', 'gezielt einzusetzen']",2,2,0.0,0.0,"[[{'rouge-1': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}}], [{'rouge-1': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}, 'rouge-2': {'r': 1.0, 'p': 0.3333333333333333, 'f': 0.4999999962500001}, 'rouge-l': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}}]]","[0.03741385136723659, 0.3490180709313199]",0.5333333295111111,0.24999999812500004,0.5333333295111111,0.19321596114927825,43,False,MC
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.,"
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.","
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.",['selbstständige'],['selbstständige Persönlichkeit'],['selbstständige Persönlichkeit'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill_C>einfach du selbst</SoftSkill_C>?","Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill>einfach du selbst</SoftSkill>?","Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill>einfach du selbst</SoftSkill>?",['einfach du selbst'],['einfach du selbst'],['einfach du selbst'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,NONE
