idx,input,expected_text,generated_text,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,Problem type
296," Haben wir Ihr Interesse geweckt und sind Sie eine <SoftSkill_C>belastbare</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> sowie <SoftSkill>organisationsstarke Persönlichkeit</SoftSkill> mit <SoftSkill>viel Engagement</SoftSkill> und <SoftSkill>Motivation</SoftSkill>? ->"," Haben wir Ihr Interesse geweckt und sind Sie eine <SoftSkill>belastbare Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> sowie <SoftSkill>organisationsstarke Persönlichkeit</SoftSkill> mit <SoftSkill>viel Engagement</SoftSkill> und <SoftSkill>Motivation</SoftSkill>?"," Haben wir Ihr Interesse geweckt und sind Sie eine <SoftSkill>belastbare Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> sowie <SoftSkill>organisationsstarke Persönlichkeit</SoftSkill> mit <SoftSkill>viel Engagement</SoftSkill> und <SoftSkill>Motivation</SoftSkill>?"," Haben wir Ihr Interesse geweckt und sind Sie eine belastbare Persönlichkeit, zuverlässige Persönlichkeit sowie organisationsstarke Persönlichkeit mit viel Engagement und Motivation?"," Haben wir Ihr Interesse geweckt und sind Sie eine belastbare Persönlichkeit, zuverlässige Persönlichkeit sowie organisationsstarke Persönlichkeit mit viel Engagement und Motivation?",0,MC
297,•  <SoftSkill_C>Manuelles</SoftSkill_C> und <SoftSkill>technisches Geschick</SoftSkill> ->,<SoftSkill>Manuelles Geschick</SoftSkill> und <SoftSkill>technisches Geschick</SoftSkill>,<SoftSkill>Manuelles Geschick</SoftSkill> und <SoftSkill>technisches Geschick</SoftSkill>,Manuelles Geschick und technisches Geschick,Manuelles Geschick und technisches Geschick,0,OWA
298,•  <SoftSkill_C>engagiertes</SoftSkill_C> und <SoftSkill>motiviertes Lernverhalten</SoftSkill> ->,<SoftSkill>engagiertes Lernverhalten</SoftSkill> und <SoftSkill>motiviertes Lernverhalten</SoftSkill>,<SoftSkill>engagiertes Lernverhalten</SoftSkill> und <SoftSkill>motiviertes Lernverhalten</SoftSkill>,engagiertes Lernverhalten und motiviertes Lernverhalten,engagiertes Lernverhalten und motiviertes Lernverhalten,0,OWA
299,Sie sind eine <SoftSkill_C>teamfähige</SoftSkill_C> und <SoftSkill>körperliche robuste Person</SoftSkill> und überzeugen mit Ihrer <SoftSkill_C>genauen</SoftSkill_C> und <SoftSkill>speditiven Arbeitsweise</SoftSkill>. ->,Sie sind eine <SoftSkill>teamfähige Person</SoftSkill> und <SoftSkill>körperliche robuste Person</SoftSkill> und überzeugen mit Ihrer <SoftSkill>genauen Arbeitsweise</SoftSkill> und <SoftSkill>speditiven Arbeitsweise</SoftSkill>.,Sie sind eine <SoftSkill>teamfähige Person</SoftSkill> und <SoftSkill>körperliche robuste Person</SoftSkill> und überzeugen mit Ihrer <SoftSkill>genauen Arbeitsweise</SoftSkill> und <SoftSkill>speditiven Arbeitsweise</SoftSkill>.,Sie sind eine teamfähige Person und körperliche robuste Person und überzeugen mit Ihrer genauen Arbeitsweise und speditiven Arbeitsweise.,Sie sind eine teamfähige Person und körperliche robuste Person und überzeugen mit Ihrer genauen Arbeitsweise und speditiven Arbeitsweise.,0,MDC
300,•  <SoftSkill_C>Hohe Sozial-</SoftSkill_C> und <SoftSkill>Selbstkompetenz</SoftSkill> ->,<SoftSkill>Hohe Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>,<SoftSkill>Hohe Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>,Hohe Sozialkompetenz und Selbstkompetenz,Hohe Sozialkompetenz und Selbstkompetenz,0,HOWA
301," •  <SoftSkill_C>Selbstständige</SoftSkill_C>, <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> mit einer <SoftSkill>ausgeprägten Dienstleistungsorientierung</SoftSkill>, einer <SoftSkill>proaktiven Art</SoftSkill> und einem <SoftSkill>guten Gespür für Menschen</SoftSkill>. ->"," • <SoftSkill>Selbstständige Persönlichkeit</SoftSkill>, <SoftSkill>flexible Persönlichkeit</SoftSkill> und <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> mit einer <SoftSkill>ausgeprägten Dienstleistungsorientierung</SoftSkill>, einer <SoftSkill>proaktiven Art</SoftSkill> und einem <SoftSkill>guten Gespür für Menschen</SoftSkill>."," • <SoftSkill>Selbstständige Persönlichkeit</SoftSkill>, <SoftSkill>flexible Persönlichkeit</SoftSkill> und <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> mit einer <SoftSkill>ausgeprägten Dienstleistungsorientierung</SoftSkill>, einer <SoftSkill>proaktiven Art</SoftSkill> und einem <SoftSkill>guten Gespür für Menschen</SoftSkill>."," • Selbstständige Persönlichkeit, flexible Persönlichkeit und kommunikationsstarke Persönlichkeit mit einer ausgeprägten Dienstleistungsorientierung, einer proaktiven Art und einem guten Gespür für Menschen."," • Selbstständige Persönlichkeit, flexible Persönlichkeit und kommunikationsstarke Persönlichkeit mit einer ausgeprägten Dienstleistungsorientierung, einer proaktiven Art und einem guten Gespür für Menschen.",0,MC
302,<SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>proaktive Persönlichkeit</SoftSkill> mit <SoftSkill>rascher Auffassungsgabe</SoftSkill> ->,<SoftSkill>Selbständige Persönlichkeit</SoftSkill> und <SoftSkill>proaktive Persönlichkeit</SoftSkill> mit <SoftSkill>rascher Auffassungsgabe</SoftSkill>,<SoftSkill>Selbständige Persönlichkeit</SoftSkill> und <SoftSkill>proaktive Persönlichkeit</SoftSkill> mit <SoftSkill>rascher Auffassungsgabe</SoftSkill>,Selbständige Persönlichkeit und proaktive Persönlichkeit mit rascher Auffassungsgabe,Selbständige Persönlichkeit und proaktive Persönlichkeit mit rascher Auffassungsgabe,0,OWA
303,•  <SoftSkill>Interesse an technischen Zusammenhängen</SoftSkill> und <SoftSkill_C>Mechanik</SoftSkill_C> ->,<SoftSkill>Interesse an technischen Zusammenhängen</SoftSkill> und <SoftSkill>Interesse an Mechanik</SoftSkill>.,<SoftSkill>Interesse an technischen Zusammenhängen</SoftSkill> und <SoftSkill>Interesse an Mechanik</SoftSkill>.,Interesse an technischen Zusammenhängen und Interesse an Mechanik.,Interesse an technischen Zusammenhängen und Interesse an Mechanik.,0,MWA
304," Sie <SoftSkill_C>denken</SoftSkill_C> und <SoftSkill>handeln unternehmerisch</SoftSkill>, <SoftSkill_C>vorausschauend</SoftSkill_C> und haben <SoftSkill>Freude im Umgang mit Menschen</SoftSkill>. ->"," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>handeln unternehmerisch</SoftSkill>, <SoftSkill>denken vorausschauend</SoftSkill> und <SoftSkill>handeln vorausschauend</SoftSkill>, <SoftSkill>haben Freude im Umgang mit Menschen</SoftSkill>"," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>handeln unternehmerisch</SoftSkill>, <SoftSkill>denken vorausschauend</SoftSkill> und <SoftSkill>handeln vorausschauend</SoftSkill>, <SoftSkill>haben Freude im Umgang mit Menschen</SoftSkill> und <SoftSkill>haben Freude im Umgang mit Menschen</SoftSkill>."," Sie denken unternehmerisch und handeln unternehmerisch, denken vorausschauend und handeln vorausschauend, haben Freude im Umgang mit Menschen und haben Freude im Umgang mit Menschen."," Sie denken unternehmerisch und handeln unternehmerisch, denken vorausschauend und handeln vorausschauend, haben Freude im Umgang mit Menschen",41,MDC
305,Sie verfügen über eine <SoftSkill_C>sehr gute mündliche</SoftSkill_C> und <SoftSkill>schriftliche Ausdrucksfähigkeit</SoftSkill>. ->,Sie verfügen über eine <SoftSkill>sehr gute mündliche Ausdrucksfähigkeitund</SoftSkill> und <SoftSkill>schriftliche Ausdrucksfähigkeit</SoftSkill>.,Sie verfügen über eine <SoftSkill>sehr gute mündliche Ausdrucksfähigkeitund</SoftSkill> und <SoftSkill>schriftliche Ausdrucksfähigkeit</SoftSkill>.,Sie verfügen über eine sehr gute mündliche Ausdrucksfähigkeitund und schriftliche Ausdrucksfähigkeit.,Sie verfügen über eine sehr gute mündliche Ausdrucksfähigkeitund und schriftliche Ausdrucksfähigkeit.,0,OWA
306," Sie <SoftSkill>agieren in schwierigen Situationen ruhig</SoftSkill>, <SoftSkill_C>vertrauenswürdig</SoftSkill_C> und <SoftSkill_C>mit souveräner Umsicht</SoftSkill_C>. ->"," Sie <SoftSkill>agieren in schwierigen Situationen ruhig</SoftSkill>, <SoftSkill>agieren vertrauenswürdig</SoftSkill> und <SoftSkill>agieren mit souveräner Umsicht</SoftSkill>."," Sie <SoftSkill>agieren in schwierigen Situationen ruhig</SoftSkill>, <SoftSkill>agieren vertrauenswürdig</SoftSkill> und <SoftSkill>agieren mit souveräner Umsicht</SoftSkill>."," Sie agieren in schwierigen Situationen ruhig, agieren vertrauenswürdig und agieren mit souveräner Umsicht."," Sie agieren in schwierigen Situationen ruhig, agieren vertrauenswürdig und agieren mit souveräner Umsicht.",0,MWA
307," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill_C>Umgang</SoftSkill_C>  und der <SoftSkill_C>Betreuung von Menschen</SoftSkill_C> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>? ->"," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill>Freude am Umgang</SoftSkill> und der<SoftSkill>Freude am Betreuung von Menschen</SoftSkill> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>"," Hast du <SoftSkill>Freude am Beraten</SoftSkill>, am <SoftSkill>Freude am Umgang</SoftSkill> und der<SoftSkill>Freude am Betreuung von Menschen</SoftSkill> und <SoftSkill>kannst gut in einem Team arbeiten</SoftSkill>"," Hast du Freude am Beraten, am Freude am Umgang und derFreude am Betreuung von Menschen und kannst gut in einem Team arbeiten"," Hast du Freude am Beraten, am Freude am Umgang und derFreude am Betreuung von Menschen und kannst gut in einem Team arbeiten",0,MWA
308,Dazu sind Sie eine <SoftSkill_C>zielorientierte</SoftSkill_C> und <SoftSkill_C>unternehmerisch denkende</SoftSkill_C> wie <SoftSkill>handelnde Persönlichkeit</SoftSkill> mit <SoftSkill>hohem Einsatzwillen</SoftSkill>. ->,Dazu sind Sie eine <SoftSkill>zielorientierte Persönlichkeit</SoftSkill> und <SoftSkill>unternehmerisch denkende Persönlichkeit</SoftSkill> wie <SoftSkill>handelnde Persönlichkeit</SoftSkill> mit <SoftSkill>hohem Einsatzwillen</SoftSkill>.,Dazu sind Sie eine <SoftSkill>zielorientierte Persönlichkeit</SoftSkill> und <SoftSkill>unternehmerisch denkende Persönlichkeit</SoftSkill> wie <SoftSkill>handelnde Persönlichkeit</SoftSkill> mit <SoftSkill>hohem Einsatzwillen</SoftSkill>.,Dazu sind Sie eine zielorientierte Persönlichkeit und unternehmerisch denkende Persönlichkeit wie handelnde Persönlichkeit mit hohem Einsatzwillen.,Dazu sind Sie eine zielorientierte Persönlichkeit und unternehmerisch denkende Persönlichkeit wie handelnde Persönlichkeit mit hohem Einsatzwillen.,0,MC
309," Wir suchen eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>qualifizierte Persönlichkeit</SoftSkill> für die Funktion als
Abklärungsfachperson ->",Wir suchen eine <SoftSkill>engagierte Persönlichkeit</SoftSkill> und <SoftSkill>qualifizierte Persönlichkeit</SoftSkill> für die Funktion als Abklärungsfachperson.,Wir suchen eine <SoftSkill>engagierte Persönlichkeit</SoftSkill> und <SoftSkill>qualifizierte Persönlichkeit</SoftSkill> für die Funktion als Abklärungsfachperson.,Wir suchen eine engagierte Persönlichkeit und qualifizierte Persönlichkeit für die Funktion als Abklärungsfachperson.,Wir suchen eine engagierte Persönlichkeit und qualifizierte Persönlichkeit für die Funktion als Abklärungsfachperson.,0,OWA
310," Wir suchen:
per sofort oder nach Vereinbarung einen <SoftSkill_C>fachlich kompetenten</SoftSkill_C> und <SoftSkill>unternehmerisch denkenden</SoftSkill> ->"," Wir suchen:
per sofort oder nach Vereinbarung einen <SoftSkill>fachlich kompetenten denkenden</SoftSkill> und <SoftSkill>unternehmerisch denkenden</SoftSkill>"," Wir suchen:
per sofort oder nach Vereinbarung einen <SoftSkill>fachlich kompetenten denkenden</SoftSkill> und <SoftSkill>unternehmerisch denkenden</SoftSkill>", Wir suchen: per sofort oder nach Vereinbarung einen fachlich kompetenten denkenden und unternehmerisch denkenden, Wir suchen: per sofort oder nach Vereinbarung einen fachlich kompetenten denkenden und unternehmerisch denkenden,0,OWA
311," •  <SoftSkill>Teamfähig</SoftSkill>, <SoftSkill>kommunikativ</SoftSkill> und <SoftSkill>flexibel</SoftSkill> sowie eine <SoftSkill_C>lösungsorientierte</SoftSkill_C> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill> ->"," • <SoftSkill>Teamfähig</SoftSkill>, <SoftSkill>kommunikativ</SoftSkill> und <SoftSkill>flexibel</SoftSkill> sowie eine <SoftSkill>lösungsorientierte Persönlichkeit</SoftSkill> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill>"," • <SoftSkill>Teamfähig</SoftSkill>, <SoftSkill>kommunikativ</SoftSkill> und <SoftSkill>flexibel</SoftSkill> sowie eine <SoftSkill>lösungsorientierte Persönlichkeit</SoftSkill> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill>"," • Teamfähig, kommunikativ und flexibel sowie eine lösungsorientierte Persönlichkeit und aufgestellte Persönlichkeit"," • Teamfähig, kommunikativ und flexibel sowie eine lösungsorientierte Persönlichkeit und aufgestellte Persönlichkeit",0,OWA
312," •  <SoftSkill_C>Sauberes</SoftSkill_C> und <SoftSkill>gepflegtes Äusseres</SoftSkill>, <SoftSkill>korrektes Auftreten</SoftSkill> (evtl. tragen von Teamarbeitskleidung) ->"," • <SoftSkill>Sauberes Äusseres</SoftSkill> und <SoftSkill>gepflegtes Äusseres</SoftSkill>, <SoftSkill>korrektes Auftreten</SoftSkill> (evtl. tragen von Teamarbeitskleidung)"," • <SoftSkill>Sauberes Äusseres</SoftSkill> und <SoftSkill>gepflegtes Äusseres</SoftSkill>, <SoftSkill>korrektes Auftreten</SoftSkill> (evtl. tragen von Teamarbeitskleidung)"," • Sauberes Äusseres und gepflegtes Äusseres, korrektes Auftreten (evtl. tragen von Teamarbeitskleidung)"," • Sauberes Äusseres und gepflegtes Äusseres, korrektes Auftreten (evtl. tragen von Teamarbeitskleidung)",0,OWA
