,idx,input,generated_text,expected_text,wrong GPT3,Problem type,USAGE FLAG
11,197," Sie sind eine <SoftSkill_C>ausgeglichene</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>. ->"," Sie sind eine <SoftSkill>ausgeglichene Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>."," Sie sind eine <SoftSkill>ausgeglichene Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>.",1,MC,1.0
12,198," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill_C>Physik</SoftSkill_C> vorhanden sein. ->"," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill>grosses Interesse an Physik</SoftSkill> vorhanden sein."," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill>grosses Interesse an Physik</SoftSkill> vorhanden sein.",1,MWA,1.0
13,199," Die grosse Eigenverantwortung bedingt eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>zugreifende</SoftSkill_C> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill_C>systematischer</SoftSkill_C>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>. ->"," Die grosse Eigenverantwortung bedingt eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>zugreifende Persönlichkeit</SoftSkill> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill>systematischer Vorgehensweise</SoftSkill>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>."," Die grosse Eigenverantwortung bedingt eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>zugreifende Persönlichkeit</SoftSkill> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill>systematischer Vorgehensweise</SoftSkill>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>.",1,MDC,1.0
14,200," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill_C>kundenorientiert</SoftSkill_C>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>. ->"," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>denken kundenorientiert</SoftSkill>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>."," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>denken kundenorientiert</SoftSkill>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>.",1,MWA,1.0
15,201," Mit Ihrer <SoftSkill_C>herzlichen</SoftSkill_C>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste. ->"," Mit Ihrer <SoftSkill>herzlichen Art</SoftSkill>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste."," Mit Ihrer <SoftSkill>herzlichen Art</SoftSkill>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste.",1,OWA,1.0
16,202,Mit Ihrer <SoftSkill_C>freundlichen</SoftSkill_C> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei. ->,Mit Ihrer <SoftSkill>freundlichen Art</SoftSkill> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.,Mit Ihrer <SoftSkill>freundlichen Art</SoftSkill> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.,1,OWA,1.0
17,203," B, C
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill> ->"," B, C
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill>"," B, C
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill>",1,HMDC,1.0
18,204," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill_C>systematische</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill> ->"," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill>systematische Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill>"," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill>systematische Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill>",1,OWA,1.0
19,205,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und am <SoftSkill_C>Umweltschutz</SoftSkill_C>. ->,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und <SoftSkill>Freude am Umweltschutz</SoftSkill>.,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und <SoftSkill>Freude am Umweltschutz</SoftSkill>.,1,MWA,1.0
20,206,Sie sind <SoftSkill_C>offen</SoftSkill_C> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>. ->,Sie sind <SoftSkill>offen an neuen Herausforderungen</SoftSkill> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>.,Sie sind <SoftSkill>offen an neuen Herausforderungen</SoftSkill> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>.,1,MWA,1.0
21,207,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill_C>selbstständig</SoftSkill_C> als auch <SoftSkill_C>gemeinsam im Team</SoftSkill_C>. ->,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill>arbeiten sowohl selbstständig</SoftSkill> als auch <SoftSkill>arbeiten gemeinsam im Team</SoftSkill>.,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill>arbeiten sowohl selbstständig</SoftSkill> als auch <SoftSkill>arbeiten gemeinsam im Team</SoftSkill>.,1,MDC,1.0
22,208,•  <SoftSkill_C>qualitäts-</SoftSkill_C> und <SoftSkill>ergebnisorientiert</SoftSkill> ->,<SoftSkill>qualitätsorientiert</SoftSkill> und <SoftSkill>ergebnisorientiert</SoftSkill>,<SoftSkill>qualitätsorientiert</SoftSkill> und <SoftSkill>ergebnisorientiert</SoftSkill>,1,OWA,1.0
23,209," Sie
sind eine <SoftSkill_C>profilierte</SoftSkill_C> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch
<SoftSkill_C>hohe Sozial</SoftSkill_C>
-
und <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet. ->"," Sie sind eine <SoftSkill>profilierte Führungspersönlichkeit</SoftSkill> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch <SoftSkill>hohe Sozialkompetenz</SoftSkill>
sowie <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet."," Sie sind eine <SoftSkill>profilierte Führungspersönlichkeit</SoftSkill> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch <SoftSkill>hohe Sozialkompetenz</SoftSkill>
sowie <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet.",1,HMDC,1.0
24,210," Ihre
<SoftSkill>Freude an Zahlen</SoftSkill> und an <SoftSkill_C>Verkaufstätigkeiten</SoftSkill_C> machen
Sie zum <SoftSkill_C>versierten</SoftSkill_C>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>. ->"," Ihre <SoftSkill>Freude an Zahlen</SoftSkill> und <SoftSkill>Freude an Verkaufstätigkeiten</SoftSkill> machen Sie zum <SoftSkill>versierten Machertyp</SoftSkill>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>."," Ihre <SoftSkill>Freude an Zahlen</SoftSkill> und <SoftSkill>Freude an Verkaufstätigkeiten</SoftSkill> machen Sie zum <SoftSkill>versierten Machertyp</SoftSkill>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>.",1,MDC,1.0
25,211,Wir suchen eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>belastbare Person</SoftSkill> mit <SoftSkill>strategischem Geschick</SoftSkill> und einem besonderen Interesse an Finanzflüssen und der Analyse quantitativer und statistischer Daten. ->,Wir suchen eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>belastbare Person</SoftSkill> mit <SoftSkill>strategischem Geschick</SoftSkill> und einem besonderen Interesse an Finanzflüssen und der Analyse quantitativer und statistischer Daten.,Wir suchen eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>belastbare Person</SoftSkill> mit <SoftSkill>strategischem Geschick</SoftSkill> und einem besonderen Interesse an Finanzflüssen und der Analyse quantitativer und statistischer Daten.,1,OWA,1.0
26,212," •  <SoftSkill_C>Strukturierte</SoftSkill_C>, <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>akkurate Arbeitsweise</SoftSkill> ->"," • <SoftSkill>Strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>akkurate Arbeitsweise</SoftSkill>"," • <SoftSkill>Strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>akkurate Arbeitsweise</SoftSkill>",1,MC,1.0
27,213,•  <SoftSkill_C>Guter Geruchs-</SoftSkill_C> und <SoftSkill>Geschmackssinn</SoftSkill> ->,<SoftSkill>Guter Geruchssinn</SoftSkill> und <SoftSkill>guter Geschmackssinn</SoftSkill>,<SoftSkill>Guter Geruchssinn</SoftSkill> und <SoftSkill>guter Geschmackssinn</SoftSkill>,1,HOWA,1.0
28,214,•  <SoftSkill>Hohe Leistungsbereitschaft</SoftSkill> sowie eine <SoftSkill_C>hohe Durchsetzungs-</SoftSkill_C> und <SoftSkill>Entscheidungsfähigkeit</SoftSkill> ->,• <SoftSkill>Hohe Leistungsbereitschaft</SoftSkill> sowie eine <SoftSkill>hohe Durchsetzungsfähigkeit</SoftSkill> und <SoftSkill>Entscheidungsfähigkeit</SoftSkill>,• <SoftSkill>Hohe Leistungsbereitschaft</SoftSkill> sowie eine <SoftSkill>hohe Durchsetzungsfähigkeit</SoftSkill> und <SoftSkill>Entscheidungsfähigkeit</SoftSkill>,1,HOWA,1.0
29,215," Das <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill>eigenverantwortliche Arbeiten</SoftSkill> sowie die <SoftSkill>Mitarbeiterführung bereiten Ihnen Freude</SoftSkill>. ->"," Das <SoftSkill>selbständige Arbeiten</SoftSkill>, <SoftSkill>eigenverantwortliche Arbeiten</SoftSkill> sowie die <SoftSkill>Mitarbeiterführung bereiten Ihnen Freude</SoftSkill>."," Das <SoftSkill>selbständige Arbeiten</SoftSkill>, <SoftSkill>eigenverantwortliche Arbeiten</SoftSkill> sowie die <SoftSkill>Mitarbeiterführung bereiten Ihnen Freude</SoftSkill>.",1,OWA,1.0
30,216," <SoftSkill>strukturierte Vorgehensweise</SoftSkill>, <SoftSkill_C>gut ausgeprägtes analytisches</SoftSkill_C> und <SoftSkill>vernetztes Denken</SoftSkill> sowie Kompetenz im Umgang mit Herstellungsunterlagen und Schemas von komplexe Systemen. ->"," <SoftSkill>strukturierte Vorgehensweise</SoftSkill>, <SoftSkill>gut ausgeprägtes analytisches Denken</SoftSkill> und <SoftSkill>vernetztes Denken</SoftSkill> sowie Kompetenz im Umgang mit Herstellungsunterlagen und Schemas von komplexe Systemen."," <SoftSkill>strukturierte Vorgehensweise</SoftSkill>, <SoftSkill>gut ausgeprägtes analytisches Denken</SoftSkill> und <SoftSkill>vernetztes Denken</SoftSkill> sowie Kompetenz im Umgang mit Herstellungsunterlagen und Schemas von komplexe Systemen.",1,NONE,1.0
31,217,Sie überzeugen mit Ihrer <SoftSkill_C>strukturierten</SoftSkill_C> und <SoftSkill>selbständigen Arbeitsweise</SoftSkill> und zeichnen sich durch <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Engagement</SoftSkill> aus. ->,Sie überzeugen mit Ihrer <SoftSkill>strukturierten Arbeitsweise</SoftSkill> und <SoftSkill>selbständigen Arbeitsweise</SoftSkill> und zeichnen sich durch <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Engagement</SoftSkill> aus.,Sie überzeugen mit Ihrer <SoftSkill>strukturierten Arbeitsweise</SoftSkill> und <SoftSkill>selbständigen Arbeitsweise</SoftSkill> und zeichnen sich durch <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Engagement</SoftSkill> aus.,1,OWA,1.0
32,218,<SoftSkill_C>Denken</SoftSkill_C> und <SoftSkill>handeln dienstleistungsorientiert</SoftSkill>. ->,<SoftSkill>Denken dienstleistungsorientiert</SoftSkill> und <SoftSkill>handeln dienstleistungsorientiert</SoftSkill>.,<SoftSkill>Denken dienstleistungsorientiert</SoftSkill> und <SoftSkill>handeln dienstleistungsorientiert</SoftSkill>.,1,OWA,1.0
33,219," Du bist <SoftSkill>begeistert von starken Bildern</SoftSkill>, <SoftSkill_C>Emotionen</SoftSkill_C> und <SoftSkill_C>kreativen Ideen</SoftSkill_C>? ->"," Du bist <SoftSkill>begeistert von starken Bildern</SoftSkill>, <SoftSkill>begeistert von Emotionen</SoftSkill> und <SoftSkill>kreativen Ideen</SoftSkill>?"," Du bist <SoftSkill>begeistert von starken Bildern</SoftSkill>, <SoftSkill>begeistert von Emotionen</SoftSkill> und <SoftSkill>begeistert von kreativen Ideen</SoftSkill>?",0,MWA,1.0
34,220," <SoftSkill_C>Analytisches</SoftSkill_C>, <SoftSkill>konzeptionelles Denken</SoftSkill> sowie <SoftSkill>sehr gute Kommunikationseigenschaften</SoftSkill> gehören zu Ihren Kernkompetenzen. ->"," <SoftSkill>Analytisches Denken</SoftSkill>, <SoftSkill>konzeptionelles Denken</SoftSkill> sowie <SoftSkill>sehr gute Kommunikationseigenschaften</SoftSkill> gehören zu Ihren Kernkompetenzen."," <SoftSkill>Analytisches Denken</SoftSkill>, <SoftSkill>konzeptionelles Denken</SoftSkill> sowie <SoftSkill>sehr gute Kommunikationseigenschaften</SoftSkill> gehören zu Ihren Kernkompetenzen.",1,OWA,1.0
35,221," Du beschreibst dich selbst als eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>positive Persönlichkeit</SoftSkill>, dann bist du bei uns richtig. ->"," Du beschreibst dich selbst als eine <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>positive Persönlichkeit</SoftSkill>, dann bist du bei uns richtig."," Du beschreibst dich selbst als eine <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>positive Persönlichkeit</SoftSkill>, dann bist du bei uns richtig.",1,MC,1.0
