idx,input,expected_text,generated_text,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,Problem type
196,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill_C>interdisziplinärer Zusammenarbeit</SoftSkill_C> Suchen Sie eine neue Herausforderung? ->,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill>Freude an interdisziplinärer Zusammenarbeit</SoftSkill> Suchen Sie eine neue Herausforderung?,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill>Freude an interdisziplinärer Zusammenarbeit</SoftSkill> Suchen Sie eine neue Herausforderung?,Freude an abwechslungsreichen Tätigkeiten und Freude an interdisziplinärer Zusammenarbeit Suchen Sie eine neue Herausforderung?,Freude an abwechslungsreichen Tätigkeiten und Freude an interdisziplinärer Zusammenarbeit Suchen Sie eine neue Herausforderung?,0,MWA
197," Sie sind eine <SoftSkill_C>ausgeglichene</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>. ->"," Sie sind eine <SoftSkill>ausgeglichene Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>."," Sie sind eine <SoftSkill>ausgeglichene Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>."," Sie sind eine ausgeglichene Persönlichkeit, zuverlässige Persönlichkeit und verschwiegene Persönlichkeit und haben eine wertfreie Einstellung gegenüber Menschen fremder Kulturen."," Sie sind eine ausgeglichene Persönlichkeit, zuverlässige Persönlichkeit und verschwiegene Persönlichkeit und haben eine wertfreie Einstellung gegenüber Menschen fremder Kulturen.",0,MC
198," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill_C>Physik</SoftSkill_C> vorhanden sein. ->"," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill>grosses Interesse an Physik</SoftSkill> vorhanden sein."," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill>grosses Interesse an Physik</SoftSkill> vorhanden sein."," Es sollte ein gutes Vorstellungsvermögen, eine exakte Arbeitsweise sowie ein grosses Interesse an Mathematik und grosses Interesse an Physik vorhanden sein."," Es sollte ein gutes Vorstellungsvermögen, eine exakte Arbeitsweise sowie ein grosses Interesse an Mathematik und grosses Interesse an Physik vorhanden sein.",0,MWA
199," Die grosse Eigenverantwortung bedingt eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>zugreifende</SoftSkill_C> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill_C>systematischer</SoftSkill_C>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>. ->"," Die grosse Eigenverantwortung bedingt eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>zugreifende Persönlichkeit</SoftSkill> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill>systematischer Vorgehensweise</SoftSkill>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>."," Die grosse Eigenverantwortung bedingt eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>zugreifende Persönlichkeit</SoftSkill> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill>systematischer Vorgehensweise</SoftSkill>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>."," Die grosse Eigenverantwortung bedingt eine selbständige Persönlichkeit, zugreifende Persönlichkeit und ergebnisorientierte Persönlichkeit mit systematischer Vorgehensweise, strukturierter Vorgehensweise und flexiblem Handeln."," Die grosse Eigenverantwortung bedingt eine selbständige Persönlichkeit, zugreifende Persönlichkeit und ergebnisorientierte Persönlichkeit mit systematischer Vorgehensweise, strukturierter Vorgehensweise und flexiblem Handeln.",0,MDC
200," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill_C>kundenorientiert</SoftSkill_C>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>. ->"," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>denken kundenorientiert</SoftSkill>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>."," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>denken kundenorientiert</SoftSkill>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>."," Sie denken unternehmerisch und denken kundenorientiert, sind entscheidungsfreudig und überzeugen durch Selbständigkeit, Belastbarkeit und Umsetzungsstärke."," Sie denken unternehmerisch und denken kundenorientiert, sind entscheidungsfreudig und überzeugen durch Selbständigkeit, Belastbarkeit und Umsetzungsstärke.",0,MWA
201," Mit Ihrer <SoftSkill_C>herzlichen</SoftSkill_C>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste. ->"," Mit Ihrer <SoftSkill>herzlichen Art</SoftSkill>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste."," Mit Ihrer <SoftSkill>herzlichen Art</SoftSkill>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste."," Mit Ihrer herzlichen Art, gewinnenden Art sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste."," Mit Ihrer herzlichen Art, gewinnenden Art sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste.",0,OWA
202,Mit Ihrer <SoftSkill_C>freundlichen</SoftSkill_C> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei. ->,Mit Ihrer <SoftSkill>freundlichen Art</SoftSkill> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.,Mit Ihrer <SoftSkill>freundlichen Art</SoftSkill> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.,Mit Ihrer freundlichen Art sowie hilfsbereiten Art tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.,Mit Ihrer freundlichen Art sowie hilfsbereiten Art tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.,0,OWA
203," B, C
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill> ->"," B, C
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill>"," B, C
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill>"," B, C Exakte Arbeitsweise und systematische Arbeitsweise Körperliche Belastbarkeit Teamfähigkeit und Kommunikationsfähigkeit Bereitschaft Pikettdienst zu leisten"," B, C Exakte Arbeitsweise und systematische Arbeitsweise Körperliche Belastbarkeit Teamfähigkeit und Kommunikationsfähigkeit Bereitschaft Pikettdienst zu leisten",0,HMDC
204," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill_C>systematische</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill> ->"," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill>systematische Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill>"," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill>systematische Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill>"," Abgeschlossene KV oder vergleichbare Ausbildung Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung Zuverlässigkeit sowie systematische Arbeitsweise und selbständige Arbeitsweise Gute Deutsch- und Englischkenntnisse Teamgeist"," Abgeschlossene KV oder vergleichbare Ausbildung Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung Zuverlässigkeit sowie systematische Arbeitsweise und selbständige Arbeitsweise Gute Deutsch- und Englischkenntnisse Teamgeist",0,OWA
205,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und am <SoftSkill_C>Umweltschutz</SoftSkill_C>. ->,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und <SoftSkill>Freude am Umweltschutz</SoftSkill>.,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und <SoftSkill>Freude am Umweltschutz</SoftSkill>.,Sie haben Freude am Umgang mit recyclierbaren Wertstoffen und Freude am Umweltschutz.,Sie haben Freude am Umgang mit recyclierbaren Wertstoffen und Freude am Umweltschutz.,0,MWA
206,Sie sind <SoftSkill_C>offen</SoftSkill_C> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>. ->,Sie sind <SoftSkill>offen an neuen Herausforderungen</SoftSkill> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>.,Sie sind <SoftSkill>offen an neuen Herausforderungen</SoftSkill> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>.,Sie sind offen an neuen Herausforderungen und interessiert an neuen Herausforderungen.,Sie sind offen an neuen Herausforderungen und interessiert an neuen Herausforderungen.,0,MWA
207,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill_C>selbstständig</SoftSkill_C> als auch <SoftSkill_C>gemeinsam im Team</SoftSkill_C>. ->,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill>arbeiten sowohl selbstständig</SoftSkill> als auch <SoftSkill>arbeiten gemeinsam im Team</SoftSkill>.,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill>arbeiten sowohl selbstständig</SoftSkill> als auch <SoftSkill>arbeiten gemeinsam im Team</SoftSkill>.,Sie arbeiten sowohl eigenverantwortlich und arbeiten sowohl selbstständig als auch arbeiten gemeinsam im Team.,Sie arbeiten sowohl eigenverantwortlich und arbeiten sowohl selbstständig als auch arbeiten gemeinsam im Team.,0,MDC
208,•  <SoftSkill_C>qualitäts-</SoftSkill_C> und <SoftSkill>ergebnisorientiert</SoftSkill> ->,<SoftSkill>qualitätsorientiert</SoftSkill> und <SoftSkill>ergebnisorientiert</SoftSkill>,<SoftSkill>qualitätsorientiert</SoftSkill> und <SoftSkill>ergebnisorientiert</SoftSkill>,qualitätsorientiert und ergebnisorientiert,qualitätsorientiert und ergebnisorientiert,0,OWA
209," Sie
sind eine <SoftSkill_C>profilierte</SoftSkill_C> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch
<SoftSkill_C>hohe Sozial</SoftSkill_C>
-
und <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet. ->"," Sie sind eine <SoftSkill>profilierte Führungspersönlichkeit</SoftSkill> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch <SoftSkill>hohe Sozialkompetenz</SoftSkill>
sowie <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet."," Sie sind eine <SoftSkill>profilierte Führungspersönlichkeit</SoftSkill> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch <SoftSkill>hohe Sozialkompetenz</SoftSkill>
sowie <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet."," Sie sind eine profilierte Führungspersönlichkeit und engagierte Führungspersönlichkeit, die sich durch hohe Sozialkompetenz sowie Methodenkompetenz en auszeichnet."," Sie sind eine profilierte Führungspersönlichkeit und engagierte Führungspersönlichkeit, die sich durch hohe Sozialkompetenz sowie Methodenkompetenz en auszeichnet.",0,HMDC
210," Ihre
<SoftSkill>Freude an Zahlen</SoftSkill> und an <SoftSkill_C>Verkaufstätigkeiten</SoftSkill_C> machen
Sie zum <SoftSkill_C>versierten</SoftSkill_C>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>. ->"," Ihre <SoftSkill>Freude an Zahlen</SoftSkill> und <SoftSkill>Freude an Verkaufstätigkeiten</SoftSkill> machen Sie zum <SoftSkill>versierten Machertyp</SoftSkill>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>."," Ihre <SoftSkill>Freude an Zahlen</SoftSkill> und <SoftSkill>Freude an Verkaufstätigkeiten</SoftSkill> machen Sie zum <SoftSkill>versierten Machertyp</SoftSkill>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>."," Ihre Freude an Zahlen und Freude an Verkaufstätigkeiten machen Sie zum versierten Machertyp, kundenorientierten Machertyp."," Ihre Freude an Zahlen und Freude an Verkaufstätigkeiten machen Sie zum versierten Machertyp, kundenorientierten Machertyp.",0,MDC
