,input,output,ind_skill,input_EN,output_EN
10, <SoftSkill>Organisieren Sie mit Geschick</SoftSkill> und <SoftSkill_C>Freude</SoftSkill_C>?, <SoftSkill>Organisieren Sie mit Geschick</SoftSkill> und <SoftSkill>organisieren Sie mit Freude</SoftSkill>?,"['Organisieren Sie mit Geschick', 'organisieren Sie mit Freude']", <SoftSkill>Organise with skill</SoftSkill> and <SoftSkill_C>joy</SoftSkill_C>?, <SoftSkill>Organise with skill</SoftSkill> and <SoftSkill>Organise with pleasure</SoftSkill>?
11," Ihre <SoftSkill_C>ausgeprägte Problemlöse-</SoftSkill_C> und <SoftSkill>Innovationsfähigkeit</SoftSkill>, Ihre <SoftSkill>guten kommunikativen Fähigkeiten</SoftSkill> sowie Ihr <SoftSkill>Selbstmanagement</SoftSkill> runden Ihr Profil ab."," Ihre <SoftSkill>ausgeprägte Problemlösefähigkeit</SoftSkill> und <SoftSkill>Innovationsfähigkeit</SoftSkill>, Ihre <SoftSkill>guten kommunikativen Fähigkeiten</SoftSkill> sowie Ihr <SoftSkill>Selbstmanagement</SoftSkill> runden Ihr Profil ab.","['ausgeprägte Problemlösefähigkeit', 'Innovationsfähigkeit', 'guten kommunikativen Fähigkeiten', 'Selbstmanagement']"," Your <SoftSkill_C>strong problem-solving</SoftSkill_C> and <SoftSkill>innovation skills</SoftSkill>, your <SoftSkill>good communication skills</SoftSkill> as well as your <SoftSkill>self-management</SoftSkill> round off your profile."," Your <SoftSkill>strong problem-solving</SoftSkill> and <SoftSkill>innovation skills</SoftSkill>, your <SoftSkill>good communication skills</SoftSkill> as well as your <SoftSkill>self-management</SoftSkill> complete your profile."
12,•  <SoftSkill>Freude an exaktem</SoftSkill> und <SoftSkill_C>sauberem Arbeiten</SoftSkill_C,<SoftSkill>Freude an exaktem Arbeiten</SoftSkill> und <SoftSkill>Freude an sauberem Arbeiten</SoftSkill>,"['Freude an exaktem Arbeiten', 'Freude an sauberem Arbeiten']",- <SoftSkill>Enjoyment of exact</SoftSkill> and <SoftSkill_C>clean work</SoftSkill_C,<SoftSkill>Enjoyment of accurate work</SoftSkill> and <SoftSkill>Enjoyment of clean work</SoftSkill>.
13, <SoftSkill_C>Kommunikations-</SoftSkill_C> und <SoftSkill>Durchsetzungsstärke</SoftSkill> zeichnen Sie ebenso aus wie Ihre <SoftSkill>hohe Mobilität</SoftSkill> und <SoftSkill>Reisebereitschaft</SoftSkill>., <SoftSkill>Kommunikationsstärke</SoftSkill> und <SoftSkill>Durchsetzungsstärke</SoftSkill> zeichnen Sie ebenso aus wie Ihre <SoftSkill>hohe Mobilität</SoftSkill> und <SoftSkill>Reisebereitschaft</SoftSkill>.,"['Kommunikationsstärke', 'Durchsetzungsstärke', 'hohe Mobilität', 'Reisebereitschaft']", <SoftSkill_C>Communication</SoftSkill_C> and <SoftSkill>assertiveness</SoftSkill> distinguish you just as much as your <SoftSkill>high mobility</SoftSkill> and <SoftSkill>readiness to travel</SoftSkill>., <SoftSkill>Strong communication skills</SoftSkill> and <SoftSkill>assertiveness</SoftSkill> distinguish you just as much as your <SoftSkill>high mobility</SoftSkill> and <SoftSkill>readiness to travel</SoftSkill>.
14, Sie haben <SoftSkill>Freude an der Technik</SoftSkill> und mit Ihrer <SoftSkill_C>gewinnenden</SoftSkill_C> und <SoftSkill>zielstrebigen Persönlichkeit</SoftSkill> können Sie unsere <SoftSkill>Kunden begeistern</SoftSkill> und <SoftSkill>Projekte erfolgreich abschliessen</SoftSkill>., Sie haben <SoftSkill>Freude an der Technik</SoftSkill> und mit Ihrer <SoftSkill>gewinnenden Persönlichkeit</SoftSkill> und <SoftSkill>zielstrebigen Persönlichkeit</SoftSkill> können Sie unsere <SoftSkill>Kunden begeistern</SoftSkill> und <SoftSkill>Projekte erfolgreich abschliessen</SoftSkill>.,"['Freude an der Technik', 'gewinnenden Persönlichkeit', 'zielstrebigen Persönlichkeit', 'Kunden begeistern', 'Projekte erfolgreich abschliessen']", You have <SoftSkill>enjoyment of technology</SoftSkill> and with your <SoftSkill_C>winning</SoftSkill_C> and <SoftSkill>goal-oriented personality</SoftSkill> you can inspire our <SoftSkill>customers</SoftSkill> and successfully complete <SoftSkill>projects</SoftSkill>., You have <SoftSkill>enjoyment of technology</SoftSkill> and with your <SoftSkill>winning personality</SoftSkill> and <SoftSkill>goal-oriented personality</SoftSkill> you can inspire our <SoftSkill>customers</SoftSkill> and successfully complete <SoftSkill>projects</SoftSkill>.
15,"Zur Ergänzung unseres Teams in Ebmatingen suchen wir nach Vereinbarung eine
<SoftSkill_C>qualifizierte</SoftSkill_C>, <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>pflichtbewusste Persönlichkeit</SoftSkill> als Technische/r Projektleiter/in mit <SoftSkill>Verkaufsflair</SoftSkill>, 100 %","Zur Ergänzung unseres Teams in Ebmatingen suchen wir nach Vereinbarung eine <SoftSkill>qualifizierte Persönlichkeit</SoftSkill>, <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>pflichtbewusste Persönlichkeit</SoftSkill> als Technische/r Projektleiter/in mit <SoftSkill>Verkaufsflair</SoftSkill>, 100 %","['qualifizierte Persönlichkeit', 'initiative Persönlichkeit', 'pflichtbewusste Persönlichkeit', 'Verkaufsflair']","To complement our team in Ebmatingen, we are looking for a
<SoftSkill_C>qualified</SoftSkill_C>, <SoftSkill_C>initiative</SoftSkill_C> and <SoftSkill>committed personality</SoftSkill> as Technical Project Manager with <SoftSkill>sales flair</SoftSkill>, 100 %.","To complement our team in Ebmatingen, we are looking for a <SoftSkill>qualified personality</SoftSkill>, <SoftSkill>initiative personality</SoftSkill> and <SoftSkill>committed personality</SoftSkill> as Technical Project Manager with <SoftSkill>sales flair</SoftSkill>, 100 %."
16," <SoftSkill>Freude am exakten Gestalten</SoftSkill> und an <SoftSkill_C>Teamarbeit</SoftSkill_C>
<SoftSkill>Handwerkliches Geschick</SoftSkill>, <SoftSkill>technisches Verständnis</SoftSkill>, <SoftSkill>räumliches Vorstellungsvermögen</SoftSkill> und <SoftSkill>Interesse an neuen Technologien</SoftSkill>
<SoftSkill>Geduld</SoftSkill>, <SoftSkill>Ausdauer</SoftSkill> sowie <SoftSkill_C>genaue</SoftSkill_C>/<SoftSkill>sorgfältige Arbeitsweise</SoftSkill"," <SoftSkill>Freude am exakten Gestalten</SoftSkill> und <SoftSkill>Freude an Teamarbeit</SoftSkill>
<SoftSkill>Handwerkliches Geschick</SoftSkill>, <SoftSkill>technisches Verständnis</SoftSkill>, <SoftSkill>räumliches Vorstellungsvermögen</SoftSkill> und <SoftSkill>Interesse an neuen Technologien</SoftSkill>
<SoftSkill>Geduld</SoftSkill>, <SoftSkill>Ausdauer</SoftSkill> sowie <SoftSkill>genaue Arbeitsweise</SoftSkill>/<SoftSkill>sorgfältige Arbeitsweise</SoftSkill>","['Freude am exakten Gestalten', 'Freude an Teamarbeit', 'Handwerkliches Geschick', 'technisches Verständnis', 'räumliches Vorstellungsvermögen', 'Interesse an neuen Technologien', 'Geduld', 'Ausdauer', 'genaue Arbeitsweise', 'sorgfältige Arbeitsweise']"," <SoftSkill>Enjoyment of precise design</SoftSkill> and <SoftSkill_C>teamwork</SoftSkill_C>.
<SoftSkill>handicraft skills</SoftSkill>, <SoftSkill>technical understanding</SoftSkill>, <SoftSkill>spatial imagination</SoftSkill> and <SoftSkill>interest in new technologies</SoftSkill>.
<SoftSkill>patience</SoftSkill>, <SoftSkill>perseverance</SoftSkill> and <SoftSkill_C>accurate</SoftSkill_C>/<SoftSkill>careful way of working</SoftSkill"," <SoftSkill>Enjoyment of precise design</SoftSkill> and <SoftSkill>Enjoyment of teamwork</SoftSkill>.
<SoftSkill>handcraft skills</SoftSkill>, <SoftSkill>technical understanding</SoftSkill>, <SoftSkill>spatial imagination</SoftSkill> and <SoftSkill>interest in new technologies</SoftSkill>.
<SoftSkill>patience</SoftSkill>, <SoftSkill>perseverance</SoftSkill> and <SoftSkill>accurate working style</SoftSkill>/<SoftSkill>careful working style</SoftSkill>."
17, Mit Ihren <SoftSkill_C>analytischen</SoftSkill_C> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill> <SoftSkill>erkennen Sie Herausforderungen</SoftSkill> und sind <SoftSkill>rasch in der Lösungsfindung</SoftSkill>., Mit Ihren <SoftSkill>analytischen Fähigkeiten</SoftSkill> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill> <SoftSkill>erkennen Sie Herausforderungen</SoftSkill> und sind <SoftSkill>rasch in der Lösungsfindung</SoftSkill>.,"['analytischen Fähigkeiten', 'konzeptionellen Fähigkeiten', 'erkennen Sie Herausforderungen', 'rasch in der Lösungsfindung']", With your <SoftSkill_C>analytical</SoftSkill_C> and <SoftSkill>conceptual skills</SoftSkill> <SoftSkill>you recognise challenges</SoftSkill> and are <SoftSkill>rash at finding solutions</SoftSkill>., With your <SoftSkill>analytical skills</SoftSkill> and <SoftSkill>conceptual skills</SoftSkill> <SoftSkill>you recognise challenges</SoftSkill> and are <SoftSkill>rash at finding solutions</SoftSkill>.
18, Sie <SoftSkill>schätzen eine anspruchsvolle Arbeit mit viel Abwechslung</SoftSkill> und <SoftSkill_C>täglichen Lernmöglichkeiten</SoftSkill_C>., Sie <SoftSkill>schätzen eine anspruchsvolle Arbeit mit viel Abwechslung</SoftSkill> und <SoftSkill>schätzen täglichen Lernmöglichkeiten</SoftSkill>.,"['schätzen eine anspruchsvolle Arbeit mit viel Abwechslung', 'schätzen täglichen Lernmöglichkeiten']", You <SoftSkill>appreciate challenging work with lots of variety</SoftSkill> and <SoftSkill_C>day-to-day learning opportunities</SoftSkill_C>., You <SoftSkill>value challenging work with lots of variety</SoftSkill> and <SoftSkill>value daily learning opportunities</SoftSkill>.
19,<SoftSkill_C>Hohe soziale</SoftSkill_C> und <SoftSkill>persönliche Kompetenzen</SoftSkill> sind weitere Grundvoraussetzungen zur erfolgreichen Ausübung dieser interessanten Stelle.,<SoftSkill>Hohe soziale Kompetenzen</SoftSkill> und <SoftSkill>persönliche Kompetenzen</SoftSkill> sind weitere Grundvoraussetzungen zur erfolgreichen Ausübung dieser interessanten Stelle.,"['Hohe soziale Kompetenzen', 'persönliche Kompetenzen']",<SoftSkill_C>High social</SoftSkill_C> and <SoftSkill>personal skills</SoftSkill> are further basic requirements for the successful performance of this interesting position.,<SoftSkill>High social skills</SoftSkill> and <SoftSkill>personal skills</SoftSkill> are further basic requirements for the successful performance of this interesting position.
20," Sie überzeugen
durch ein <SoftSkill>fachkompetentes Auftreten</SoftSkill>, <SoftSkill>ausgeprägte Teamfähigkeit</SoftSkill> sowie eine <SoftSkill_C>analytische</SoftSkill_C>
und <SoftSkill>ganzheitliche Denkweise</SoftSkill>."," Sie überzeugen durch ein <SoftSkill>fachkompetentes Auftreten</SoftSkill>, <SoftSkill>ausgeprägte Teamfähigkeit</SoftSkill> sowie eine <SoftSkill>analytische Denkweise</SoftSkill> und <SoftSkill>ganzheitliche Denkweise</SoftSkill>.","['fachkompetentes Auftreten', 'ausgeprägte Teamfähigkeit', 'analytische Denkweise', 'ganzheitliche Denkweise']"," You convince
by your <SoftSkill>professional appearance</SoftSkill>, <SoftSkill>strong teamwork skills</SoftSkill> as well as an <SoftSkill_C>analytical</SoftSkill_C> and <SoftSkill_C>holistic way of thinking</SoftSkill>.
and <SoftSkill>holistic way of thinking</SoftSkill>."," You convince with a <SoftSkill>professional competent appearance</SoftSkill>, <SoftSkill>pronounced ability to work in a team</SoftSkill> as well as a <SoftSkill>analytical way of thinking</SoftSkill> and <SoftSkill>holistic way of thinking</SoftSkill>."
21," •  <SoftSkill_C>Freundliches</SoftSkill_C> und <SoftSkill>zuvorkommendes Auftreten gegenüber dem Team, der Kundschaft und den Lieferanten</SoftSkill>
Das bringen Sie mit:"," <SoftSkill>Freundliches Auftreten</SoftSkill> und <SoftSkill>zuvorkommendes Auftreten gegenüber dem Team, der Kundschaft und den Lieferanten</SoftSkill>
Das bringen Sie mit:","['Freundliches Auftreten', 'zuvorkommendes Auftreten gegenüber dem Team, der Kundschaft und den Lieferanten']"," - <SoftSkill_C>Friendly</SoftSkill_C> and <SoftSkill>Accommodating manner towards the team, the clientele and the suppliers</SoftSkill>.
What you bring with you:"," <SoftSkill>Friendly manner</SoftSkill> and <SoftSkill>Accommodating manner towards the team, the clientele and the suppliers</SoftSkill>.
What you bring with you:"
22," Sie sind es <SoftSkill>gewohnt, qualitäts- und kostenbewusst</SoftSkill> zu <SoftSkill_C>denken</SoftSkill_C> und zu <SoftSkill_C>handeln</SoftSkill_C>, haben <SoftSkill>organisatorisches Flair</SoftSkill>, sind <SoftSkill>belastbar</SoftSkill> und <SoftSkill_C>handeln</SoftSkill_C> zum Wohle unserer Patienten."," Sie sind es <SoftSkill>gewohnt, qualitäts- und kostenbewusst</SoftSkill> zu <SoftSkill>denken</SoftSkill> und <SoftSkill>handeln</SoftSkill>, haben <SoftSkill>organisatorisches Flair</SoftSkill>, sind <SoftSkill>belastbar</SoftSkill> und <SoftSkill>handeln</SoftSkill> zum Wohle unserer Patienten.","['gewohnt, qualitäts- und kostenbewusst', 'denken', 'handeln', 'organisatorisches Flair', 'belastbar', 'handeln']"," You are <SoftSkill>accustomed to <SoftSkill_C>thinking</SoftSkill_C> and <SoftSkill_C>acting</SoftSkill_C> in a quality- and cost-conscious manner, have <SoftSkill>organisational flair</SoftSkill>, are <SoftSkill>able</SoftSkill> and <SoftSkill_C>acting</SoftSkill_C> for the benefit of our patients."," You are <SoftSkill>accustomed to <SoftSkill>thinking</SoftSkill> and <SoftSkill>acting</SoftSkill> in a quality- and cost-conscious manner, have <SoftSkill>organisational flair</SoftSkill>, are <SoftSkill>able</SoftSkill> and <SoftSkill>acting</SoftSkill> for the benefit of our patients."
23, •  <SoftSkill>Kompetenz in der Lösungsorientierung</SoftSkill> und <SoftSkill_C>Problemlösung</SoftSkill_C, <SoftSkill>Kompetenz in der Lösungsorientierung</SoftSkill> und <SoftSkill>Kompetenz in der Problemlösung</SoftSkill>.,"['Kompetenz in der Lösungsorientierung', 'Kompetenz in der Problemlösung']", - <SoftSkill>Competence in solution orientation</SoftSkill> and <SoftSkill_C>Problem solving</SoftSkill_C, <SoftSkill>Competence in Solution Orientation</SoftSkill> and <SoftSkill>Competence in Problem Solving</SoftSkill>.
24," Sehr gute Kenntnisse der Bundesverwaltung und der Schweizer Wirtschaft, <SoftSkill>Durchsetzungsfähigkeit</SoftSkill> und <SoftSkill_C>überdurchschnittliche Kommunikations-</SoftSkill_C> und <SoftSkill>Vernetzungsfähigkeiten</SoftSkill> sind weitere Voraussetzungen für diese Stelle."," Sehr gute Kenntnisse der Bundesverwaltung und der Schweizer Wirtschaft, <SoftSkill>Durchsetzungsfähigkeit</SoftSkill> und <SoftSkill>überdurchschnittliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>Vernetzungsfähigkeiten</SoftSkill> sind weitere Voraussetzungen für diese Stelle.","['Durchsetzungsfähigkeit', 'überdurchschnittliche Kommunikationsfähigkeiten', 'Vernetzungsfähigkeiten']"," Very good knowledge of the federal administration and the Swiss economy, <SoftSkill>assertiveness</SoftSkill> and <SoftSkill_C>above-average communication</SoftSkill_C> and <SoftSkill>networking skills</SoftSkill> are further requirements for this position."," Very good knowledge of the federal administration and the Swiss economy, <SoftSkill>assertiveness</SoftSkill> and <SoftSkill>above-average communication skills</SoftSkill> and <SoftSkill>networking skills</SoftSkill> are further requirements for this position."
25," •  <SoftSkill_C>Starke analytische</SoftSkill_C>, <SoftSkill_C>vernetzte</SoftSkill_C> und <SoftSkill>pragmatische Denkweise</SoftSkill> gepaart mit <SoftSkill>ausgeprägtem
Qualitätsbewusstsein</SoftSkill"," • <SoftSkill>Starke analytische Denkweise</SoftSkill>, <SoftSkill>vernetzte Denkweise</SoftSkill> und <SoftSkill>pragmatische Denkweise</SoftSkill> gepaart mit <SoftSkill>ausgeprägtem Qualitätsbewusstsein</SoftSkill>","['Starke analytische Denkweise', 'vernetzte Denkweise', 'pragmatische Denkweise', 'ausgeprägtem Qualitätsbewusstsein']"," - <SoftSkill_C>Strong analytical</SoftSkill_C>, <SoftSkill_C>networked</SoftSkill_C> and <SoftSkill>pragmatic way of thinking</SoftSkill> paired with <SoftSkill>pronounced
quality awareness</SoftSkill"," - <SoftSkill>Strong analytical mindset</SoftSkill>, <SoftSkill>networked mindset</SoftSkill> and <SoftSkill>pragmatic mindset</SoftSkill> paired with <SoftSkill>strong quality awareness</SoftSkill>."
26,•  Sie <SoftSkill>arbeiten sowohl prozess-</SoftSkill> und <SoftSkill_C>zielorientiert</SoftSkill_C> sowie <SoftSkill_C>konzeptionell</SoftSkill_C> mit dem nötigen Anteil <SoftSkill>Pragmatismus</SoftSkill,• Sie <SoftSkill>arbeiten sowohl prozessorientiert</SoftSkill> und <SoftSkill>arbeiten sowohl zielorientiert</SoftSkill> sowie <SoftSkill>arbeiten konzeptionell</SoftSkill> mit dem nötigen Anteil <SoftSkill>Pragmatismus</SoftSkill>,"['arbeiten sowohl prozessorientiert', 'arbeiten sowohl zielorientiert', 'arbeiten konzeptionell', 'Pragmatismus']",- They <SoftSkill>work both process</SoftSkill> and <SoftSkill_C>goal-oriented</SoftSkill_C> as well as <SoftSkill_C>conceptual</SoftSkill_C> with the necessary share of <SoftSkill>pragmatism</SoftSkill,- They <SoftSkill>work both process-oriented</SoftSkill> and <SoftSkill>work both goal-oriented</SoftSkill> as well as <SoftSkill>work conceptually</SoftSkill> with the necessary amount of <SoftSkill>pragmatism</SoftSkill>.
