input,output,valids
Birth certificate and certificate of residence,Birth certificate and certificate of residence,0
Pipeline and electrical construction,Pipeline construction and electrical construction,1
Rampenstrasse and Seestrasse,Rampenstrasse and Seestrasse,0
Personnel and management consultant,Personnel consultant and management consultant,1
Salary and social package,Salary package and social package,1
Receipts and deliveries,Receipts and deliveries,0
Retirement and nursing home,Retirement home and nursing home,1
Market and competitor analyses,Market analyses and competitor analyses,1
Customer and repair services,Customer services and repair services,1
High voltage and power electronics,High voltage electronics and High power electronics,0
Site and project manager,Site manager and project manager,1
Kitchen and interior fittings,Kitchen fittings and interior fittings,1
Proximity rights of way and rights of way,Proximity rights of way and rights of way,0
Product and process changes,Product changes and process changes,1
Order and sales forecasts,Order forecasts and sales forecasts,1
Leadership and management experience,Leadership experience and management experience,1
Subsidiaries and distribution companies,Subsidiaries and distribution companies,0
Professional and social competence,Professional competence and social competence,1
Sales and leadership experience,Sales experience and leadership experience,1
Market research and opinion polling,Market research and opinion polling,0
Energy concepts and building services engineering concepts,Energy concepts and building services engineering concepts,0
Natural sciences and engineering,Natural sciences and engineering,0
Working conditions and terms of employment,Working conditions and terms of employment,0
Execution of sentences and measures,Execution of sentences and measures,0
Repair and maintenance work,Repair work and maintenance work,1
Operational costing and project costing,Operational costing and project costing,0
Platform and software offerings,Platform offerings and software offerings,1
New construction and refurbishment projects,New construction projects and New refurbishment projects,1
Fabrication and measurement orders,Fabrication orders and measurement orders,1
Tissue and sanitary papers,Tissue papers and sanitary papers,1
Financial and insurance products,Financial products and insurance products,1
Leisure and service wishes,Leisure wishes and service wishes,1
Work protocols and test records,Work protocols and test records,0
Business and private clients,Business clients and private clients,1
Fashion and lifestyle companies,Fashion companies and lifestyle companies,1
Turnover and sales figures,Turnover figures and sales figures,1
System and user documentation,System documentation and user documentation,1
Temporary and permanent positions,Temporary positions and permanent positions,1
Specialist and working groups,Specialist groups and working groups,1
Introductory and advanced courses,Introductory courses and advanced courses,1
Regular and new customers,Regular customers and new customers,1
Fabrication and industrial plants,Fabrication plants and industrial plants,1
Trading and service company,Trading company and service company,1
Child and adolescent psychiatry,Child psychiatry and adolescent psychiatry,1
Evening and weekend services,Evening services and weekend services,1
Development and career opportunities,Development opportunities and career opportunities,1
Energy and automation technology group,Energy group and automation technology group,1
Residential and commercial real estate,Residential real estate and commercial real estate,1
Hotel and additional services,Hotel services and additional services,1
Hygiene and occupational safety regulations,Hygiene regulations and occupational safety regulations,1
Cash and postal accounting,Cash accounting and postal accounting,1
Hotspots and sources of tension,Hotspots of tension and sources of tension,1
Poultry and seafood producer,Poultry producer and seafood producer,1
Service and maintenance work,Service work and maintenance work,1
Window and door market,Window market and door market,1
Monetary and tangible assets,Monetary assets and tangible assets,1
Sector and company cultures,Sector cultures and company cultures,1
German language and IT skills,German language skills and IT skills,1
Consumer and capital goods,Consumer goods and capital goods,1
Visit planning and reporting system,Visit planning system and reporting system,1
Further education and training,Further education and Further training,1
Employee and customer portals,Employee portals and customer portals,1
Individual and group assessments,Individual assessments and group assessments,1
Advertising and sales promotion measures,Advertising promotion measures and sales promotion measures,1
Computer and information systems,Computer systems and information systems,1
Confectionery and food industry,Confectionery industry and food industry,1
Sales and service companies,Sales companies and service companies,1
Structure and expansion,Structure and expansion,0
Corporate and association communication,Corporate communication and association communication,1
Washing and ironing machines,Washing machines and ironing machines,1
Workrooms and living spaces,Workrooms and living spaces,0
Childcare and youth care,Childcare and youth care,0
Automation and management level,Automation level and management level,1
Establishment and maintenance work,Establishment work and maintenance work,1
In line with the market and performance,In line with the market and In line with the performance,1
General and regional anaesthesia procedures,General anaesthesia procedures and regional anaesthesia procedures,1
Part and full loads,Part loads and full loads,1
Knowledge of English and French,Knowledge of English and Knowledge of French,1
Advisory and sales tasks,Advisory tasks and sales tasks,1
Basic and primary level,Basic level and primary level,1
Credit agreements and leasing contracts,Credit agreements and leasing contracts,0
Rheumatism and rehabilitation clinic,Rheumatism clinic and rehabilitation clinic,1
Cost and throughput reduction projects,Cost reduction projects and throughput reduction projects,1
Sales and advisory flair,Sales flair and advisory flair,1
Forecast and liquidity planning,Forecast planning and liquidity planning,1
Civil engineering and road construction,Civil engineering and road construction,0
Lower and Middle School,Lower School and Middle School,1
Responsibility for turnover and personnel costs,Responsibility for turnover costs and Responsibility for personnel costs,1
Reception duties and secretarial tasks,Reception duties and secretarial tasks,0
Wearing properties and care characteristics,Wearing properties and care characteristics,0
Wall and floor panels,Wall panels and floor panels,1
Social and personal competence,Social competence and personal competence,1
Work scheduling and break planning,Work scheduling and break planning,0
Network and system components,Network components and system components,1
German language skills and system knowledge,German language skills and system knowledge,0
Negotiation and communication skills,Negotiation skills and communication skills,1
Electrical and lighting planner,Electrical planner and lighting planner,1
Pivot and pivot,Pivot and pivot,0
School and teaching development,School development and teaching development,1
Development opportunities and further training possibilities,Development opportunities and further training possibilities,0
Leisure and recreational value,Leisure value and recreational value,1
Sundays and holidays,Sundays and holidays,0
New and existing customers,New customers and existing customers,1
Opposition and appeal proceedings,Opposition proceedings and appeal proceedings,1
Customer and authority audits,Customer audits and authority audits,1
Floor and wall specialist,Floor specialist and wall specialist,1
Maintenance and optimisation work,Maintenance work and optimisation work,1
On-call and weekend services,On-call services and weekend services,1
Electric and oxyacetylene welder,Electric welder and oxyacetylene welder,1
Household appliances and kitchenware,Household appliances and kitchenware,0
Woodware and stemware,Woodware and stemware,0
Logistics and transport business,Logistics business and transport business,1
Small and large machines,Small machines and large machines,1
Communication and presentation skills,Communication skills and presentation skills,1
Maintenance and servicing work,Maintenance work and servicing work,1
Leadership and professional experience,Leadership experience and professional experience,1
On-call and shift work,On-call work and shift work,1
Application and data architecture,Application architecture and data architecture,1
Further education and training opportunities,Further education opportunities and Further training opportunities,1
Production and administrative departments,Production departments and administrative departments,1
North and Latin America,North America and Latin America,1
Low-voltage and high-voltage lines,Low-voltage lines and high-voltage lines,1
Sales and advisory activity,Sales activity and advisory activity,1
Defence and security industry,Defence industry and security industry,1
Entry and exit control,Entry control and exit control,1
Household sewing systems and embroidery systems,Household sewing systems and embroidery systems,0
Coordination and organisational skills,Coordination skills and organisational skills,1
Research and service projects,Research projects and service projects,1
Construction site and mining vehicles,Construction site vehicles and mining vehicles,1
New buildings and conversions,New buildings and conversions,0
Ventilation and warm air heating systems,Ventilation systems and warm air heating systems,1
Turnover and profitability targets,Turnover targets and profitability targets,1
Area and overall hospital goals,Area goals and overall hospital goals,1
Kitchen and housemaids,Kitchen maids and housemaids,1
Health care and nursing,Health care and nursing,0
Pharmaceutical and food industry,Pharmaceutical industry and food industry,1
Ceiling and ventilation elements,Ceiling elements and ventilation elements,1
Wage and salary payments,Wage payments and salary payments,1
Repair and service work,Repair work and service work,1
Read in and read out,Read in and read out,0
Consultancy and negotiation skills,Consultancy skills and negotiation skills,1
Non-ferrous metal strips and aluminium strips,Non-ferrous metal strips and aluminium strips,0
Recruitment and selection process,Recruitment process and selection process,1
Water and air supply systems,Water supply systems and air supply systems,1
Negotiation and product trainings,Negotiation trainings and product trainings,1
Heating and utility bills,Heating bills and utility bills,1
Weekend and night services,Weekend services and night services,1
Old people's centres and care centres,Old people's centres and care centres,0
Cash management and accounting,Cash management and accounting,0
Financial and property management,Financial management and property management,1
Care and support area,Care area and support area,1
Temporary and permanent positions,Temporary positions and permanent positions,1
Sales and service orientation,Sales orientation and service orientation,1
Individual contracts and framework agreements,Individual contracts and framework agreements,0
German and English language skills,German language skills and English language skills,1
Banquet and conference rooms,Banquet rooms and conference rooms,1
Business and university partners,Business partners and university partners,1
Service and quality orientation,Service orientation and quality orientation,1
Quality awareness and sense of responsibility,Quality awareness and sense of responsibility,0
Site and appraisal interviews,Site interviews and appraisal interviews,1
Infection and contamination prevention,Infection prevention and contamination prevention,1
Deadline awareness and quality consciousness,Deadline awareness and quality consciousness,0
Breakfast and evening service,Breakfast service and evening service,1
Embarkation and disembarkation,Embarkation and disembarkation,0
New and exchange parts,New parts and exchange parts,1
Range of solutions and advice,Range of solutions and Range of advice,1
Induction and familiarisation programmes,Induction programmes and familiarisation programmes,1
Corporate and individual guests,Corporate guests and individual guests,1
Care and nursing area,Care area and nursing area,1
Job and applicant pool,Job pool and applicant pool,1
Product and service information,Product information and service information,1
Monthly and annual financial statements,Monthly financial statements and annual financial statements,1
Employer and location portrait,Employer portrait and location portrait,1
Office and translation manager,Office manager and translation manager,1
Requirements and test management,Requirements management and test management,1
Corporate and private clients,Corporate clients and private clients,1
Professional and leadership potential,Professional potential and leadership potential,1
Suckler cow and young cattle herd,Suckler cow herd and young cattle herd,1
Operational facilities and green spaces,Operational facilities and green spaces,0
Communication skills and assertiveness,Communication skills and assertiveness,0
Test and assembly instructions,Test instructions and assembly instructions,1
Mathematics and language skills,Mathematics skills and language skills,1
Assembly instructions and test specifications,Assembly instructions and test specifications,0
University of Applied Sciences graduates and university graduates,University of Applied Sciences graduates and university graduates,0
Nature conservation and landscape management,Nature conservation and landscape management,0
Individual and group setting,Individual setting and group setting,1
Teaching and school development,Teaching development and school development,1
Safety and quality standards,Safety standards and quality standards,1
Building complaints and planning appeals,Building complaints and planning appeals,0
Linear and drive components,Linear components and drive components,1
Liability and social security law,Liability law and social security law,1
Acceptance and underwriting guidelines,Acceptance guidelines and underwriting guidelines,1
Deadline and cost control,Deadline control and cost control,1
Social and professional competence,Social competence and professional competence,1
IT and project management expertise,IT expertise and project management expertise,1
Cashier and control systems,Cashier systems and control systems,1
Energy and automation technology,Energy technology and automation technology,1
Analysis and project activities,Analysis activities and project activities,1
Decision-making and implementation process,Decision-making process and implementation process,1
Quality and hygiene guidelines,Quality guidelines and hygiene guidelines,1
Project planning and realisation phase,Project planning phase and realisation phase,1
One-off and series production,One-off production and series production,1
Housing and care services,Housing services and care services,1
Consultant and liaison psychiatry,Consultant psychiatry and liaison psychiatry,1
Special and large offers,Special offers and large offers,1
Nutrition and lifestyle concept,Nutrition concept and lifestyle concept,1
Initial and repeat orders,Initial orders and repeat orders,1
Design and development methods,Design methods and development methods,1
Test and process planning,Test planning and process planning,1
Residential and Care Centre,Residential Centre and Care Centre,1
Travel and translation portal,Travel portal and translation portal,1
Career development and promotion,Career development and promotion,0
Measurement and testing technology,Measurement technology and testing technology,1
Ability to analyse and solve problems,Ability to analyse and Ability to solve problems,1
Budgetary and accounting management,Budgetary management and accounting management,1
Forestry and agriculture,Forestry and agriculture,0
Canning and washing technology,Canning technology and washing technology,1
Accounts receivable and financial accounting,Accounts receivable and financial accounting,0
Organisational and leadership skills,Organisational skills and leadership skills,1
Private and acute care clinic,Private care clinic and acute care clinic,1
Customer and process orientation,Customer orientation and process orientation,1
Dunning and debt collection,Dunning collection and debt collection,1
Beauty and cosmetics industry,Beauty industry and cosmetics industry,1
Teachers and caregivers,Teachers and caregivers,0
Transport and meeting hub,Transport hub and meeting hub,1
Planning ability and organisational skills,Planning ability and organisational skills,0
Event and trade fair construction,Event construction and trade fair construction,1
Quality and service orientation,Quality orientation and service orientation,1
Break and fixed services,Break services and fixed services,1
Plan and schematic drawings,Plan drawings and schematic drawings,1
Gate and wall systems,Gate systems and wall systems,1
Social and methodological competence,Social competence and methodological competence,1
Ventilation and air conditioning,Ventilation and air conditioning,0
Trading and settlement processes,Trading processes and settlement processes,1
Transport and cultural history,Transport history and cultural history,1
Department of Justice and Police Department,Department of Justice and Police Department,0
Spare and wearing parts,Spare parts and wearing parts,1
Commercial and computer science apprenticeship,Commercial apprenticeship and computer science apprenticeship,1
Knowledge of French and English,Knowledge of French and Knowledge of English,1
Publishing and media house,Publishing house and media house,1
Heavy current submissions and low current submissions,Heavy current submissions and low current submissions,0
Theme and wedding cakes,Theme cakes and wedding cakes,1
Youth and cultural centre,Youth centre and cultural centre,1
Maintenance and service work,Maintenance work and service work,1
Office space and commercial premises,Office space and commercial premises,0
Departmental and comprehensive school area,Departmental area and comprehensive school area,1
Thinking and imagination,Thinking and imagination,0
Carpentry and maintenance work,Carpentry and maintenance work,0
Spring and autumn use,Spring use and autumn use,1
Geriatric psychiatry and neuropsychiatry,Geriatric psychiatry and neuropsychiatry,0
Wednesday and Friday morning,Wednesday morning and Friday morning,1
Organisational and communication skills,Organisational skills and communication skills,1
Dunning and collection,Dunning and collection,0
Learning and immersion environment,Learning environment and immersion environment,1
Solution and customer orientation,Solution orientation and customer orientation,1
Interim and final reports,Interim reports and final reports,1
Perfumery and cosmetics industry,Perfumery industry and cosmetics industry,1
Watch and jewellery shop,Watch shop and jewellery shop,1
Product and process optimisation,Product optimisation and process optimisation,1
Development and production problems,Development problems and production problems,1
Preparation and transport work,Preparation work and transport work,1
Component and assembly development,Component development and assembly development,1
City of culture and garden city,City of culture and garden city,0
Knowledge of English and German,Knowledge of English and Knowledge of German,1
Professional and project experience,Professional experience and project experience,1
Building and workshop plumbers,Building plumbers and workshop plumbers,1
Order and delivery information,Order information and delivery information,1
Parent and college community,Parent community and college community,1
Reach and reach trucks,Reach trucks and reach trucks,1
Forming and special tools,Forming tools and special tools,1
Obligation to report and provide services,Obligation to report and Obligation to provide services,1
Computer skills and knowledge of English,Computer skills and knowledge of English,0
Project and leadership experience,Project experience and leadership experience,1
Course and exhibition material,Course material and exhibition material,1
Medium-sized and large construction sites,Medium-sized sites and large construction sites,1
Accounting and inventory management,Accounting management and inventory management,1
Leisure activities and holiday offers,Leisure activities and holiday offers,0
Secretarial and reception area,Secretarial area and reception area,1
Bachelor's and Master's degree programmes,Bachelor's degree programmes and Master's degree programmes,1
ICT and network infrastructure,ICT infrastructure and network infrastructure,1
Aerospace and automotive industry,Aerospace industry and automotive industry,1
Organisational and coordination skills,Organisational skills and coordination skills,1
Risk and accounts management,Risk management and accounts management,1
Accounting and administration department,Accounting department and administration department,1
Service and maintenance contracts,Service contracts and maintenance contracts,1
Maintenance and cleaning work,Maintenance work and cleaning work,1
Financial and market data,Financial data and market data,1
Customer and service orientation,Customer orientation and service orientation,1
Industrial and studio area,Industrial area and studio area,1
Work and leadership experience,Work experience and leadership experience,1
Sociability and leadership,Sociability and leadership,0
Customer and service orientation,Customer orientation and service orientation,1
Turnover and earnings targets,Turnover targets and earnings targets,1
Sanatorium and nursing home,Sanatorium home and nursing home,1
Sector and producer organisations,Sector organisations and producer organisations,1
Care and training regulations,Care regulations and training regulations,1
Sports and management sector,Sports sector and management sector,1
Nature and lake region,Nature region and lake region,1
Detailed and assembly drawings,Detailed drawings and assembly drawings,1
Food and feed,Food and feed,0
Registrations and deregistrations,Registrations and deregistrations,0
Training and further education offer,Training and further education offer,0
Quarterly and annual financial statements,Quarterly financial statements and annual financial statements,1
Gravel processing and concrete preparation,Gravel processing and concrete preparation,0
Widow's and orphan's insurance,Widow's insurance and orphan's insurance,1
Maternity and infant department,Maternity department and infant department,1
Childcare and care for relatives,Childcare and care for relatives,0
Temporary and permanent basis,Temporary basis and permanent basis,1
Repair and maintenance work,Repair work and maintenance work,1
Project and working groups,Project groups and working groups,1
Gastronomy and facility management,Gastronomy management and facility management,1
Benchwork and machine work,Benchwork work and machine work,1
Cleaning and hygiene concept,Cleaning concept and hygiene concept,1
Deployment planning and task scheduling,Deployment planning and task scheduling,0
Mould construction and toolmaking,Mould construction and toolmaking,0
Care and nursing services,Care services and nursing services,1
Accounting and social security area,Accounting area and social security area,1
Accident and property insurance,Accident insurance and property insurance,1
Implant and instrument systems,Implant systems and instrument systems,1
Pension and lending business,Pension business and lending business,1
Timber and window construction,Timber construction and window construction,1
Industrial and laboratory equipment,Industrial equipment and laboratory equipment,1
Training and continuing education card,Training card and continuing education card,1
Protective clothing and work clothes,Protective clothing and work clothes,0
Migros and partner businesses,Migros businesses and partner businesses,1
Transaction and management consulting,Transaction consulting and management consulting,1
Pitched and flat roofs,Pitched roofs and flat roofs,1
Data and freshness control,Data control and freshness control,1
Ceiling and floor constructions,Ceiling constructions and floor constructions,1
Transport and logistics companies,Transport companies and logistics companies,1
Standard and user applications,Standard applications and user applications,1
Health insurance and pension fund,Health insurance and pension fund,0
Quality of care and support,Quality of care and Quality of support,1
New and further development,New development and further development,1
Household and hazardous waste,Household waste and hazardous waste,1
Federal Supreme Court and Federal Administrative Court,Federal Supreme Court and Federal Administrative Court,0
Transport and Energy Directorate,Transport Directorate and Energy Directorate,1
Digitisation and sustainability strategies,Digitisation strategies and sustainability strategies,1
Modelling and visualisation systems,Modelling systems and visualisation systems,1
Personal insurance and social security,Personal insurance and social security,0
Family and children's services,Family services and children's services,1
Permanent and temporary positions,Permanent positions and temporary positions,1
Operating and service manuals,Operating manuals and service manuals,1
Payroll and accounting,Payroll and accounting,0
Accounts receivable and fixed assets accounting,Accounts receivable and fixed assets accounting,0
Construction and project management,Construction management and project management,1
Treatment care and nursing,Treatment care and nursing,0
Cleaning and maintenance work,Cleaning work and maintenance work,1
Sales and project organisation,Sales organisation and project organisation,1
Staff entry and exit formalities,Staff entry and exit formalities,0
Anxiety and obsessive-compulsive disorders,Anxiety disorders and obsessive-compulsive disorders,1
Transport and feeding systems,Transport systems and feeding systems,1
Leadership and staff processes,Leadership processes and staff processes,1
Wednesday and Saturday afternoon,Wednesday afternoon and Saturday afternoon,1
Product and supplier ratings,Product ratings and supplier ratings,1
Friday and Saturday evening,Friday evening and Saturday evening,1
Knowledge of Italian and English,Knowledge of Italian and Knowledge of English,1
Heat and surface treatment,Heat treatment and surface treatment,1
IT and banking environment,IT environment and banking environment,1
German-speaking and French-speaking Switzerland,German-speaking Switzerland and French-speaking Switzerland,1
Product and customer training,Product training and customer training,1
Concept and feasibility studies,Concept studies and feasibility studies,1
Basic and server platforms,Basic platforms and server platforms,1
Night and on-call duty,Night duty and on-call duty,1
Sense of responsibility and quality awareness,Sense of responsibility and quality awareness,0
Plaster casts and plastic bandages,Plaster casts and plastic bandages,0
Purchasing and marketing team,Purchasing team and marketing team,1
Health insurance counselling and insurance advice,Health insurance counselling and insurance advice,0
Sales strength and closing power,Sales strength and closing power,0
Bachelor's and Master's level,Bachelor's level and Master's level,1
Safety and quality requirements,Safety requirements and quality requirements,1
Quality and safety requirements,Quality requirements and safety requirements,1
Cabinetmakers and building carpenters,Cabinetmakers and building carpenters,0
Quality of work and life,Quality of work and quality of life,1
Road and rail transport,Road transport and rail transport,1
Pulse and tongue diagnostics,Pulse diagnostics and tongue diagnostics,1
Measurement and control technology,Measurement technology and control technology,1
Living and working conditions,Living conditions and working conditions,1
Environmental and natural sciences,Environmental sciences and natural sciences,1
Premium and benefit statements,Premium statements and benefit statements,1
Refrigeration and air conditioning fitter,Refrigeration and air conditioning fitter,0
High-speed and high-performance milling machines,High-speed milling machines and high-performance milling machines,1
Repair and warranty orders,Repair orders and warranty orders,1
Bachelor and Master students,Bachelor students and Master students,1
Machining and processing,Machining and processing,0
News projects and control technology projects,News projects and control technology projects,0
Operating theatre and storage staff,Operating theatre staff and storage staff,1
Fire alarm and extinguishing systems,Fire alarm systems and extinguishing systems,1
Kindergarten and primary school children,Kindergarten and primary school children,0
Ability to work in a team and communicate,Ability to work in a team and Ability to communicate,1
CNC knowledge and machining skills,CNC knowledge and machining skills,0
Private and corporate clients,Private clients and corporate clients,1
Land acquisition and land sale projects,Land acquisition projects and land sale projects,1
Expansion and maintenance projects,Expansion projects and maintenance projects,1
Wine and menu knowledge,Wine knowledge and menu knowledge,1
CRM and customer loyalty processes,CRM processes and customer loyalty processes,1
Learning and teaching practice,Learning practice and teaching practice,1
Reception and telephone service,Reception service and telephone service,1
Crisis management and operations,Crisis management and operations,0
New and existing customers,New customers and existing customers,1
Process and requirements definition,Process definition and requirements definition,1
Letter of credit business and documentary collection business,Letter of credit business and documentary collection business,0
Cervical and facial surgery,Cervical surgery and facial surgery,1
Weekend and late services,Weekend services and late services,1
Online and offline,Online and offline,0
Preliminary and finishing work,Preliminary work and finishing work,1
Service and team orientation,Service orientation and team orientation,1
Switchboard and control panel construction,Switchboard construction and control panel construction,1
Hotel and restaurant industry,Hotel industry and restaurant industry,1
Heating and air conditioning technology,Heating technology and air conditioning technology,1
Woven wire cloth and mesh,Woven wire cloth and mesh,0
Conveyor and handling technology,Conveyor technology and handling technology,1
Sales and negotiation skills,Sales skills and negotiation skills,1
Private and business customers,Private customers and business customers,1
Aviation and aerospace,Aviation and aerospace,0
Article master maintenance and supplier master maintenance,Article master maintenance and supplier master maintenance,0
Acquisition and construction cost planning,Acquisition planning and construction cost planning,1
Own rental values and property tax values,Own rental values and property tax values,0
Credit and deposit products,Credit products and deposit products,1
Professional competence and competence to act,Professional competence and competence to act,0
Management and personnel consulting,Management consulting and personnel consulting,1
Marketing and sales strategy,Marketing strategy and sales strategy,1
Painting and carpentry,Painting and carpentry,0
Further education and training,Further education and Further training,1
Train haulage and workshop service,Train haulage and workshop service,0
Trading and industrial company,Trading company and industrial company,1
Sand and core blasting,Sand blasting and core blasting,1
Anxiety and personality disorders,Anxiety disorders and personality disorders,1
Sample and pilot fabrications,Sample fabrications and pilot fabrications,1
Contact and advice centre,Contact centre and advice centre,1
Residential and commercial real estate,Residential real estate and commercial real estate,1
