,input,output
10,<SoftSkill_C>Kommunikations-</SoftSkill_C> und <SoftSkill>Teamfähigkeit</SoftSkill>,<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Teamfähigkeit</SoftSkill>
11,"Wir suchen eine <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>.","Wir suchen eine <SoftSkill>initiative Persönlichkeit</SoftSkill> und <SoftSkill>kreative Persönlichkeit</SoftSkill>, die <SoftSkill>in einem dynamischen Umfeld anspruchsvolle Projekte erfolgreich umsetzen kann</SoftSkill>."
12,"<SoftSkill_C>freundliche</SoftSkill_C> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung","<SoftSkill>Freundliche Bedienung unserer Kundschaft</SoftSkill> und <SoftSkill>fachkundige Bedienung unserer Kundschaft</SoftSkill>
kompetente Beratung im Produktebereich Fleisch/Charcuterie/Fisch
optimale Warenpräsentation
bewirtschaften der Selbstbedienung
Einhaltung der Richtlinien betreffend Warenpflege, Datakontrolle und HACCP
Warenbestellung"
13,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill_C>hohe Kunden-</SoftSkill_C> und <SoftSkill>Lösungsorientierung</SoftSkill>?,<SoftSkill>Schätzen Sie den Kontakt und die Zusammenarbeit mit den Fachbereichen</SoftSkill> und verfügen Sie über eine <SoftSkill>hohe Kundenorientierung</SoftSkill> und <SoftSkill>Lösungsorientierung</SoftSkill>?
14,"Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill_C>gründlich</SoftSkill_C>.","Du <SoftSkill>kannst dir Konstruktionen räumlich vorstellen</SoftSkill>, bist <SoftSkill>handwerklich geschickt</SoftSkill> und <SoftSkill>arbeitest exakt</SoftSkill> und <SoftSkill>arbeitest gründlich</SoftSkill>."
15,•  <SoftSkill_C>Spass</SoftSkill_C> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>,• <SoftSkill>Spass an permanenter Weiterentwicklung des Know-hows</SoftSkill> und <SoftSkill>Interesse an permanenter Weiterentwicklung des Know-hows</SoftSkill>
16,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.,Für unser Produktionswerk Feintool Teile & Komponenten AG in Lyss suchen wir eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>qualifizierte Person</SoftSkill> als Teamleiter Qualitätssicherung.
17,<SoftSkill_C>Gute schriftliche</SoftSkill_C> und <SoftSkill>mündliche Kommunikations- fähigkeiten</SoftSkill>,<SoftSkill>Gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>gute mündliche Kommunikationsfähigkeiten</SoftSkill>
18,"Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, zu <SoftSkill_C>fördern</SoftSkill_C> und <SoftSkill_C>gezielt einzusetzen</SoftSkill_C>.","Als <SoftSkill>Führungspersönlichkeit</SoftSkill> haben Sie <SoftSkill>Freude daran, Ihre Mitarbeitenden zu führen</SoftSkill>, <SoftSkill>Ihre Mitarbeitenden zu fördern</SoftSkill> und <SoftSkill>Ihre Mitarbeitenden gezielt einzusetzen</SoftSkill>."
19,Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>initiative Persönlichkeit</SoftSkill>.,"
Für unseren Geschäftsbereich Klärwerk Werdhölzli suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit</SoftSkill>."
20,"Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill_C>einfach du selbst</SoftSkill_C>?","Bist du <SoftSkill>flexibel</SoftSkill>, <SoftSkill>vielseitig interessiert</SoftSkill> und <SoftSkill>einfach du selbst</SoftSkill>?"
21,"<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>"
22,"Eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>"
23,"Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill_C>proaktiven</SoftSkill_C>, <SoftSkill_C>selbständigen</SoftSkill_C> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill>proaktiven Arbeitsstil</SoftSkill>, <SoftSkill>selbständigen Arbeitsstil</SoftSkill> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>."
24,Wir wenden uns an ein <SoftSkill_C>junges</SoftSkill_C> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.,Wir wenden uns an ein <SoftSkill>junges Verkaufstalent</SoftSkill> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.
25,Eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.,Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.
26,"Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill_C>organisations-</SoftSkill_C> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als
Leiter/-in Regionalsekretariat 100%",Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill>organisationsgewandte Persönlichkeit</SoftSkill> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als Leiter/-in Regionalsekretariat 100%.
27,"Mobilität ist das Ziel
Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill_C>kundenorientierte</SoftSkill_C> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:","Mobilität ist das Ziel. Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:"""
28,"Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill_C>strukturiert</SoftSkill_C> und <SoftSkill>selbständig</SoftSkill>.","Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill>Ihre Arbeitsweise ist strukturiert</SoftSkill> und <SoftSkill>Ihre Arbeitsweise ist selbständig</SoftSkill>"
29,<SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>,<SoftSkill>Selbständige Arbeitsweise</SoftSkill> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>
30,"•  Eine <SoftSkill_C>positive</SoftSkill_C>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>","Eine <SoftSkill>positive Einstellung</SoftSkill>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>."
31,Als <SoftSkill_C>motivierende</SoftSkill_C> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill_C>ergebnisorientiert</SoftSkill_C>.,Als <SoftSkill>motivierende Persönlichkeit</SoftSkill> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill>handeln Sie ergebnisorientiert</SoftSkill>.
32,"Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill_C>positives Lern-</SoftSkill_C> u. <SoftSkill>Sozialverhalten</SoftSkill>.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill>positives Lernverhalten</SoftSkill> u. <SoftSkill>positives Sozialverhalten</SoftSkill>."
33,"Für eine Pflegeabteilung suchen wir Sie als <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als
Stationsleiter/in (FH, HF,DN II, AKP, PsychKP) 80-100%
Aufgaben","Für eine Pflegeabteilung suchen wir Sie als <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100%
Aufgaben"
34,"Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill_C>flexible</SoftSkill_C>, <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>belastbare Persönlichkeit</SoftSkill> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>."
35,Zudem <SoftSkill>interessieren Sie sich für technische Zusammenhänge</SoftSkill> und die <SoftSkill_C>Elektronik</SoftSkill_C>.,Zudem <SoftSkill>interessieren Sie sich für technische Zusammenhänge</SoftSkill> und <SoftSkill>interessieren Sie sich für Elektronik</SoftSkill>.
36,<SoftSkill_C>Liebst</SoftSkill_C> und <SoftSkill>lebst Fashion</SoftSkill>?,<SoftSkill> Liebst Fashion</SoftSkill> und <SoftSkill>lebst Fashion</SoftSkill>?
37,"Sie bringen
<SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>innovatives Denken</SoftSkill> mit und verfügen zudem über ein <SoftSkill_C>gutes
</SoftSkill_C><SoftSkill_C>Vorstellungs-</SoftSkill_C> und <SoftSkill>Auffassungsvermögen</SoftSkill> und haben <SoftSkill>Interesse an Neuem</SoftSkill>.","Sie bringen <SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>innovatives Denken</SoftSkill> mit und verfügen zudem über ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill> und <SoftSkill>gutes Auffassungsvermögen</SoftSkill> und haben <SoftSkill>Interesse an Neuem</SoftSkill>."
38,"Wir suchen nach Vereinbarung eine <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>exakte Persönlichkeit</SoftSkill> als
Sachbearbeiter/in Administration und Disposition",Wir suchen nach Vereinbarung eine <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>exakte Persönlichkeit</SoftSkill> als Sachbearbeiter/in Administration und Disposition.
39,"Sie haben eine <SoftSkill_C>offene</SoftSkill_C>, <SoftSkill_C>aufbauende</SoftSkill_C> und <SoftSkill>wertschätzende
Haltung</SoftSkill> sowie den <SoftSkill>Willen, diese Werte zu leben und zu vermitteln</SoftSkill>.","Sie haben eine <SoftSkill>offene Haltung</SoftSkill>, <SoftSkill>aufbauende Haltung</SoftSkill> und <SoftSkill>wertschätzende Haltung</SoftSkill> sowie den <SoftSkill>Willen, diese Werte zu leben und zu vermitteln</SoftSkill>."
40,<SoftSkill_C>Selbstständige</SoftSkill_C> und <SoftSkill>eigenverantwortliche Persönlichkeit</SoftSkill>,<SoftSkill>Selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>eigenverantwortliche Persönlichkeit</SoftSkill>
41,•  Du lernst<SoftSkill>Kunden zu begeistern</SoftSkill> und <SoftSkill_C>mit Freude zu verkaufen</SoftSkill_C>.,Du lernst <SoftSkill>Kunden zu begeistern</SoftSkill> und <SoftSkill>mit Freude zu verkaufen</SoftSkill>.
42,"•  <SoftSkill>Gute Umgangsformen</SoftSkill>, auch <SoftSkill_C>in hektischen Situationen</SoftSkill_C>","• <SoftSkill>Gute Umgangsformen</SoftSkill>, auch <SoftSkill>gute Umgangsformen in hektischen Situationen</SoftSkill>"
43,"•  G
<SoftSkill_C>epflegte</SoftSkill_C> und <SoftSkill>gewinnende Persönlichkeit</SoftSkill>
mit <SoftSkill>Einfühlungsvermögen</SoftSkill>
Wir bieten Ihnen:","• <SoftSkill>Gepflegte Persönlichkeit</SoftSkill> und <SoftSkill>gewinnende Persönlichkeit</SoftSkill>
mit <SoftSkill>Einfühlungsvermögen</SoftSkill>
Wir bieten Ihnen:"
44,"<SoftSkill_C>Dienstleistungs-</SoftSkill_C> und <SoftSkill>Patientenorientierung</SoftSkill>
<SoftSkill>Sehr gepflegtes Auftreten</SoftSkill>
<SoftSkill>Hohe Selbständigkeit</SoftSkill> und <SoftSkill>zuverlässig</SoftSkill>
<SoftSkill>Sehr gute Führungsqualitäten</SoftSkill>
<SoftSkill>Gute Kommunikationsfähigkeit</SoftSkill>
<SoftSkill_C>Integrative</SoftSkill_C> und <SoftSkill>empathische Persönlichkeit</SoftSkill>","<SoftSkill>Dienstleistungsorientierung</SoftSkill> und <SoftSkill>Patientenorientierung</SoftSkill>
<SoftSkill>Sehr gepflegtes Auftreten</SoftSkill>
<SoftSkill>Hohe Selbständigkeit</SoftSkill> und <SoftSkill>zuverlässig</SoftSkill>
<SoftSkill>Sehr gute Führungsqualitäten</SoftSkill>
<SoftSkill>Gute Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Integrative Persönlichkeit</SoftSkill> und <SoftSkill>empathische Persönlichkeit</SoftSkill>"
45,Durch Ihr <SoftSkill_C>gewinnbringendes</SoftSkill_C> und <SoftSkill>positives Auftreten</SoftSkill> können Sie <SoftSkill>Leute von Ihren Vorhaben begeistern</SoftSkill>.,Durch Ihr <SoftSkill>gewinnbringendes Auftreten</SoftSkill> und <SoftSkill>positives Auftreten</SoftSkill> können Sie <SoftSkill>Leute von Ihren Vorhaben begeistern</SoftSkill>.
46,"Die Angst+Pfister AG sucht für die offenen Lehrstellen ab August 2015 <SoftSkill_C>motivierte</SoftSkill_C>, <SoftSkill_C>interessierte</SoftSkill_C> und <SoftSkill>fleissige junge Persönlichkeiten</SoftSkill> für die","Die Angst+Pfister AG sucht für die offenen Lehrstellen ab August 2015 <SoftSkill>motivierte junge Persönlichkeiten</SoftSkill>, <SoftSkill>interessierte junge Persönlichkeiten</SoftSkill> und <SoftSkill>fleissige junge Persönlichkeiten</SoftSkill> für die."
47,<SoftSkill_C>Sozial-</SoftSkill_C> und <SoftSkill>Fachkompetenzen</SoftSkill> gehören zu Ihren Stärken.,"<SoftSkill>Sozialkompetenzen</SoftSkill> und <SoftSkill>Fachkompetenzen</SoftSkill> gehören zu Ihren Stärken."""
48,"Sie sind eine <SoftSkill_C>leistungsstarke</SoftSkill_C>, <SoftSkill_C>hochmotivierte</SoftSkill_C> und <SoftSkill>engagierte Persönlichkeit</SoftSkill> und verfügen über","Sie sind eine <SoftSkill>leistungsstarke Persönlichkeit</SoftSkill>, <SoftSkill>hochmotivierte Persönlichkeit</SoftSkill> und <SoftSkill>engagierte Persönlichkeit</SoftSkill> und verfügen über"
49,Sie haben <SoftSkill>Interesse an der Schul-entwicklung</SoftSkill> und an der <SoftSkill_C>interdisziplinären Zusammenarbeit innerhalb und außerhalb der Schule</SoftSkill_C>.,Sie haben <SoftSkill>Interesse an der Schul-entwicklung</SoftSkill> und <SoftSkill>Interesse an der interdisziplinären Zusammenarbeit innerhalb und außerhalb der Schule</SoftSkill>.
50,Ihre <SoftSkill>Kommunikation ist offen</SoftSkill> und <SoftSkill_C>transparent</SoftSkill_C>.,Ihre <SoftSkill>Kommunikation ist offen</SoftSkill> und <SoftSkill>Ihre Kommunikation ist transparent</SoftSkill>.
51,•  <SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill>,<SoftSkill>Teamorientierte Persönlichkeit</SoftSkill> und <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill>
52,"Für diese vielseitige und spannende Aufgabe suchen wir eine <SoftSkill_C>engagierte</SoftSkill_C>, <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>gut organisierte Persönlichkeit</SoftSkill> mit mehreren Jahren Berufserfahrung aus einer ähnlichen Funktion.","
Für diese vielseitige und spannende Aufgabe suchen wir eine <SoftSkill>engagierte Persönlichkeit</SoftSkill>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>gut organisierte Persönlichkeit</SoftSkill> mit mehreren Jahren Berufserfahrung aus einer ähnlichen Funktion."
53,"Weiter benötigen Sie ein <SoftSkill>Flair für Mode</SoftSkill> und den <SoftSkill_C>Umgang mit
verschiedensten Menschen</SoftSkill_C>, eine <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
sowie einen <SoftSkill>kühlen Kopf in hektischen Situationen</SoftSkill>.","Weiter benötigen Sie ein <SoftSkill>Flair für Mode</SoftSkill> und ein <SoftSkill>Flair für den Umgang mit verschiedensten Menschen</SoftSkill>, eine <SoftSkill>zuverlässige Arbeitsweise</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
sowie einen <SoftSkill>kühlen Kopf in hektischen Situationen</SoftSkill>."
54,•  <SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>vernetztes Denkvermögen</SoftSkill>,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>vernetztes Denkvermögen</SoftSkill>
55,"Sie sind...
... eine <SoftSkill_C>herzliche</SoftSkill_C>, <SoftSkill_C>offene</SoftSkill_C> und <SoftSkill>begeisterungsfähige Person</SoftSkill> die <SoftSkill>mit viel Freude</SoftSkill> und <SoftSkill>Liebe zum Detail</SoftSkill> eine top Dienstleistung erbringt.","Sie sind eine <SoftSkill>herzliche Person</SoftSkill>, <SoftSkill>offene Person</SoftSkill> und <SoftSkill>begeisterungsfähige Person</SoftSkill>, die <SoftSkill>mit viel Freude</SoftSkill> und <SoftSkill>Liebe zum Detail</SoftSkill> eine top Dienstleistung erbringt."
56,"Ihr Profil:
<SoftSkill>Durchsetzungsvermögen</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C> ist Voraussetzung.","Ihr Profil: <SoftSkill>Durchsetzungsvermögen</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill> ist Voraussetzung."""
57,"Sie haben als <SoftSkill>dienstleistungsorientierte Persönlichkeit</SoftSkill> <SoftSkill>keine Mühe,</SoftSkill> <SoftSkill>in hektischen Zeiten die Ruhe zu bewahren</SoftSkill> und <SoftSkill_C>Prioritäten zu setzen</SoftSkill_C>.","Sie haben als <SoftSkill>dienstleistungsorientierte Persönlichkeit</SoftSkill> <SoftSkill>keine Mühe,</SoftSkill> <SoftSkill>in hektischen Zeiten die Ruhe zu bewahren</SoftSkill> und <SoftSkill_C>Prioritäten zu setzen</SoftSkill_C>."
