,Unnamed: 0,input,output
11037,25421,"
	Du hast nicht nur <SoftSkill>grosses Interesse an persönlicher Weiterentwicklung</SoftSkill>, sondern auch das <SoftSkill_C>Potential</SoftSkill_C> und den <SoftSkill>Willen, Teamleiter/-in Restaurant zu werden</SoftSkill>.","
	Du hast nicht nur <SoftSkill>grosses Interesse an persönlicher Weiterentwicklung</SoftSkill>, sondern auch das <SoftSkill_C>Potential</SoftSkill_C> und den <SoftSkill>Willen, Teamleiter/-in Restaurant zu werden</SoftSkill>."
15058,35676,"Sie zeichnen sich durch eine <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill> aus und sind bereit, auch Pikett, Schichtarbeit und Wochendendeinsätze zu leisten.","Sie zeichnen sich durch eine <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill> aus und sind bereit, auch Pikett, Schichtarbeit und Wochendendeinsätze zu leisten."
26038,65868,"Zur Ergänzung unseres Montageteams in Alpnach Dorf suchen wir auf Mai 2020 oder nach Vereinbarung eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>verantwortungsbewusste Persönlichkeit</SoftSkill> als

","Zur Ergänzung unseres Montageteams in Alpnach Dorf suchen wir auf Mai 2020 oder nach Vereinbarung eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>verantwortungsbewusste Persönlichkeit</SoftSkill> als

"
27684,71054,"Im Rahmen des weiteren Ausbaus suchen wir eine <SoftSkill_C>erfahrene</SoftSkill_C> und <SoftSkill>dynamische Persönlichkeit</SoftSkill> als:

","Im Rahmen des weiteren Ausbaus suchen wir eine <SoftSkill_C>erfahrene</SoftSkill_C> und <SoftSkill>dynamische Persönlichkeit</SoftSkill> als:

"
26773,68112,"Grundausbildung im Bauwesen mit Weiterbildung zum/zur Dipl. Bauführer/Bauführerin, Bauleiter/Bauleiterin, Ingenieur/Ingenieurin oder gleichwertig
	Fundierte EDV-Kenntnisse
	<SoftSkill>Teamfähigkeit</SoftSkill>
	<SoftSkill_C>Kundenorientiertes</SoftSkill_C> und <SoftSkill>unternehmerisches Verhalten</SoftSkill>
	<SoftSkill>Orientierung zum wirtschaftlichen Erfolg</SoftSkill>

","Grundausbildung im Bauwesen mit Weiterbildung zum/zur Dipl. Bauführer/Bauführerin, Bauleiter/Bauleiterin, Ingenieur/Ingenieurin oder gleichwertig
	Fundierte EDV-Kenntnisse
	<SoftSkill>Teamfähigkeit</SoftSkill>
	<SoftSkill_C>Kundenorientiertes</SoftSkill_C> und <SoftSkill>unternehmerisches Verhalten</SoftSkill>
	<SoftSkill>Orientierung zum wirtschaftlichen Erfolg</SoftSkill>

"
7484,17023,"
Mit Ihrer <SoftSkill_C>offenen</SoftSkill_C> und <SoftSkill>Kundenorientierten Art</SoftSkill>, geben Sie Auskünfte jeglicher Art und helfen den Fahrgästen beim Ein- und Aussteigen.","
Mit Ihrer <SoftSkill_C>offenen</SoftSkill_C> und <SoftSkill>Kundenorientierten Art</SoftSkill>, geben Sie Auskünfte jeglicher Art und helfen den Fahrgästen beim Ein- und Aussteigen."
15461,36709,"•  <SoftSkill_C>selbständiges</SoftSkill_C>, <SoftSkill_C>effizientes</SoftSkill_C>, <SoftSkill>kundenorientiertes Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>, <SoftSkill>gepflegtes Auftreten</SoftSkill> und 
<SoftSkill>angenehme Umgangsformen</SoftSkill> 

	","•  <SoftSkill_C>selbständiges</SoftSkill_C>, <SoftSkill_C>effizientes</SoftSkill_C>, <SoftSkill>kundenorientiertes Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>, <SoftSkill>gepflegtes Auftreten</SoftSkill> und 
<SoftSkill>angenehme Umgangsformen</SoftSkill> 

	"
1441,3284,"Berufserfahrung im Detailhandel oder im Verkauf von Vorteil
	Sie verfügen über ein <SoftSkill>sehr gutes Zahlenflair</SoftSkill>
	<SoftSkill_C>Stilvolles</SoftSkill_C> und <SoftSkill>bestimmtes Auftreten</SoftSkill>
	<SoftSkill>Gepflegtes Erscheinungsbild</SoftSkill>

	","Berufserfahrung im Detailhandel oder im Verkauf von Vorteil
	Sie verfügen über ein <SoftSkill>sehr gutes Zahlenflair</SoftSkill>
	<SoftSkill_C>Stilvolles</SoftSkill_C> und <SoftSkill>bestimmtes Auftreten</SoftSkill>
	<SoftSkill>Gepflegtes Erscheinungsbild</SoftSkill>

	"
4293,9760,Wir suchen eine <SoftSkill_C>integrative</SoftSkill_C> und <SoftSkill>kommunikative Persönlichkeit</SoftSkill> mit <SoftSkill_C>hoher Fach-</SoftSkill_C> und <SoftSkill>Sozialkompetenz</SoftSkill>.,Wir suchen eine <SoftSkill_C>integrative</SoftSkill_C> und <SoftSkill>kommunikative Persönlichkeit</SoftSkill> mit <SoftSkill_C>hoher Fach-</SoftSkill_C> und <SoftSkill>Sozialkompetenz</SoftSkill>.
18855,45939,"Sie zeichnen sich durch eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>verantwortungsbewusste Arbeitsweise</SoftSkill> aus.","Sie zeichnen sich durch eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>verantwortungsbewusste Arbeitsweise</SoftSkill> aus."
27222,69510,"Für unsere Filiale in Uster suchen wir nach Vereinbarung eine <SoftSkill_C>aufgestellte</SoftSkill_C> und <SoftSkill>ausgewiesene Persönlichkeit</SoftSkill> als

","Für unsere Filiale in Uster suchen wir nach Vereinbarung eine <SoftSkill_C>aufgestellte</SoftSkill_C> und <SoftSkill>ausgewiesene Persönlichkeit</SoftSkill> als

"
3585,8101,Sie <SoftSkill>handeln unternehmerisch</SoftSkill> und <SoftSkill_C>kundenorientiert</SoftSkill_C> und haben <SoftSkill>Freude an der interdisziplinären Zusammenarbeit</SoftSkill>.,Sie <SoftSkill>handeln unternehmerisch</SoftSkill> und <SoftSkill_C>kundenorientiert</SoftSkill_C> und haben <SoftSkill>Freude an der interdisziplinären Zusammenarbeit</SoftSkill>.
26274,66611,"Sie haben <SoftSkill_C>Freude</SoftSkill_C> und sind <SoftSkill>moti- viert an einer professionellen und nach modernen Grundsätzen ausgerichteten geriatrischen Langzeitpflege</SoftSkill>, und <SoftSkill>schätzen Teamarbeit</SoftSkill>.","Sie haben <SoftSkill_C>Freude</SoftSkill_C> und sind <SoftSkill>moti- viert an einer professionellen und nach modernen Grundsätzen ausgerichteten geriatrischen Langzeitpflege</SoftSkill>, und <SoftSkill>schätzen Teamarbeit</SoftSkill>."
20723,50826,"
	Sicheres Deutsch und Englisch (mindestens schriftlich), eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill>, <SoftSkill_C>Lern-</SoftSkill_C> und <SoftSkill>Einsatzbereitschaft</SoftSkill> runden Ihr Profil ab.","
	Sicheres Deutsch und Englisch (mindestens schriftlich), eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill>, <SoftSkill_C>Lern-</SoftSkill_C> und <SoftSkill>Einsatzbereitschaft</SoftSkill> runden Ihr Profil ab."
25660,64677,"Für unsere Pflegeabteilung suchen wir Sie als <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> per sofort oder nach Vereinbarung als
Diplomierte Pflegefachperson (HF, DNII)
Ihre Aufgaben

	","Für unsere Pflegeabteilung suchen wir Sie als <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> per sofort oder nach Vereinbarung als
Diplomierte Pflegefachperson (HF, DNII)
Ihre Aufgaben

	"
27788,71348,Zudem <SoftSkill>arbeiten Sie gerne selbständig</SoftSkill> wie auch <SoftSkill_C>dienstleistungsorientiert</SoftSkill_C> und <SoftSkill>schätzen ein aufgestelltes und junges Team</SoftSkill>.,Zudem <SoftSkill>arbeiten Sie gerne selbständig</SoftSkill> wie auch <SoftSkill_C>dienstleistungsorientiert</SoftSkill_C> und <SoftSkill>schätzen ein aufgestelltes und junges Team</SoftSkill>.
27369,69966,"B. zwingend
Wir suchen eine <SoftSkill_C>motivierte</SoftSkill_C>, <SoftSkill_C>dienstleistungsorientierte</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>, die sowohl <SoftSkill>gerne selbständig</SoftSkill> als auch <SoftSkill_C>im Team arbeitet</SoftSkill_C>.","B. zwingend
Wir suchen eine <SoftSkill_C>motivierte</SoftSkill_C>, <SoftSkill_C>dienstleistungsorientierte</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>, die sowohl <SoftSkill>gerne selbständig</SoftSkill> als auch <SoftSkill_C>im Team arbeitet</SoftSkill_C>."
4990,11310,"Du hast ein <SoftSkill>Flair für Zentralschweizer Themen</SoftSkill>, bist <SoftSkill_C>politisch</SoftSkill_C>, aber auch <SoftSkill_C>wirtschaftlich</SoftSkill_C>, <SoftSkill_C>sportlich</SoftSkill_C> und <SoftSkill>kulturell interessiert</SoftSkill>.","Du hast ein <SoftSkill>Flair für Zentralschweizer Themen</SoftSkill>, bist <SoftSkill_C>politisch</SoftSkill_C>, aber auch <SoftSkill_C>wirtschaftlich</SoftSkill_C>, <SoftSkill_C>sportlich</SoftSkill_C> und <SoftSkill>kulturell interessiert</SoftSkill>."
21999,54259,"<SoftSkill>Dienstleistungsorientierung</SoftSkill>, eine <SoftSkill_C>strukturierte</SoftSkill_C>, <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>organisierte Arbeitsweise</SoftSkill> sowie <SoftSkill>Freude am Koordinieren verschiedener Aufgaben</SoftSkill> sind für diese abwechslungsreiche Aufgabe von grosser Bedeutung.","<SoftSkill>Dienstleistungsorientierung</SoftSkill>, eine <SoftSkill_C>strukturierte</SoftSkill_C>, <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>organisierte Arbeitsweise</SoftSkill> sowie <SoftSkill>Freude am Koordinieren verschiedener Aufgaben</SoftSkill> sind für diese abwechslungsreiche Aufgabe von grosser Bedeutung."
16612,39767,"Zur Unterstützung im Team Quality Support suchen wir eine <SoftSkill_C>analytische</SoftSkill_C> und <SoftSkill>dynamische Persönlichkeit</SoftSkill> als
Herausforderungen

	","Zur Unterstützung im Team Quality Support suchen wir eine <SoftSkill_C>analytische</SoftSkill_C> und <SoftSkill>dynamische Persönlichkeit</SoftSkill> als
Herausforderungen

	"
3378,7679,"•  <SoftSkill_C>Freude</SoftSkill_C> und <SoftSkill>Interesse an der Betreuung von Kindern im Kindergarten- und Schulalter</SoftSkill>

	","•  <SoftSkill_C>Freude</SoftSkill_C> und <SoftSkill>Interesse an der Betreuung von Kindern im Kindergarten- und Schulalter</SoftSkill>

	"
22001,54261,"Sie sind eine <SoftSkill_C>initiative</SoftSkill_C>, <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>, die sich durch <SoftSkill>Lernbereitschaft</SoftSkill> sowie <SoftSkill>Selbständigkeit</SoftSkill> auszeichnet.","Sie sind eine <SoftSkill_C>initiative</SoftSkill_C>, <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>, die sich durch <SoftSkill>Lernbereitschaft</SoftSkill> sowie <SoftSkill>Selbständigkeit</SoftSkill> auszeichnet."
17841,43196,"Für unsere Abteilung strategischer Einkauf suchen wir eine <SoftSkill_C>organisierte</SoftSkill_C>, <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>selbständige Persönlichkeit</SoftSkill>.","Für unsere Abteilung strategischer Einkauf suchen wir eine <SoftSkill_C>organisierte</SoftSkill_C>, <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>selbständige Persönlichkeit</SoftSkill>."
19185,46767,"
	Sie besitzen eine <SoftSkill_C>exakte</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> und bringen <SoftSkill>gute Umgangsformen</SoftSkill> mit.","
	Sie besitzen eine <SoftSkill_C>exakte</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> und bringen <SoftSkill>gute Umgangsformen</SoftSkill> mit."
5548,12546,"Sie verfügen über ein <SoftSkill_C>hohes Mass an Fach-</SoftSkill_C>, <SoftSkill_C>Sozial-</SoftSkill_C>, <SoftSkill_C>Selbst-</SoftSkill_C> und <SoftSkill>Methodenkompetenz</SoftSkill> und <SoftSkill>agieren im interdisziplinären Kontext sicher</SoftSkill> und <SoftSkill_C>konstruktiv</SoftSkill_C>.","Sie verfügen über ein <SoftSkill_C>hohes Mass an Fach-</SoftSkill_C>, <SoftSkill_C>Sozial-</SoftSkill_C>, <SoftSkill_C>Selbst-</SoftSkill_C> und <SoftSkill>Methodenkompetenz</SoftSkill> und <SoftSkill>agieren im interdisziplinären Kontext sicher</SoftSkill> und <SoftSkill_C>konstruktiv</SoftSkill_C>."
19966,48820,"Wir suchen eine <SoftSkill_C>freundliche</SoftSkill_C>, <SoftSkill>dienstleistungsorientierte Person</SoftSkill>, die <SoftSkill>vernetzt denken kann</SoftSkill> und bereits über Erfahrungen in einer ähnlichen Position und evtl. auch in der Gesundheitsbranche verfügt.","Wir suchen eine <SoftSkill_C>freundliche</SoftSkill_C>, <SoftSkill>dienstleistungsorientierte Person</SoftSkill>, die <SoftSkill>vernetzt denken kann</SoftSkill> und bereits über Erfahrungen in einer ähnlichen Position und evtl. auch in der Gesundheitsbranche verfügt."
4455,10145,"Sie <SoftSkill>übernehmen gerne Verantwortung</SoftSkill> und <SoftSkill>arbeiten sehr selbständig</SoftSkill>, <SoftSkill_C>zielorientiert</SoftSkill_C> und können Verkaufserfolge nachweisen.","Sie <SoftSkill>übernehmen gerne Verantwortung</SoftSkill> und <SoftSkill>arbeiten sehr selbständig</SoftSkill>, <SoftSkill_C>zielorientiert</SoftSkill_C> und können Verkaufserfolge nachweisen."
2208,5028,"Sie <SoftSkill>bleiben auch in hektischen Situationen freundlich</SoftSkill>, <SoftSkill_C>konzentriert</SoftSkill_C> und <SoftSkill_C>belastbar</SoftSkill_C> und <SoftSkill>schätzen die Arbeit in einem jungen, tatkräftigen Team</SoftSkill>.","Sie <SoftSkill>bleiben auch in hektischen Situationen freundlich</SoftSkill>, <SoftSkill_C>konzentriert</SoftSkill_C> und <SoftSkill_C>belastbar</SoftSkill_C> und <SoftSkill>schätzen die Arbeit in einem jungen, tatkräftigen Team</SoftSkill>."
3780,8574,"Einige Jahre Berufserfahrung, idealerweise in der Finanzdienstleistungsbranche
	<SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>zielorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>Wille zum Erfolg</SoftSkill>
	<SoftSkill>Hohe Flexibilität</SoftSkill> und <SoftSkill>Durchsetzungsvermögen</SoftSkill>
	<SoftSkill>Ausgeprägte Kommunikationsstärke</SoftSkill> und <SoftSkill>Kontaktfreude</SoftSkill>
	Gute PC-Anwenderkenntnisse

","Einige Jahre Berufserfahrung, idealerweise in der Finanzdienstleistungsbranche
	<SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>zielorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>Wille zum Erfolg</SoftSkill>
	<SoftSkill>Hohe Flexibilität</SoftSkill> und <SoftSkill>Durchsetzungsvermögen</SoftSkill>
	<SoftSkill>Ausgeprägte Kommunikationsstärke</SoftSkill> und <SoftSkill>Kontaktfreude</SoftSkill>
	Gute PC-Anwenderkenntnisse

"
9201,21051,"In Folge Pensionierung suchen wir eine <SoftSkill>engagierte Verkaufspersönlichkeit</SoftSkill> im Aussendienst, die <SoftSkill>unternehmerisch denkt</SoftSkill>, <SoftSkill_C>handelt</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten schätzt</SoftSkill>.","In Folge Pensionierung suchen wir eine <SoftSkill>engagierte Verkaufspersönlichkeit</SoftSkill> im Aussendienst, die <SoftSkill>unternehmerisch denkt</SoftSkill>, <SoftSkill_C>handelt</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten schätzt</SoftSkill>."
13787,32275,"Neben <SoftSkill_C>analytischen</SoftSkill_C> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill> verfügen Sie über <SoftSkill>Eigeninitiative</SoftSkill>, <SoftSkill>starke kommunikative Fähigkeiten</SoftSkill>, <SoftSkill>Verkaufsflair</SoftSkill> sowie eine <SoftSkill>ausgeprägte Umsetzungsstärke</SoftSkill>.","Neben <SoftSkill_C>analytischen</SoftSkill_C> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill> verfügen Sie über <SoftSkill>Eigeninitiative</SoftSkill>, <SoftSkill>starke kommunikative Fähigkeiten</SoftSkill>, <SoftSkill>Verkaufsflair</SoftSkill> sowie eine <SoftSkill>ausgeprägte Umsetzungsstärke</SoftSkill>."
18547,45142,"Zudem zeichnen Sie sich durch eine <SoftSkill_C>systematische</SoftSkill_C> und <SoftSkill>analytische Arbeitsweise</SoftSkill> aus und sind eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>sozialkompetente</SoftSkill_C> sowie <SoftSkill>selbständige Persönlichkeit</SoftSkill>.","Zudem zeichnen Sie sich durch eine <SoftSkill_C>systematische</SoftSkill_C> und <SoftSkill>analytische Arbeitsweise</SoftSkill> aus und sind eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>sozialkompetente</SoftSkill_C> sowie <SoftSkill>selbständige Persönlichkeit</SoftSkill>."
17950,43447,"
Automatiker EFZ und Automatikerinnen EFZ zeichnen sich aus durch 
<SoftSkill_C>wirtschaftliches</SoftSkill_C> und <SoftSkill>ökologisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>.","
Automatiker EFZ und Automatikerinnen EFZ zeichnen sich aus durch 
<SoftSkill_C>wirtschaftliches</SoftSkill_C> und <SoftSkill>ökologisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>."
8857,20231,"Abgeschlossene Berufslehre als Sanitärmonteur
	<SoftSkill>flexibel</SoftSkill> und <SoftSkill>belastbar</SoftSkill>
	mindestens 2 Jahre Berufserfahrung in der Schweiz
	<SoftSkill_C>kompetentes</SoftSkill_C> und <SoftSkill>gepflegtes Auftreten</SoftSkill>

","Abgeschlossene Berufslehre als Sanitärmonteur
	<SoftSkill>flexibel</SoftSkill> und <SoftSkill>belastbar</SoftSkill>
	mindestens 2 Jahre Berufserfahrung in der Schweiz
	<SoftSkill_C>kompetentes</SoftSkill_C> und <SoftSkill>gepflegtes Auftreten</SoftSkill>

"
23210,57689,"<SoftSkill_C>Zuvorkommende</SoftSkill_C> und <SoftSkill>kompetente Beratung unserer Kunden</SoftSkill>,
	Umsetzung der Conforama-Konzepte,
	Die Produkte unserer Verkaufspolitik entsprechend präsentieren.","<SoftSkill_C>Zuvorkommende</SoftSkill_C> und <SoftSkill>kompetente Beratung unserer Kunden</SoftSkill>,
	Umsetzung der Conforama-Konzepte,
	Die Produkte unserer Verkaufspolitik entsprechend präsentieren."
15137,35847,"Wir suchen <SoftSkill_C>Vorausdenkende</SoftSkill_C>, <SoftSkill>Teamplayer</SoftSkill> und <SoftSkill>Leistungsträger</SoftSkill>, die mit uns Gelb bewegen.","Wir suchen <SoftSkill_C>Vorausdenkende</SoftSkill_C>, <SoftSkill>Teamplayer</SoftSkill> und <SoftSkill>Leistungsträger</SoftSkill>, die mit uns Gelb bewegen."
7908,17939,"•  Als <SoftSkill_C>Verkäufer</SoftSkill_C> und <SoftSkill>Teamplayer</SoftSkill> sind Sie <SoftSkill>kontaktfreudig</SoftSkill>, <SoftSkill>vielseitig</SoftSkill> und <SoftSkill>flexibel</SoftSkill>,

	","•  Als <SoftSkill_C>Verkäufer</SoftSkill_C> und <SoftSkill>Teamplayer</SoftSkill> sind Sie <SoftSkill>kontaktfreudig</SoftSkill>, <SoftSkill>vielseitig</SoftSkill> und <SoftSkill>flexibel</SoftSkill>,

	"
12885,29937,"<SoftSkill>Begeisterung</SoftSkill> und <SoftSkill>Leidenschaft</SoftSkill>
	<SoftSkill_C>Eigenverantwortliches</SoftSkill_C> und <SoftSkill>professionelles Arbeiten</SoftSkill> und <SoftSkill_C>Auftreten</SoftSkill_C>
	Menschlicher Umgang und Teamwork, hohe Wertschätzung gegenüber Kunden und untereinander

","<SoftSkill>Begeisterung</SoftSkill> und <SoftSkill>Leidenschaft</SoftSkill>
	<SoftSkill_C>Eigenverantwortliches</SoftSkill_C> und <SoftSkill>professionelles Arbeiten</SoftSkill> und <SoftSkill_C>Auftreten</SoftSkill_C>
	Menschlicher Umgang und Teamwork, hohe Wertschätzung gegenüber Kunden und untereinander

"
