,Index,input,output,Problem type,valids
,32,"Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill_C>positives Lern-</SoftSkill_C> u. <SoftSkill>Sozialverhalten</SoftSkill>.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill>positives Lernverhalten</SoftSkill> u. <SoftSkill>positives Sozialverhalten</SoftSkill>.",HOWA,0
,33,"Für eine Pflegeabteilung suchen wir Sie als <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als
Stationsleiter/in (FH, HF,DN II, AKP, PsychKP) 80-100%
Aufgaben","Für eine Pflegeabteilung suchen wir Sie als <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100%
Aufgaben",OWA,0
,34,"Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill_C>flexible</SoftSkill_C>, <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>belastbare Persönlichkeit</SoftSkill> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.",MC,0
,35,Zudem <SoftSkill>interessieren Sie sich für technische Zusammenhänge</SoftSkill> und die <SoftSkill_C>Elektronik</SoftSkill_C>.,Zudem <SoftSkill>interessieren Sie sich für technische Zusammenhänge</SoftSkill> und <SoftSkill>interessieren Sie sich für Elektronik</SoftSkill>.,MWA,0
,36,<SoftSkill_C>Liebst</SoftSkill_C> und <SoftSkill>lebst Fashion</SoftSkill>?,<SoftSkill> Liebst Fashion</SoftSkill> und <SoftSkill>lebst Fashion</SoftSkill>?,OWA,0
,37,"Sie bringen
<SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>innovatives Denken</SoftSkill> mit und verfügen zudem über ein <SoftSkill_C>gutes
</SoftSkill_C><SoftSkill_C>Vorstellungs-</SoftSkill_C> und <SoftSkill>Auffassungsvermögen</SoftSkill> und haben <SoftSkill>Interesse an Neuem</SoftSkill>.","Sie bringen <SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>innovatives Denken</SoftSkill> mit und verfügen zudem über ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill> und <SoftSkill>gutes Auffassungsvermögen</SoftSkill> und haben <SoftSkill>Interesse an Neuem</SoftSkill>.",HOWA,0
,38,"Wir suchen nach Vereinbarung eine <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>exakte Persönlichkeit</SoftSkill> als
Sachbearbeiter/in Administration und Disposition",Wir suchen nach Vereinbarung eine <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>exakte Persönlichkeit</SoftSkill> als Sachbearbeiter/in Administration und Disposition.,OWA,0
,39,"Sie haben eine <SoftSkill_C>offene</SoftSkill_C>, <SoftSkill_C>aufbauende</SoftSkill_C> und <SoftSkill>wertschätzende
Haltung</SoftSkill> sowie den <SoftSkill>Willen, diese Werte zu leben und zu vermitteln</SoftSkill>.","Sie haben eine <SoftSkill>offene Haltung</SoftSkill>, <SoftSkill>aufbauende Haltung</SoftSkill> und <SoftSkill>wertschätzende Haltung</SoftSkill> sowie den <SoftSkill>Willen, diese Werte zu leben und zu vermitteln</SoftSkill>.",MC,0
,40,<SoftSkill_C>Selbstständige</SoftSkill_C> und <SoftSkill>eigenverantwortliche Persönlichkeit</SoftSkill>,<SoftSkill>Selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>eigenverantwortliche Persönlichkeit</SoftSkill>,OWA,0
,41,•  Du lernst<SoftSkill>Kunden zu begeistern</SoftSkill> und <SoftSkill_C>mit Freude zu verkaufen</SoftSkill_C>.,Du lernst <SoftSkill>Kunden zu begeistern</SoftSkill> und <SoftSkill>mit Freude zu verkaufen</SoftSkill>.,NONE,0
,42,"•  <SoftSkill>Gute Umgangsformen</SoftSkill>, auch <SoftSkill_C>in hektischen Situationen</SoftSkill_C>","• <SoftSkill>Gute Umgangsformen</SoftSkill>, auch <SoftSkill>gute Umgangsformen in hektischen Situationen</SoftSkill>",MWA,0
,43,"•  G
<SoftSkill_C>epflegte</SoftSkill_C> und <SoftSkill>gewinnende Persönlichkeit</SoftSkill>
mit <SoftSkill>Einfühlungsvermögen</SoftSkill>
Wir bieten Ihnen:","• <SoftSkill>Gepflegte Persönlichkeit</SoftSkill> und <SoftSkill>gewinnende Persönlichkeit</SoftSkill>
mit <SoftSkill>Einfühlungsvermögen</SoftSkill>
Wir bieten Ihnen:",OWA,0
,44,"<SoftSkill_C>Dienstleistungs-</SoftSkill_C> und <SoftSkill>Patientenorientierung</SoftSkill>
<SoftSkill>Sehr gepflegtes Auftreten</SoftSkill>
<SoftSkill>Hohe Selbständigkeit</SoftSkill> und <SoftSkill>zuverlässig</SoftSkill>
<SoftSkill>Sehr gute Führungsqualitäten</SoftSkill>
<SoftSkill>Gute Kommunikationsfähigkeit</SoftSkill>
<SoftSkill_C>Integrative</SoftSkill_C> und <SoftSkill>empathische Persönlichkeit</SoftSkill>","<SoftSkill>Dienstleistungsorientierung</SoftSkill> und <SoftSkill>Patientenorientierung</SoftSkill>
<SoftSkill>Sehr gepflegtes Auftreten</SoftSkill>
<SoftSkill>Hohe Selbständigkeit</SoftSkill> und <SoftSkill>zuverlässig</SoftSkill>
<SoftSkill>Sehr gute Führungsqualitäten</SoftSkill>
<SoftSkill>Gute Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Integrative Persönlichkeit</SoftSkill> und <SoftSkill>empathische Persönlichkeit</SoftSkill>",HOWA,0
,45,Durch Ihr <SoftSkill_C>gewinnbringendes</SoftSkill_C> und <SoftSkill>positives Auftreten</SoftSkill> können Sie <SoftSkill>Leute von Ihren Vorhaben begeistern</SoftSkill>.,Durch Ihr <SoftSkill>gewinnbringendes Auftreten</SoftSkill> und <SoftSkill>positives Auftreten</SoftSkill> können Sie <SoftSkill>Leute von Ihren Vorhaben begeistern</SoftSkill>.,OWA,0
,46,"Die Angst+Pfister AG sucht für die offenen Lehrstellen ab August 2015 <SoftSkill_C>motivierte</SoftSkill_C>, <SoftSkill_C>interessierte</SoftSkill_C> und <SoftSkill>fleissige junge Persönlichkeiten</SoftSkill> für die","Die Angst+Pfister AG sucht für die offenen Lehrstellen ab August 2015 <SoftSkill>motivierte junge Persönlichkeiten</SoftSkill>, <SoftSkill>interessierte junge Persönlichkeiten</SoftSkill> und <SoftSkill>fleissige junge Persönlichkeiten</SoftSkill> für die.",MC,0
,47,<SoftSkill_C>Sozial-</SoftSkill_C> und <SoftSkill>Fachkompetenzen</SoftSkill> gehören zu Ihren Stärken.,"<SoftSkill>Sozialkompetenzen</SoftSkill> und <SoftSkill>Fachkompetenzen</SoftSkill> gehören zu Ihren Stärken.""",HOWA,0
,48,"Sie sind eine <SoftSkill_C>leistungsstarke</SoftSkill_C>, <SoftSkill_C>hochmotivierte</SoftSkill_C> und <SoftSkill>engagierte Persönlichkeit</SoftSkill> und verfügen über","Sie sind eine <SoftSkill>leistungsstarke Persönlichkeit</SoftSkill>, <SoftSkill>hochmotivierte Persönlichkeit</SoftSkill> und <SoftSkill>engagierte Persönlichkeit</SoftSkill> und verfügen über",MC,0
,49,Sie haben <SoftSkill>Interesse an der Schul-entwicklung</SoftSkill> und an der <SoftSkill_C>interdisziplinären Zusammenarbeit innerhalb und außerhalb der Schule</SoftSkill_C>.,Sie haben <SoftSkill>Interesse an der Schul-entwicklung</SoftSkill> und <SoftSkill>Interesse an der interdisziplinären Zusammenarbeit innerhalb und außerhalb der Schule</SoftSkill>.,MWA,0
,50,Ihre <SoftSkill>Kommunikation ist offen</SoftSkill> und <SoftSkill_C>transparent</SoftSkill_C>.,Ihre <SoftSkill>Kommunikation ist offen</SoftSkill> und <SoftSkill>Ihre Kommunikation ist transparent</SoftSkill>.,MWA,0
,51,•  <SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill>,<SoftSkill>Teamorientierte Persönlichkeit</SoftSkill> und <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill>,HOWA,0
,52,"Für diese vielseitige und spannende Aufgabe suchen wir eine <SoftSkill_C>engagierte</SoftSkill_C>, <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>gut organisierte Persönlichkeit</SoftSkill> mit mehreren Jahren Berufserfahrung aus einer ähnlichen Funktion.","
Für diese vielseitige und spannende Aufgabe suchen wir eine <SoftSkill>engagierte Persönlichkeit</SoftSkill>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>gut organisierte Persönlichkeit</SoftSkill> mit mehreren Jahren Berufserfahrung aus einer ähnlichen Funktion.",MC,0
,53,"Weiter benötigen Sie ein <SoftSkill>Flair für Mode</SoftSkill> und den <SoftSkill_C>Umgang mit
verschiedensten Menschen</SoftSkill_C>, eine <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
sowie einen <SoftSkill>kühlen Kopf in hektischen Situationen</SoftSkill>.","Weiter benötigen Sie ein <SoftSkill>Flair für Mode</SoftSkill> und ein <SoftSkill>Flair für den Umgang mit verschiedensten Menschen</SoftSkill>, eine <SoftSkill>zuverlässige Arbeitsweise</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
sowie einen <SoftSkill>kühlen Kopf in hektischen Situationen</SoftSkill>.",MDC,0
,54,•  <SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>vernetztes Denkvermögen</SoftSkill>,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>vernetztes Denkvermögen</SoftSkill>,OWA,0
,55,"Sie sind...
... eine <SoftSkill_C>herzliche</SoftSkill_C>, <SoftSkill_C>offene</SoftSkill_C> und <SoftSkill>begeisterungsfähige Person</SoftSkill> die <SoftSkill>mit viel Freude</SoftSkill> und <SoftSkill>Liebe zum Detail</SoftSkill> eine top Dienstleistung erbringt.","Sie sind eine <SoftSkill>herzliche Person</SoftSkill>, <SoftSkill>offene Person</SoftSkill> und <SoftSkill>begeisterungsfähige Person</SoftSkill>, die <SoftSkill>mit viel Freude</SoftSkill> und <SoftSkill>Liebe zum Detail</SoftSkill> eine top Dienstleistung erbringt.",MC,0
,56,"Ihr Profil:
<SoftSkill>Durchsetzungsvermögen</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C> ist Voraussetzung.","Ihr Profil: <SoftSkill>Durchsetzungsvermögen</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill> ist Voraussetzung.""",OWA,0
