prompt,predicted_text
 <SoftSkill_C>Systematisches</SoftSkill_C> und <SoftSkill>methodisches Arbeiten</SoftSkill> ist für diese Funktion eine wichtige Voraussetzung. ->, <SoftSkill>Systematisches Arbeiten</SoftSkill> und <SoftSkill>methodisches Arbeiten</SoftSkill> ist für diese Funktion eine wichtige Voraussetzung.
" <SoftSkill_C>engagiert</SoftSkill_C>, <SoftSkill_C>vernetzt</SoftSkill_C> und <SoftSkill>kollegial denken</SoftSkill>. ->"," <SoftSkill>engagiert denken</SoftSkill>, <SoftSkill>vernetzt denken</SoftSkill> und <SoftSkill>kollegial denken</SoftSkill>."
" <SoftSkill_C>Qualitäts-</SoftSkill_C> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill> sowie <SoftSkill_C>selbständiges</SoftSkill_C>, <SoftSkill>proaktives Arbeiten ist Ihnen wichtig</SoftSkill>. ->"," <SoftSkill>Qualitätsbewusstsein</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill> sowie <SoftSkill>selbständiges Arbeiten</SoftSkill>, <SoftSkill>proaktives Arbeiten ist Ihnen wichtig</SoftSkill>."
" Sales Consultant
Dein Job
Dank deiner <SoftSkill_C>herzlichen</SoftSkill_C> und <SoftSkill>offenen Art</SoftSkill> wird Einkaufen zum einzigartigen und begeisternden Erlebnis. ->"," Sales Consultant
Dein Job
Dank deiner <SoftSkill>herzlichen Art</SoftSkill> und <SoftSkill>offenen Art</SoftSkill> wird Einkaufen zum einzigartigen und begeisternden Erlebnis."
" Vor allem aber überzeugen Sie durch Ihre <SoftSkill>hohe Kundenorientierung</SoftSkill> sowie ein <SoftSkill_C>gepflegtes</SoftSkill_C>, <SoftSkill>sicheres Auftreten</SoftSkill>! ->"," Vor allem aber überzeugen Sie durch Ihre <SoftSkill>hohe Kundenorientierung</SoftSkill> sowie ein <SoftSkill>gepflegtes Auftreten</SoftSkill>, <SoftSkill>sicheres Auftreten</SoftSkill>!"
" Sie <SoftSkill>planen vorausschauend</SoftSkill> und <SoftSkill>erledigen Ihre Arbeit exakt</SoftSkill>, <SoftSkill_C>gewissenhaft</SoftSkill_C> sowie <SoftSkill_C>engagiert</SoftSkill_C>. ->"," Sie <SoftSkill>planen vorausschauend</SoftSkill> und <SoftSkill>erledigen Ihre Arbeit exakt</SoftSkill>, <SoftSkill>erledigen Ihre Arbeit gewissenhaft</SoftSkill> sowie <SoftSkill>erledigen Ihre Arbeit engagiert</SoftSkill>."
" Dank Ihrer <SoftSkill_C>starken</SoftSkill_C> und <SoftSkill>kontaktorientierten Persönlichkeit</SoftSkill> <SoftSkill>fällt es Ihnen leicht, Kontakte aufzubauen und zu pflegen</SoftSkill>. ->"," Dank Ihrer <SoftSkill>starken Persönlichkeit</SoftSkill> und <SoftSkill>kontaktorientierten Persönlichkeit</SoftSkill> <SoftSkill>fällt es Ihnen leicht, Kontakte aufzubauen und zu pflegen</SoftSkill>."
" <SoftSkill_C>Prozessorientiertes</SoftSkill_C>, <SoftSkill_C>betriebswirtschaftliches</SoftSkill_C> und <SoftSkill>zukunftsgerichtetes Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>, <SoftSkill>sicheres Auftreten</SoftSkill>, <SoftSkill>Ausdauer</SoftSkill> und <SoftSkill>hohe Einsatzbereitschaft</SoftSkill> sind für Sie selbstverständlich. ->"," <SoftSkill>Prozessorientiertes Denken</SoftSkill>, <SoftSkill>betriebswirtschaftliches Denken</SoftSkill> und <SoftSkill>zukunftsgerichtetes Denken</SoftSkill> und <SoftSkill>zukunftsgerichtetes Handeln</SoftSkill>, <SoftSkill>sicheres Auftreten</SoftSkill>, <SoftSkill>Ausdauer</SoftSkill> und <SoftSkill>hohe Einsatzbereitschaft</SoftSkill> sind für Sie selbstverständlich."
" Sie weisen <SoftSkill_C>hohe Sozial-</SoftSkill_C>, <SoftSkill_C>Gestaltungs-</SoftSkill_C> und <SoftSkill>Handlungskompetenz</SoftSkill> vor sowie <SoftSkill>Engagement</SoftSkill> und <SoftSkill>Freude an Diagnostik und interdisziplinärer Behandlung von Kindern und Jugendlichen</SoftSkill>. ->"," Sie weisen <SoftSkill>hohe Sozialkompetenz</SoftSkill>, <SoftSkill>Gestaltungskompetenz</SoftSkill> und <SoftSkill>Handlungskompetenz</SoftSkill> vor sowie <SoftSkill>Engagement</SoftSkill> und <SoftSkill>Freude an Diagnostik und interdisziplinärer Behandlung von Kindern und Jugendlichen</SoftSkill>."
" Für diese anspruchsvolle und fordernde Aufgabe erwarten wir eine <SoftSkill_C>führungsstarke</SoftSkill_C>, <SoftSkill_C>motivierende</SoftSkill_C>
und <SoftSkill>zielorientierte Persönlichkeit</SoftSkill>. ->"," Für diese anspruchsvolle und fordernde Aufgabe erwarten wir eine <SoftSkill>führungsstarke Persönlichkeit</SoftSkill>, <SoftSkill>motivierende Persönlichkeit</SoftSkill>und <SoftSkill>zielorientierte Persönlichkeit</SoftSkill>."
 <SoftSkill>Bereitet dir vernetztes Denken</SoftSkill> und das <SoftSkill_C>Arbeiten am Computer Freude</SoftSkill_C>? ->, <SoftSkill>Bereitet dir vernetztes Denken</SoftSkill> und <SoftSkill>bereitet dir arbeiten am Computer Freude</SoftSkill>?
 Sie <SoftSkill>schätzen strukturierte Arbeitsfelder</SoftSkill> und verfügen über <SoftSkill_C>organisatorische</SoftSkill_C> und <SoftSkill>administrative Kompetenzen</SoftSkill>. ->, Sie <SoftSkill>schätzen strukturierte Arbeitsfelder</SoftSkill> und verfügen über <SoftSkill>organisatorische Kompetenzen</SoftSkill> und <SoftSkill>administrative Kompetenzen</SoftSkill>.
 <SoftSkill>Unseren Patienten begegnen Sie aufmerksam</SoftSkill> und <SoftSkill_C>zuvorkommend</SoftSkill_C>. ->, <SoftSkill>Unseren Patienten begegnen Sie aufmerksam</SoftSkill> und <SoftSkill>unseren Patienten begegnen Sie zuvorkommend</SoftSkill>.
" •  <SoftSkill_C>Zuvorkommende</SoftSkill_C> und <SoftSkill>kompetente Beratung unserer Kunden</SoftSkill>, ->"," • <SoftSkill>Zuvorkommende Beratung unserer Kunden</SoftSkill> und <SoftSkill>kompetente Beratung unserer Kunden</SoftSkill>,"
" Eine <SoftSkill_C>exakte Denk</SoftSkill_C>
-
und <SoftSkill_C>Arbeitsweise</SoftSkill_C>
sowie <SoftSkill>Sorgfältigkeit</SoftSkill> zeichnen Sie aus. ->"," Eine <SoftSkill>exakte Denkweise</SoftSkill>
und <SoftSkill>Arbeitsweise</SoftSkill>
sowie <SoftSkill>Sorgfältigkeit</SoftSkill> zeichnen Sie aus."
" Sie sind eine Persönlichkeit, die <SoftSkill_C>gerne strukturiert</SoftSkill_C>, <SoftSkill_C>verantwortungsbewusst</SoftSkill_C>, <SoftSkill_C>selbständig</SoftSkill_C> und <SoftSkill>zielorientiert arbeitet</SoftSkill>. ->"," Sie sind eine Persönlichkeit, die <SoftSkill>gerne strukturiert arbeitet</SoftSkill>, <SoftSkill>verantwortungsbewusst arbeitet</SoftSkill>, <SoftSkill>selbständig arbeitet</SoftSkill> und <SoftSkill>zielorientiert arbeitet</SoftSkill>."
" Wir wenden uns an eine <SoftSkill_C>belastbare</SoftSkill_C>, <SoftSkill_C>engagierte</SoftSkill_C>, <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>kommunikationsstarke Führungspersönlichkeit</SoftSkill> mit <SoftSkill>unternehmerischem Denken</SoftSkill> und <SoftSkill>Verhandlungsgeschick</SoftSkill>. ->"," Wir wenden uns an eine <SoftSkill>belastbare Führungspersönlichkeit</SoftSkill>, <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, <SoftSkill>initiative Führungspersönlichkeit</SoftSkill> und <SoftSkill>kommunikationsstarke Führungspersönlichkeit</SoftSkill> mit <SoftSkill>unternehmerischem Denken</SoftSkill> und <SoftSkill>Verhandlungsgeschick</SoftSkill>."
 •  Sie werden von Anderen als <SoftSkill_C>äusserst kommunikative</SoftSkill_C> und <SoftSkill>sozialkompetente Persönlichkeit</SoftSkill> beschrieben ->, • Sie werden von Anderen als <SoftSkill>äusserst kommunikative Persönlichkeit</SoftSkill> und <SoftSkill>sozialkompetente Persönlichkeit</SoftSkill> beschrieben
" <SoftSkill_C>eigenverantwortlich</SoftSkill_C> und <SoftSkill>fokussiert, auch in zeitkritischen Situationen</SoftSkill>? ->"," <SoftSkill>eigenverantwortlich, auch in zeitkritischen Situationen</SoftSkill> und <SoftSkill>fokussiert, auch in zeitkritischen Situationen</SoftSkill>?"
" Ihr Profil
Für diese spannende Funktion wünschen wir uns eine <SoftSkill_C>flexible</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>selbständige Gastgeberpersönlichkeit</SoftSkill> mit einer abgeschlossenen Grundausbildung in der Gastronomie, idealerweise als Koch. ->"," Ihr Profil
Für diese spannende Funktion wünschen wir uns eine <SoftSkill>flexible Gastgeberpersönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Gastgeberpersönlichkeit</SoftSkill> und <SoftSkill>selbständige Gastgeberpersönlichkeit</SoftSkill> mit einer abgeschlossenen Grundausbildung in der Gastronomie, idealerweise als Koch."
" Ihnen <SoftSkill>bereitet die Arbeit im Team</SoftSkill>, die <SoftSkill_C>Warenpräsentation</SoftSkill_C> und <SoftSkill_C>-bewirtschaftung</SoftSkill_C> besonders Freude. ->"," Ihnen <SoftSkill>bereitet die Arbeit im Team</SoftSkill>, die <SoftSkill>Warenpräsentation</SoftSkill> und <SoftSkill>-bewirtschaftung</SoftSkill> besonders Freude."
" Sie haben einen <SoftSkill>Sinn für Details</SoftSkill> und zeichnen sich durch Ihre <SoftSkill_C>systematische</SoftSkill_C>, <SoftSkill_C>sorgfältige</SoftSkill_C> und <SoftSkill>effiziente Arbeitsweise</SoftSkill> aus. ->"," Sie haben einen <SoftSkill>Sinn für Details</SoftSkill> und zeichnen sich durch Ihre <SoftSkill>systematische Arbeitsweise</SoftSkill>, <SoftSkill>sorgfältige Arbeitsweise</SoftSkill> und <SoftSkill>effiziente Arbeitsweise</SoftSkill> aus."
" Als <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>bodenständige Person</SoftSkill> <SoftSkill>packen Sie an</SoftSkill>, wo es nötig ist und <SoftSkill>fühlen sich wohl in dieser lebendigen Drehscheiben-Funktion!</SoftSkill ->"," Als <SoftSkill>flexible Person</SoftSkill> und <SoftSkill>bodenständige Person</SoftSkill> <SoftSkill>packen Sie an</SoftSkill>, wo es nötig ist und <SoftSkill>fühlen sich wohl in dieser lebendigen Drehscheiben-Funktion!</SoftSkill>"
 •  <SoftSkill>Freude am Arbeiten vor dem Gast</SoftSkill> und als <SoftSkill_C>Mitglied eines Teams</SoftSkill_C ->, <SoftSkill>Freude am Arbeiten vor dem Gast</SoftSkill> und <SoftSkill>Freude am Arbeiten als Mitglied eines Teams</SoftSkill>.
" Sie zeichnen sich durch Ihre <SoftSkill_C>offene</SoftSkill_C>, <SoftSkill_C>hilfsbereite</SoftSkill_C> und <SoftSkill>freundliche Art</SoftSkill> sowie durch Ihre <SoftSkill>Zuverlässigkeit</SoftSkill> aus. ->"," Sie zeichnen sich durch Ihre <SoftSkill>offene Art</SoftSkill>, <SoftSkill>hilfsbereite Art</SoftSkill> und <SoftSkill>freundliche Art</SoftSkill> sowie durch Ihre <SoftSkill>Zuverlässigkeit</SoftSkill> aus."
" Du <SoftSkill>liebst es zu vernetzen</SoftSkill>, zu <SoftSkill_C>koordinieren</SoftSkill_C> und bist <SoftSkill>vielseitig begabt</SoftSkill>? ->"," Du <SoftSkill>liebst es zu vernetzen</SoftSkill>, <SoftSkill>liebst es zu koordinieren</SoftSkill> und bist <SoftSkill>vielseitig begabt</SoftSkill>?"
" Abgeschlossene Berufslehre als Sanitärinstallateur/in, Schlosser/in, Metallbauer/in oder Maurer/in
<SoftSkill>Freude am Arbeiten im Freien bei jeder Witterung</SoftSkill>
<SoftSkill>Teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill_C>hohem Qualitäts-</SoftSkill_C> und <SoftSkill>Sicherheitsbewusstsein</SoftSkill>
Führerausweis Kat. ->"," Abgeschlossene Berufslehre als Sanitärinstallateur/in, Schlosser/in, Metallbauer/in oder Maurer/in
<SoftSkill>Freude am Arbeiten im Freien bei jeder Witterung</SoftSkill>
<SoftSkill>Teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hohem Qualitätsbewusstsein</SoftSkill> und <SoftSkill>Sicherheitsbewusstsein</SoftSkill>
Führerausweis Kat."
" <SoftSkill_C>Selbständige</SoftSkill_C>, <SoftSkill_C>strukturierte</SoftSkill_C>, <SoftSkill_C>präzise</SoftSkill_C> und <SoftSkill>effiziente Arbeitstechniken</SoftSkill> sowie <SoftSkill>vernetztes Denken</SoftSkill ->"," <SoftSkill>Selbständige Arbeitstechniken</SoftSkill>, <SoftSkill>strukturierte Arbeitstechniken</SoftSkill>, <SoftSkill>präzise Arbeitstechniken</SoftSkill> und <SoftSkill>effiziente Arbeitstechniken</SoftSkill> sowie <SoftSkill>vernetztes Denken</SoftSkill>"
" Wir wenden uns an eine <SoftSkill_C>flexible</SoftSkill_C>, <SoftSkill_C>offene</SoftSkill_C> und <SoftSkill>ehrliche Persönlichkeit</SoftSkill>. ->"," Wir wenden uns an eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>offene Persönlichkeit</SoftSkill> und <SoftSkill>ehrliche Persönlichkeit</SoftSkill>."
 •  <SoftSkill_C>Angenehme</SoftSkill_C> und <SoftSkill>transparente Umgangsformen</SoftSkill> und <SoftSkill>Einschluss in ein Team</SoftSkill ->, <SoftSkill>Angenehme Umgangsformen</SoftSkill> und <SoftSkill>transparente Umgangsformen</SoftSkill> und <SoftSkill>Einschluss in ein Team</SoftSkill>
 •  <SoftSkill>Verständnis im Umgang mit Zahlen</SoftSkill> und <SoftSkill_C>Sprachen</SoftSkill_C ->, <SoftSkill>Verständnis im Umgang mit Zahlen</SoftSkill> und <SoftSkill>Verständnis im Umgang mit Sprachen</SoftSkill>.
 Haben Sie eine <SoftSkill>grosse Affinität zum Kochen</SoftSkill> und <SoftSkill_C>zu Lebensmitteln</SoftSkill_C>? ->, Haben Sie eine <SoftSkill>grosse Affinität zum Kochen</SoftSkill> und <SoftSkill>grosse Affinität zu Lebensmitteln</SoftSkill>?
" Eine <SoftSkill_C>klare</SoftSkill_C>, <SoftSkill>überzeugende und offene Kommunikation mit dem gesamten Team</SoftSkill>, eine <SoftSkill>transparente Arbeitsweise</SoftSkill> und die <SoftSkill>Fähigkeit, einen guten Teamgeist zu schaffen</SoftSkill ->"," Eine <SoftSkill>klare Kommunikation mit dem gesamten Team</SoftSkill>, <SoftSkill>überzeugende und offene Kommunikation mit dem gesamten Team</SoftSkill>, eine <SoftSkill>transparente Arbeitsweise</SoftSkill> und die <SoftSkill>Fähigkeit, einen guten Teamgeist zu schaffen</SoftSkill>"
" •  <SoftSkill_C>Freundliches</SoftSkill_C> und <SoftSkill>korrektes Auftreten</SoftSkill>
Unser Angebot ->", <SoftSkill>Freundliches Auftreten</SoftSkill> und <SoftSkill>korrektes Auftreten</SoftSkill>Unser Angebot
 <SoftSkill_C>Initiative</SoftSkill_C> und <SoftSkill>kooperative Persönlichkeit</SoftSkill> mit <SoftSkill_C>ausgeprägtem analytischen</SoftSkill_C> und <SoftSkill>konzeptionellen Denkvermögen</SoftSkill ->, <SoftSkill>Initiative Persönlichkeit</SoftSkill> und <SoftSkill>kooperative Persönlichkeit</SoftSkill> mit <SoftSkill>ausgeprägtem analytischen Denkvermögen</SoftSkill> und <SoftSkill>konzeptionellen Denkvermögen</SoftSkill>
 Sie besitzen <SoftSkill>Sinn für das Wesentliche</SoftSkill> und <SoftSkill>arbeiten resultat-</SoftSkill> und <SoftSkill_C>lösungsorientiert</SoftSkill_C>. ->, Sie besitzen <SoftSkill>Sinn für das Wesentliche</SoftSkill> und <SoftSkill>arbeiten resultatorientiert</SoftSkill> und <SoftSkill>arbeiten lösungsorientiert</SoftSkill>.
 Sie können <SoftSkill_C>delegieren</SoftSkill_C> und <SoftSkill>setzen in hektischen Situationen Prioritäten</SoftSkill>. ->, Sie können <SoftSkill>delegieren in hektischen Situationen</SoftSkill> und <SoftSkill>setzen in hektischen Situationen Prioritäten</SoftSkill>.
" Ein <SoftSkill>gutes
Zahlenflair</SoftSkill> sowie ein <SoftSkill_C>exakter</SoftSkill_C>, <SoftSkill>termingerechter Arbeitsstil</SoftSkill> und der versierte Umgang mit MSOffice
Tools (insbesondere MS-Excel) gehören zu Ihren Stärken. ->"," Ein <SoftSkill>gutes Zahlenflair</SoftSkill> sowie ein <SoftSkill>exakter Arbeitsstil</SoftSkill>, <SoftSkill>termingerechter Arbeitsstil</SoftSkill> und der versierte Umgang mit MSOffice
Tools (insbesondere MS-Excel) gehören zu Ihren Stärken."
 Neben <SoftSkill_C>Freude</SoftSkill_C> und <SoftSkill>Enthusiasmus für Ihren Beruf</SoftSkill> bringen Sie mit: ->, Neben <SoftSkill>Freude für Ihren Beruf</SoftSkill> und <SoftSkill>Enthusiasmus für Ihren Beruf</SoftSkill> bringen Sie mit:
 <SoftSkill_C>Vernetztes</SoftSkill_C> und <SoftSkill>wirtschaftliches Denken</SoftSkill> ? ->, <SoftSkill>Vernetztes Denken</SoftSkill> und <SoftSkill>wirtschaftliches Denken</SoftSkill> ?
" Als Manager <SoftSkill>arbeiten Sie kundenorientiert</SoftSkill>, <SoftSkill_C>zielfokussiert</SoftSkill_C> und <SoftSkill_C>oftmals unter hohem Zeitdruck</SoftSkill_C>. ->"," Als Manager <SoftSkill>arbeiten Sie kundenorientiert</SoftSkill>, <SoftSkill>arbeiten Sie zielfokussiert</SoftSkill> und <SoftSkill>arbeiten Sie oft unter hohem Zeitdruck</SoftSkill>."
" eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>begeisterungsfähige</SoftSkill_C> und <SoftSkill>lernwillige Persönlichkeit</SoftSkill> sowie ein <SoftSkill>Teamplayer</SoftSkill>? ->"," eine <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>begeisterungsfähige Persönlichkeit</SoftSkill> und <SoftSkill>lernwillige Persönlichkeit</SoftSkill> sowie ein <SoftSkill>Teamplayer</SoftSkill>?"
 Haben Sie eine <SoftSkill>Affinität zum Kochen</SoftSkill> und <SoftSkill_C>Lebensmitteln</SoftSkill_C>? ->, Haben Sie eine <SoftSkill>Affinität zum Kochen</SoftSkill> und <SoftSkill>Affinität zum Lebensmitteln</SoftSkill>?
 •  <SoftSkill_C>Selbstständiges</SoftSkill_C> und <SoftSkill>zuverlässiges Handeln</SoftSkill ->, <SoftSkill>Selbstständiges Handeln</SoftSkill> und <SoftSkill>zuverlässiges Handeln</SoftSkill>
" Wir wenden uns an eine <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>dienstorientierte Persönlichkeit</SoftSkill>, welche folgende Anforderungen erfüllt: ->"," Wir wenden uns an eine <SoftSkill>flexible Persönlichkeit</SoftSkill> und <SoftSkill>dienstorientierte Persönlichkeit</SoftSkill>, welche folgende Anforderungen erfüllt:"
 •  <SoftSkill>Interesse am Konstruieren</SoftSkill> und <SoftSkill_C>Zeichnen</SoftSkill_C ->, <SoftSkill>Interesse am Konstruieren</SoftSkill> und <SoftSkill>Interesse am Zeichnen</SoftSkill>.
 Sie <SoftSkill>verkaufen professionell</SoftSkill> und <SoftSkill_C>überzeugend</SoftSkill_C>. ->, Sie <SoftSkill>verkaufen professionell</SoftSkill> und <SoftSkill>verkaufen überzeugend</SoftSkill>.
 Wir <SoftSkill>schätzen sozialpsychiatrisches Interesse</SoftSkill> und einen <SoftSkill_C>empathischen</SoftSkill_C> sowie <SoftSkill>respektvollen Umgang mit unseren Patienten</SoftSkill>. ->, Wir <SoftSkill>schätzen sozialpsychiatrisches Interesse</SoftSkill> und einen <SoftSkill>empathischen Umgang mit unseren Patienten</SoftSkill> sowie <SoftSkill>respektvollen Umgang mit unseren Patienten</SoftSkill>.
" <SoftSkill>vielseitig</SoftSkill> <SoftSkill>interessiert</SoftSkill>
<SoftSkill>lernfreudig</SoftSkill>
<SoftSkill>zahlensicher</SoftSkill>
ein <SoftSkill>Schnelldenker</SoftSkill>
<SoftSkill>gerne am PC tätig</SoftSkill>
<SoftSkill>eigeninitiativ</SoftSkill>
<SoftSkill_C>team-</SoftSkill_C> und <SoftSkill>organisationsfähig</SoftSkill>
<SoftSkill>mündlich und schriftlich sprachgewandt</SoftSkill ->"," <SoftSkill>vielseitig interessiert</SoftSkill> <SoftSkill>interessiert</SoftSkill>
<SoftSkill>lernfreudig</SoftSkill>
<SoftSkill>zahlensicher</SoftSkill>
ein <SoftSkill>Schnelldenker</SoftSkill>
<SoftSkill>gerne am PC tätig</SoftSkill>
<SoftSkill>eigeninitiativ</SoftSkill>
<SoftSkill>teamfähig</SoftSkill> und <SoftSkill>organisationsfähig</SoftSkill>
<SoftSkill>mündlich und schriftlich sprachgewandt</SoftSkill>"
" •  <SoftSkill_C>Interesse</SoftSkill_C> und <SoftSkill>Begeisterung an der Arbeit mit Menschen mit Entwicklungsbeeinträchtigungen</SoftSkill> und die
<SoftSkill>Bereitschaft, sich mit ihnen und ihren Problemlagen aktiv auseinander zu setzen</SoftSkill ->"," • <SoftSkill>Interesse an der Arbeit mit Menschen mit Entwicklungsbeeinträchtigungen</SoftSkill> und <SoftSkill>Begeisterung an der Arbeit mit Menschen mit Entwicklungsbeeinträchtigungen</SoftSkill> und die <SoftSkill>Bereitschaft, sich mit ihnen und ihren Problemlagen aktiv auseinander zu setzen</SoftSkill>"
" Sie <SoftSkill_C>begleiten</SoftSkill_C> und <SoftSkill>betreuen gerne kranke, behinderte und betagte Menschen</SoftSkill>. ->"," Sie <SoftSkill>begleiten gerne kranke, behinderte und betagte Menschen</SoftSkill> und <SoftSkill>betreuen gerne kranke, behinderte und betagte Menschen</SoftSkill>."
" Ist eine <SoftSkill_C>initiative</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>ausdauernde Arbeitsweise</SoftSkill> eine Selbstverständlichkeit für Sie? ->"," Ist eine <SoftSkill>initiative Arbeitsweise</SoftSkill>, <SoftSkill>zuverlässige Arbeitsweise</SoftSkill> und <SoftSkill>ausdauernde Arbeitsweise</SoftSkill> eine Selbstverständlichkeit für Sie?"
