input,output,valids
Sie benötigen Führungserfahrung und verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>.,Sie benötigen Führungserfahrung und verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill>.,1
"Wir erwarten von Ihnen ein <SoftSkill_C>sicheres</SoftSkill_C> und <SoftSkill>gepflegtes Auftreten</SoftSkill>, <SoftSkill>Zuverlässigkeit</SoftSkill>, <SoftSkill>Dynamik</SoftSkill>, <SoftSkill>Kontaktfreudigkeit</SoftSkill> sowie eine <SoftSkill>gute Allgemeinbildung</SoftSkill>.","Wir erwarten von Ihnen ein <SoftSkill>sicheres Auftreten</SoftSkill> und <SoftSkill>gepflegtes Auftreten</SoftSkill>, <SoftSkill>Zuverlässigkeit</SoftSkill>, <SoftSkill>Dynamik</SoftSkill>, <SoftSkill>Kontaktfreudigkeit</SoftSkill> sowie eine <SoftSkill>gute Allgemeinbildung</SoftSkill>.",1
"Anforderungen:  Um diese fordernden Aufgaben erfolgreich zu bewältigen, erwarten wir von Ihnen: - Mehrere Jahre Berufserfahrung als Fassadenisoleur, - <SoftSkill_C>Sauberes</SoftSkill_C>, <SoftSkill_C>exaktes</SoftSkill_C> und <SoftSkill>selbstständiges Arbeiten</SoftSkill>, - <SoftSkill>Belastbar</SoftSkill>, - <SoftSkill>Pünktlichkeit</SoftSkill>.","Anforderungen:  Um diese fordernden Aufgaben erfolgreich zu bewältigen, erwarten wir von Ihnen: - Mehrere Jahre Berufserfahrung als Fassadenisoleur, - <SoftSkill>Saubere Arbeiten</SoftSkill>, <SoftSkill>exaktes Arbeiten</SoftSkill> und <SoftSkill>selbstständiges Arbeiten</SoftSkill>, - <SoftSkill>Belastbar</SoftSkill>, - <SoftSkill>Pünktlichkeit</SoftSkill>.",1
Ihre <SoftSkill_C>sehr guten analytischen</SoftSkill_C> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill>,Ihre <SoftSkill>sehr guten analytischen Fähigkeiten</SoftSkill> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill>,1
"• <SoftSkill_C>zuvorkommende</SoftSkill_C>, <SoftSkill_C>aufmerksame</SoftSkill_C>, <SoftSkill_C>geduldige</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>","• <SoftSkill>zuvorkommende Persönlichkeit</SoftSkill >, <SoftSkill>aufmerksame Persönlichkeit</SoftSkill >, <SoftSkill>geduldige Persönlichkeit</SoftSkill > und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>",1
* <SoftSkill_C>Freundliches</SoftSkill_C> und <SoftSkill>gewandtes Auftreten</SoftSkill>,* <SoftSkill>Freundliches Auftreten</SoftSkill> und <SoftSkill>gewandtes Auftreten</SoftSkill>,1
"Sie bringen gute EDV-Anwenderkenntnisse in MS Office (Word, Excel, Outlook) und womöglich in SAP mit. Sie beherrschen die deutsche Sprache stilsicher (E/F von Vorteil). Sie besitzen ein <SoftSkill>ausgeprägtes Flair für Zahlen</SoftSkill> und <SoftSkill_C>buchhalterische Zusammenhänge</SoftSkill_C>.","Sie bringen gute EDV-Anwenderkenntnisse in MS Office (Word, Excel, Outlook) und womöglich in SAP mit. Sie beherrschen die deutsche Sprache stilsicher (E/F von Vorteil). Sie besitzen ein <SoftSkill>ausgeprägtes Flair für Zahlen</SoftSkill> und <SoftSkill>ausgeprägtes Flair für buchhalterische Zusammenhänge</SoftSkill>.",1
"<SoftSkill>pragmatisches, lösungsorientiertes Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C> erkennen Sie","<SoftSkill>pragmatisches, lösungsorientiertes Denken</SoftSkill> und <SoftSkill>pragmatisches, lösungsorientiertes Handeln</SoftSkill> erkennen Sie",1
"* <SoftSkill_C>Starke Präsentations-</SoftSkill_C> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>sicheres Auftreten im Umgang mit Kunden, Partnern und internen Stellen</SoftSkill>","* <SoftSkill>Starke Präsentationsfähigkeit-</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>sicheres Auftreten im Umgang mit Kunden, Partnern und internen Stellen</SoftSkill>",1
"- <SoftSkill_C>selbständige</SoftSkill_C>, und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>","- < SoftSkill>selbständige Arbeitsweise</SoftSkill>, und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>",1
"- <SoftSkill_C>Qualitätsbewusstes</SoftSkill_C>, <SoftSkill_C>effizientes</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten.-</SoftSkill> <SoftSkill_C>Starke</SoftSkill_C> und <SoftSkill>initiative Persönlichkeit.-</SoftSkill> <SoftSkill>Ausgezeichnete kommunikative Fähigkeiten</SoftSkill>.","- <SoftSkill>Qualitätsbewusstes Arbeiten</SoftSkill>, <SoftSkill>effizientes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten.-</SoftSkill> <SoftSkill>Starke Persönlichkeit</SoftSkill> und <SoftSkill>initiative Persönlichkeit.-</SoftSkill> <SoftSkill>Ausgezeichnete kommunikative Fähigkeiten</SoftSkill>.",1
"- <SoftSkill_C>pro-aktive</SoftSkill_C>, <SoftSkill_C>kontaktfreundliche</SoftSkill_C> und <SoftSkill>motivierte Persönlichkeit</SoftSkill>","- <SoftSkill>pro-aktive Persönlichkeit</SoftSkill>, <SoftSkill>kontaktfreundliche Persönlichkeit</SoftSkill> und <SoftSkill>motivierte Persönlichkeit</SoftSkill>",1
Als Mitarbeiter eines profit centers sind Sie <SoftSkill_C>stark unternehmerisch</SoftSkill_C> und <SoftSkill>kundenorientiert</SoftSkill> und,Als Mitarbeiter eines profit centers sind Sie <SoftSkill>stark unternehmerisch orientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill> und,1
"<SoftSkill>Freude an der Sprache</SoftSkill>, an <SoftSkill_C>Menschen</SoftSkill_C> und <SoftSkill_C>Kontakten</SoftSkill_C>","<SoftSkill>Freude an der Sprache</SoftSkill>, an <SoftSkill>Freude an Menschen</SoftSkill> und <SoftSkill>Freude an Kontakten</SoftSkill>",1
mit <SoftSkill_C>Freude</SoftSkill_C> und <SoftSkill>Geschick am Umgang mit Kunden</SoftSkill>.,mit <SoftSkill>Freude am Umgang mit Kunden</SoftSkill> und <SoftSkill>Geschick am Umgang mit Kunden</SoftSkill>.,1
Infolge baldiger Pensionierung der bisherigen Stelleninhaberin suchen wir eine <SoftSkill_C>praktisch</SoftSkill_C> und <SoftSkill>organisatorisch begabte</SoftSkill>,Infolge baldiger Pensionierung der bisherigen Stelleninhaberin suchen wir eine <SoftSkill>praktisch begabte</SoftSkill> und <SoftSkill>organisatorisch begabte</SoftSkill>,1
"<SoftSkill>Freude an koordinativen Aufgaben</SoftSkill>, aber auch an <SoftSkill_C>präparativer Labortätigkeit</SoftSkill_C>","<SoftSkill>Freude an koordinativen Aufgaben</SoftSkill>, aber auch an <SoftSkill>Freude an präparativer Labortätigkeit</SoftSkill>",1
"SIE <SoftSkill>lieben Kinder</SoftSkill>, sind <SoftSkill>teamfähig</SoftSkill>, <SoftSkill>einsatzbereit</SoftSkill> und <SoftSkill>arbeiten mit Kreativität</SoftSkill> und <SoftSkill_C>Engagement</SoftSkill_C>.
","SIE <SoftSkill>lieben Kinder</SoftSkill>, sind <SoftSkill>teamfähig</SoftSkill>, <SoftSkill>einsatzbereit</SoftSkill> und <SoftSkill>arbeiten mit Kreativität</SoftSkill> und <SoftSkill>arbeiten mit  Engagement</SoftSkill>.",1
<SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>ganzheitliches Denkvermögen</SoftSkill>,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>ganzheitliches Denkvermögen</SoftSkill>,1
"̈ <SoftSkill>Fähigkeit zu analysieren</SoftSkill>, <SoftSkill_C>präsentieren</SoftSkill_C>"," <SoftSkill>Fähigkeit zu analysieren</SoftSkill>, <SoftSkill>Fähigkeit zu präsentieren</SoftSkill> ",1
Sie haben <SoftSkill>Freude am Bedienen</SoftSkill> und <SoftSkill_C>Beraten</SoftSkill_C>?,Sie haben <SoftSkill>Freude am Bedienen</SoftSkill> und <SoftSkill>Freude am Beraten</SoftSkill>?,1
"Sie verfügen über eine abgeschlossene kaufmännische Ausbildung und Berufserfahrung. Sie besitzen eine <SoftSkill>rasche Auffassungsgabe</SoftSkill>, <SoftSkill>arbeiten exakt</SoftSkill>, <SoftSkill_C>zuverlässig</SoftSkill_C> und <SoftSkill_C>speditiv</SoftSkill_C>. <SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Freude am Umgang mit der Bevölkerung</SoftSkill> runden Ihr Profil ab.","Sie verfügen über eine abgeschlossene kaufmännische Ausbildung und Berufserfahrung. Sie besitzen eine <SoftSkill>rasche Auffassungsgabe</SoftSkill>, <SoftSkill>arbeiten exakt</SoftSkill>, <SoftSkill>arbeiten zuverlässig</SoftSkill> und <SoftSkill>arbeiten speditiv</SoftSkill>. <SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Freude am Umgang mit der Bevölkerung</SoftSkill> runden Ihr Profil ab.",1
