,input,output,prediction,result,Levenshtein_dist
438,Debitoren- und Anlagebuchhaltung,Debitorenbuchhaltung und Anlagebuchhaltung,Debitorenbuchhaltung und Anlagebuchhaltung,1,0
439,Bau- und Projektleitung,Bauleitung und Projektleitung,Bauleitung und Projektleitung,1,0
440,Behandlungs- und Krankenpflege,Behandlungspflege und Krankenpflege,Behandlungspflege und Krankenpflege,1,0
441,Reinigungs- und Unterhaltsarbeiten,Reinigungsarbeiten und Unterhaltsarbeiten,Reinigungsarbeiten und Unterhaltsarbeiten,1,0
444,Verkaufs- und Projektorganisation,Verkaufsorganisation und Projektorganisation,Verkaufsorganisation und Projektorganisation,1,0
445,Personalein- und Austrittsformalitäten,Personaleintrittsformalitäten und Austrittsformalitäten,Personaleinformalitäten und Austrittsformalitäten,0,6
446,Angst- und Zwangsstörungen,Angststörungen und Zwangsstörungen,Angststörungen und Zwangsstörungen,1,0
447,Transport- und Beschickungssystemen,Transportsystemen und Beschickungssystemen,Transportsystemen und Beschickungssystemen,1,0
448,Führungs- und Stabsprozesse,Führungsprozesse und Stabsprozesse,Führungsprozesse und Stabsprozesse,1,0
449,Mittwoch- und Samstagnachmittag,Mittwochnachmittag und Samstagnachmittag,Mittwochnachmittag und Samstagnachmittag,1,0
450,Produkte- und Lieferantenbewertungen,Produktebewertungen und Lieferantenbewertungen,Produktebewertungen und Lieferantenbewertungen,1,0
451,Freitag- und Samstagabend,Freitagabend und Samstagabend,Freitagabend und Samstagabend,1,0
452,Italienisch- und Englischkenntnisse,Italienischkenntnisse und Englischkenntnisse,Italienischkenntnisse und Englischkenntnisse,1,0
453,Wärme- und Oberflächenbehandlung,Wärmebehandlung und Oberflächenbehandlung,Wärmebehandlung und Oberflächenbehandlung,1,0
454,IT- und Bankenumfeld,IT-Umfeld und Bankenumfeld,ITfeld und Bankenumfeld,0,3
455,Deutsch- und Westschweiz,Deutschschweiz und Westschweiz,Deutschschweiz und Westschweiz,1,0
456,Produkt- und Kundenschulungen,Produktschulungen und Kundenschulungen,Produktschulungen und Kundenschulungen,1,0
457,Konzept- und Machbarkeitsstudien,Konzeptstudien und Machbarkeitsstudien,Konzeptstudien und Machbarkeitsstudien,1,0
458,Basis- und Serverplattformen,Basisplattformen und Serverplattformen,Basisplattformen und Serverplattformen,1,0
459,Nacht- und Pikettdienst,Nachtdienst und Pikettdienst,Nachtdienst und Pikettdienst,1,0
460,Verantwortungs- und Qualitätsbewusstsein,Verantwortungsbewusstsein und Qualitätsbewusstsein,Verantwortungsbewusstsein und Qualitätsbewusstsein,1,0
461,Gips- und Kunststoffverbänden,Gipsverbänden und Kunststoffverbänden,Gipsverbänden und Kunststoffverbänden,1,0
462,Einkaufs- und Marketingteam,Einkaufsteam und Marketingteam,Einkaufsteam und Marketingteam,1,0
463,Krankenkassen- und Versicherungsberatung,Krankenkassenberatung und Versicherungsberatung,Krankenkassenberatung und Versicherungsberatung,1,0
464,Verkaufs- und Abschlussstärke,Verkaufsstärke und Abschlussstärke,Verkaufsstärke und Abschlussstärke,1,0
465,Bachelor- und Masterstufe,Bachelorstufe und Masterstufe,Bachelorstufe und Masterstufe,1,0
466,Sicherheits- und Qualitätsansprüche,Sicherheitsansprüche und Qualitätsansprüche,Sicherheitsansprüche und Qualitätsansprüche,1,0
467,Qualitäts- und Sicherheitsansprüchen,Qualitätsansprüchen und Sicherheitsansprüchen,Qualitätsansprüchen und Sicherheitsansprüchen,1,0
468,Möbel- und Bauschreiner,Möbelschreiner und Bauschreiner,Möbelreiner und Bauschreiner,0,3
469,Arbeits- und Lebensqualität,Arbeitsqualität und Lebensqualität,Arbeitsqualität und Lebensqualität,1,0
470,Strassen- und Schienenverkehr,Strassenverkehr und Schienenverkehr,Strassenverkehr und Schienenverkehr,1,0
471,Puls- und Zungendiagnostik,Pulsdiagnostik und Zungendiagnostik,Pulsdiagnostik und Zungendiagnostik,1,0
472,Mess- und Regeltechnik,Messtechnik und Regeltechnik,Messtechnik und Regeltechnik,1,0
473,Lebens- und Arbeitsbedingungen,Lebensbedingungen und Arbeitsbedingungen,Lebensbedingungen und Arbeitsbedingungen,1,0
474,Umwelt- und Naturwissenschaften,Umweltwissenschaften und Naturwissenschaften,Umweltwissenschaften und Naturwissenschaften,1,0
475,Prämien- und Leistungsaufstellungen,Prämienaufstellungen und Leistungsaufstellungen,Prämienaufstellungen und Leistungsaufstellungen,1,0
476,Kälte- und Klimamonteur,Kältemonteur und Klimamonteur,Kältemonteur und Klimamonteur,1,0
477,Hochgeschwindigkeits- und Hochleistungsfräsmaschinen,Hochgeschwindigkeitsfräsmaschinen und Hochleistungsfräsmaschinen,Hochgeschwindigkeitsfräsmaschinen und Hochleistungsfräsmaschinen,1,0
478,Reparatur- und Garantieaufträgen,Reparaturaufträgen und Garantieaufträgen,Reparaturaufträgen und Garantieaufträgen,1,0
479,Bachelor- und Masterstudenten,Bachelorstudenten und Masterstudenten,Bachelorstudenten und Masterstudenten,1,0
480,Be- und Verarbeitung,Bearbeitung und Verarbeitung,Beverarbeitung und Verarbeitung,0,3
481,Nachrichten- und Steuertechnikprojekte,Nachrichtenprojekte und Steuertechnikprojekte,Nachrichtentechnikprojekte und Steuertechnikprojekte,0,7
483,OP- und LagerungsmitarbeiterInnen,OP-MitarbeiterInnen und LagerungsmitarbeiterInnen,OParbeiterInnen und LagerungsmitarbeiterInnen,0,4
484,Brandmelde- und Löschanlagen,Brandmeldeanlagen und Löschanlagen,Brandmeldeanlagen und Löschanlagen,1,0
485,Kindergarten- und Primarschulkinder,Kindergartenkinder und Primarschulkinder,Kindergartenschulkinder und Primarschulkinder,0,5
486,Team- und Kommunikationsfähigkeit,Teamfähigkeit und Kommunikationsfähigkeit,Teamfähigkeit und Kommunikationsfähigkeit,1,0
487,CNC- und Zerspanungskenntnisse,CNC-Kenntnisse und Zerspanungskenntnisse,CNCkenntnisse und Zerspanungskenntnisse,0,2
488,Privat- und Firmenkunden,Privatkunden und Firmenkunden,Privatkunden und Firmenkunden,1,0
489,Landerwerbs- und Landverkaufsprojekten,Landerwerbsprojekten und Landverkaufsprojekten,Landverkaufsprojekten und Landverkaufsprojekten,0,5
490,Ausbau- und Unterhaltsprojekten,Ausbauprojekten und Unterhaltsprojekten,Ausbauprojekten und Unterhaltsprojekten,1,0
491,Wein- und Menükunde,Weinkunde und Menükunde,Weinkunde und Menükunde,1,0
492,CRM- und Kundenbindungsprozesse,CRM-Prozesse und Kundenbindungsprozesse,CRMprozesse und Kundenbindungsprozesse,0,2
493,Lern- und Lehrpraxis,Lernpraxis und Lehrpraxis,Lernpraxis und Lehrpraxis,1,0
494,Empfangs- und Telefondienst,Empfangsdienst und Telefondienst,Empfangsdienst und Telefondienst,1,0
495,Krisen- und Operationsführung,Krisenführung und Operationsführung,Krisenführung und Operationsführung,1,0
496,Neu- und Bestandeskunden,Neukunden und Bestandeskunden,Neukunden und Bestandeskunden,1,0
497,Prozess- und Anforderungsdefinition,Prozessdefinition und Anforderungsdefinition,Prozessdefinition und Anforderungsdefinition,1,0
498,Akkreditiv- und Dokumentarinkassogeschäft,Akkreditivgeschäft und Dokumentarinkassogeschäft,Akkreditivgeschäft und Dokumentarinkassogeschäft,1,0
499,Hals- und Gesichtschirurgie,Halschirurgie und Gesichtschirurgie,Halschirurgie und Gesichtschirurgie,1,0
501,Wochenend- und Spätdiensten,Wochenenddiensten und Spätdiensten,Wochenenddiensten und Spätdiensten,1,0
502,On- und Offline,Online und Offline,Online und Offline,1,0
503,Vor- und Nacharbeiten,Vorarbeiten und Nacharbeiten,Vorarbeiten und Nacharbeiten,1,0
504,Service- und Teamorientierung,Serviceorientierung und Teamorientierung,Serviceorientierung und Teamorientierung,1,0
505,Schalttafel- und Steuerungsbau,Schalttafelbau und Steuerungsbau,Schalttafelbau und Steuerungsbau,1,0
506,Hotel- und Gaststättengewerbe,Hotelgewerbe und Gaststättengewerbe,Hotelstättengewerbe und Gaststättengewerbe,0,7
507,Heizungs- und Klimatechnik,Heizungstechnik und Klimatechnik,Heizungstechnik und Klimatechnik,1,0
508,Draht- und Gittergewebe,Drahtgewebe und Gittergewebe,Drahtgewebe und Gittergewebe,1,0
509,Förder- und Handlingstechnik,Fördertechnik und Handlingstechnik,Fördertechnik und Handlingstechnik,1,0
510,Verkaufs- und Verhandlungsgeschick,Verkaufsgeschick und Verhandlungsgeschick,Verkaufsgeschick und Verhandlungsgeschick,1,0
511,Privat- und Geschäftskunden,Privatkunden und Geschäftskunden,Privatkunden und Geschäftskunden,1,0
512,Luft- und Raumfahrt,Luftfahrt und Raumfahrt,Luftfahrt und Raumfahrt,1,0
514,Artikel- und Lieferantenstammpflege,Artikelstammpflege und Lieferantenstammpflege,Artikelstammpflege und Lieferantenstammpflege,1,0
516,Akquisition- und Baukostenplanung,Akquisitionplanung und Baukostenplanung,Akquisitionplanung und Baukostenplanung,1,0
517,Eigenmiet- und Vermögenssteuerwerte,Eigenmietwerte und Vermögenssteuerwerte,Eigenmietwerte und Vermögenssteuerwerte,1,0
518,Kredit- und Passivgeldprodukte,Kreditprodukte und Passivgeldprodukte,Kreditprodukte und Passivgeldprodukte,1,0
519,Fach- und Handlungskompetenz,Fachkompetenz und Handlungskompetenz,Fachkompetenz und Handlungskompetenz,1,0
520,Unternehmens- und Personalberatung,Unternehmensberatung und Personalberatung,Unternehmensberatung und Personalberatung,1,0
521,Marketing- und Verkaufsstrategie,Marketing- und Verkaufsstrategie,Marketingstrategie und Verkaufsstrategie,0,9
522,Maler- und Schreinerarbeiten,Maler- und Schreinerarbeiten,Malerarbeiten und Schreinerarbeiten,0,8
523,Fort- und Weiterbildungsangebote,Fort- und Weiterbildungsangebote,Fortangebote und Weiterbildungsangebote,0,8
524,Zugförderungs- und Werkstättedienst,Zugförderungs- und Werkstättedienst,Zugförderungsdienst und Werkstättedienst,0,6
525,Handels- und Industriebetrieb,Handels- und Industriebetrieb,Handelsbetrieb und Industriebetrieb,0,7
526,Sand- und Kernstrahlen,Sand- und Kernstrahlen,Sandstrahlen und Kernstrahlen,0,8
527,Angst- und Persönlichkeitsstörungen,Angst- und Persönlichkeitsstörungen,Angststörungen und Persönlichkeitsstörungen,0,9
528,Muster- und Pilotfabrikationen,Muster- und Pilotfabrikationen,Musterfabrikationen und Pilotfabrikationen,0,13
529,Anlauf- und Beratungsstelle,Anlauf- und Beratungsstelle,Anlaufstelle und Beratungsstelle,0,6
530,Wohn- und Geschäftsimmobilien,Wohn- und Geschäftsimmobilien,Wohnimmobilien und Geschäftsimmobilien,0,10
